# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 94042001
# NOM_USUEL= JOINVILLE
# LATITUDE (°) = 48.814
# LONGITUDE(°)= 2.463
# ALTITUDE (m) = 37
# NUM_SERIE= MRR194042001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 195812 196112
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;41.3;1
194702;31;1
194703;67.8;1
194704;26.2;1
194705;63.3;1
194706;63.9;1
194707;89.7;1
194708;46.4;1
194709;9.4;1
194710;18;1
194711;45.4;1
194712;78.2;1
194801;66.6;1
194802;23.5;1
194803;18;1
194804;71.3;1
194805;37.1;1
194806;60.3;1
194807;23.9;1
194808;111.8;1
194809;41.8;1
194810;22;1
194811;58.4;1
194812;41.5;1
194901;24.3;1
194902;12.2;1
194903;15.8;1
194904;18.8;1
194905;40.5;1
194906;21.9;1
194907;8.4;1
194908;6.8;1
194909;65;1
194910;51.1;1
194911;45.5;1
194912;30.1;1
195001;23.1;1
195002;60;1
195003;21.1;1
195004;58.6;1
195005;57;1
195006;55.3;1
195007;88.1;1
195008;70.8;1
195009;93.4;1
195010;14.8;1
195011;59.7;1
195012;77.3;1
195101;37;1
195102;55.2;1
195103;54.4;1
195104;36.7;1
195105;91.7;1
195106;106.5;1
195107;39.5;1
195108;107.9;1
195109;49.3;1
195110;29;1
195111;79.2;1
195112;35.2;1
195201;52.8;1
195202;42.3;1
195203;89.1;1
195204;10.1;1
195205;41.7;1
195206;40;1
195207;15.8;1
195208;69;1
195209;97.9;1
195210;59.7;1
195211;89.6;1
195212;69;1
195301;14.9;1
195302;28;1
195303;0;1
195304;56.3;1
195305;18.5;1
195306;65.3;1
195307;43.3;1
195308;34.6;1
195309;45.3;1
195310;26.8;1
195311;23.4;1
195312;8.9;1
195401;19.2;1
195402;45.4;1
195403;37.3;1
195404;1.5;1
195405;29.4;1
195406;33.1;1
195407;38;1
195408;55.6;1
195409;83.5;1
195410;33.6;1
195411;25.6;1
195412;33.2;1
195501;75.2;1
195502;69.5;1
195503;21.4;1
195504;9.2;1
195505;63;1
195506;60.1;1
195507;90.9;1
195508;15.6;1
195509;34.6;1
195510;50.4;1
195511;24.9;1
195512;58.6;1
195601;62.1;1
195602;7.6;1
195603;10.1;1
195604;48;1
195605;24.2;1
195606;45;1
195607;21.1;1
195608;75.1;1
195609;47.4;1
195610;54.9;1
195611;31.5;1
195612;16.9;1
195701;20;1
195702;67.5;1
195703;22.6;1
195704;11.7;1
195705;22.4;1
195706;59.4;1
195707;79.4;1
195708;50.8;1
195709;94.8;1
195710;19.8;1
195711;23.5;1
195712;36.1;1
195801;65.6;1
195802;85.9;1
195803;22.8;1
195804;49.7;1
195805;91.5;1
195806;101.2;1
195807;64.2;1
195808;53;1
195809;37.8;1
195810;60.3;1
195811;59.3;1
195812;65.4;1
195901;73.3;1
195902;0.3;1
195903;29.2;1
195904;71.8;1
195905;23.4;1
195906;63;1
195907;16;1
195908;66;1
195909;11.2;1
195910;53.2;1
195911;46.6;1
195912;63.6;1
196001;36;1
196002;23.2;1
196003;28;1
196004;12;1
196005;27;1
196006;77.7;1
196007;80.7;1
196008;75.7;1
196009;47.9;1
196010;131.7;1
196011;71.3;1
196012;57.4;1
196101;68;1
196102;40.4;1
196103;3;1
196104;40.8;1
196105;62.7;1
196106;29.2;1
196107;41.4;1
196108;1.7;1
196109;81.6;1
196110;71;1
196111;67.3;1
196112;43.4;1
196201;64.8;1
196202;22.2;1
196203;66;1
196204;34.2;1
196205;45.8;1
196206;13.2;1
196207;45.5;1
196208;20.1;1
196209;39.1;1
196210;43.8;1
196211;67.9;1
196212;44;1
196301;13.5;1
196302;15.2;1
196303;59;1
196304;45.4;1
196305;63.4;1
196306;86.2;1
196307;18.7;1
196308;112.2;1
196309;32.7;1
196310;20.2;1
196311;95.6;1
196312;4.6;1
196401;15.6;1
196402;38.8;1
196403;51;1
196404;51.1;1
196405;43.4;1
196406;38.5;1
196407;14.7;1
196408;25;1
196409;93.5;1
196410;47.8;1
196411;41.5;1
196412;32.9;1
196501;83;1
196502;5.7;1
196503;66.8;1
196504;51.2;1
196505;66.7;1
196506;37.9;1
196507;70;1
196508;115.4;1
196509;118.6;1
196510;14.2;1
196511;108.1;1
196512;81.9;1
196601;59.6;1
196602;56.1;1
196603;19.5;1
196604;82.1;1
196605;32.8;1
196606;45.7;1
196607;89.5;1
196608;67.8;1
196609;26.1;1
196610;121.3;1
196611;66.7;1
196612;91.8;1
196701;20.9;1
196702;38.7;1
196703;25.8;1
196704;27.2;1
196705;84.6;1
196706;32.6;1
196707;23.5;1
196708;94.8;1
196709;88.7;1
196710;117.6;1
196711;62.2;1
196712;59.9;1
196801;83;1
196802;62;1
196803;46.2;1
196804;44.3;1
196805;50.5;1
196806;43.8;1
196807;39;1
196808;86.6;1
196809;81;1
196810;34.1;1
196811;25.2;1
196812;43.8;1
196901;35.5;1
196902;29.3;1
196903;53.1;1
196904;49.7;1
196905;87.2;1
196906;91.5;1
196907;50;1
196908;55.3;1
196909;34.1;1
196910;4.8;1
196911;83.4;1
196912;62.7;1
197001;54.1;1
197002;108.4;1
197003;55.9;1
197004;65.4;1
197005;46.1;1
197006;83.7;1
197007;37.7;1
197008;40.8;1
197009;18.3;1
197010;38.8;1
197011;57.9;1
197012;29.2;1
197101;60.7;1
197102;32.4;1
197103;24;1
197104;47.4;1
197105;65.7;1
197106;69.4;1
197107;49.1;1
197108;48.8;1
197109;8.4;1
197110;10.9;1
197111;59.7;1
197112;5.5;1
197201;87.3;1
197202;51.5;1
197203;30.3;1
197204;43.3;1
197205;49;1
197206;40.1;1
197207;108.1;1
197208;81.2;1
197209;37.6;1
197210;22.4;1
197211;92.4;1
197212;22.8;1
197301;22.5;1
197302;41.9;1
197303;3.5;1
197304;40.2;1
197305;87.3;1
197306;45.4;1
197307;67.1;1
197308;27.5;1
197309;85.8;1
197310;66.4;1
197311;57.4;1
197312;51.4;1
197401;57;1
197402;33.8;1
197403;55.4;1
197404;17.8;1
197405;48.7;1
197406;71.3;1
197407;26.9;1
197408;47.5;1
197409;93.6;1
197410;112.2;1
197411;56.1;1
197412;33;1
197501;60.1;1
197502;19.8;1
197503;56;1
197504;30;1
197505;73.8;1
197506;25.7;1
197507;65.9;1
197508;54.6;1
197509;123.4;1
197510;27.9;1
197511;79;1
197512;12.9;1
197601;14;1
197602;27.8;1
197603;33.2;1
197604;21.9;1
197605;13.7;1
197606;1.3;1
197607;49.6;1
197608;7.1;1
197609;73;1
197610;42.5;1
197611;43.7;1
