# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 13047001
# NOM_USUEL= ISTRES
# LATITUDE (°) = 43.523
# LONGITUDE(°)= 4.928
# ALTITUDE (m) = 23
# NUM_SERIE= MRR213047001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;40.6;1
195002;37.5;1
195003;47.4;1
195004;19.6;1
195005;9.2;1
195006;14.9;1
195007;0;1
195008;23;1
195009;20.4;1
195010;30.7;1
195011;12.8;1
195012;94.5;1
195101;63.3;1
195102;56.2;1
195103;91;1
195104;26.7;1
195105;73.8;1
195106;25.5;1
195107;0;1
195108;14.8;1
195109;31.9;1
195110;131.1;1
195111;119;1
195112;10.5;1
195201;53.6;1
195202;3.6;1
195203;14.3;1
195204;11.4;1
195205;48.8;1
195206;2.3;1
195207;0.2;1
195208;32.5;1
195209;65.4;1
195210;31.6;1
195211;42.3;1
195212;54.2;1
195301;7.7;1
195302;8;1
195303;0;1
195304;18.6;1
195305;21.5;1
195306;73;1
195307;23.7;1
195308;11.9;1
195309;145.8;1
195310;112;1
195311;18;1
195312;53.4;1
195401;26.7;1
195402;52.5;1
195403;33.6;1
195404;57.7;1
195405;125.2;1
195406;11.4;1
195407;9.4;1
195408;19.6;1
195409;13.7;1
195410;51.5;1
195411;53.6;1
195412;28.3;1
195501;123.8;1
195502;32.6;1
195503;26.1;1
195504;0;1
195505;13;1
195506;85.3;1
195507;0.9;1
195508;58.6;1
195509;6.2;1
195510;124.4;1
195511;53.4;1
195512;25.9;1
195601;44.6;1
195602;81.3;1
195603;110;1
195604;67.6;1
195605;10.8;1
195606;33.3;1
195607;59.8;1
195608;10.3;1
195609;97.3;1
195610;59.1;1
195611;57;1
195612;32.1;1
195701;6.6;1
195702;36.4;1
195703;22.8;1
195704;88.5;1
195705;36.3;1
195706;91;1
195707;14.5;1
195708;26;1
195709;8.3;1
195710;8.3;1
195711;56.6;1
195712;159.9;1
195801;18.8;1
195802;2.8;1
195803;34.9;1
195804;38;1
195805;7.6;1
195806;25.6;1
195807;26.6;1
195808;0.6;1
195809;32;1
195810;49.1;1
195811;38.3;1
195812;83.6;1
195901;2.3;1
195902;8.4;1
195903;56.2;1
195904;57.2;1
195905;74.1;1
195906;10.9;1
195907;0;1
195908;60.5;1
195909;107;1
195910;82.9;1
195911;90;1
195912;213.4;1
196001;27;1
196002;79.6;1
196003;119.6;1
196004;3.9;1
196005;1;1
196006;9.4;1
196007;11.2;1
196008;118.1;1
196009;95.2;1
196010;159.5;1
196011;85.9;1
196012;71.3;1
196101;20.1;1
196102;2.8;1
196103;0;1
196104;115.4;1
196105;51.9;1
196106;13.5;1
196107;7;1
196108;12.8;1
196109;49.5;1
196110;122;1
196111;148.1;1
196112;34.1;1
196201;13.3;1
196202;56.2;1
196203;20.2;1
196204;33.1;1
196205;7.7;1
196206;24.3;1
196207;0;1
196208;1.8;1
196209;40.3;1
196210;40.5;1
196211;92.9;1
196212;48.9;1
196301;52.6;1
196302;53.8;1
196303;10.6;1
196304;49.9;1
196305;6.1;1
196306;21.2;1
196307;23.9;1
196308;54.1;1
196309;213.1;1
196310;45.2;1
196311;25.1;1
196312;85.9;1
196401;22.5;1
196402;67.9;1
196403;81.4;1
196404;17.7;1
196405;25.7;1
196406;17.4;1
196407;4.1;1
196408;95.2;1
196409;250.5;1
196410;91;1
196411;39.5;1
196412;40.3;1
196501;48.4;1
196502;13.9;1
196503;53.4;1
196504;0.7;1
196505;3.3;1
196506;21.6;1
196507;27.4;1
196508;39.6;1
196509;75.3;1
196510;39.8;1
196511;18.2;1
196512;33.5;1
196601;34.6;1
196602;78.4;1
196603;2.4;1
196604;49;1
196605;23.8;1
196606;28.2;1
196607;13.6;1
196608;27.1;1
196609;48.2;1
196610;91.5;1
196611;65.8;1
196612;11.7;1
196701;27.3;1
196702;15.4;1
196703;9;1
196704;11.2;1
196705;4.8;1
196706;12.4;1
196707;4.2;1
196708;8;1
196709;38;1
196710;5.3;1
196711;73.4;1
196712;11.8;1
196801;1.1;1
196802;103.4;1
196803;15;1
196804;40.8;1
196805;50.4;1
196806;56.4;1
196807;1.2;1
196808;17.9;1
196809;34.1;1
196810;33.4;1
196811;107.5;1
196812;64.6;1
196901;34.6;1
196902;38.2;1
196903;92.1;1
196904;24.1;1
196905;48.4;1
196906;32.5;1
196907;46.5;1
196908;7.6;1
196909;95.6;1
196910;111.1;1
196911;55.3;1
196912;49.3;1
197001;39.5;1
197002;11.7;1
197003;47.8;1
197004;8.2;1
197005;52.1;1
197006;20.7;1
197007;0;1
197008;15;1
197009;16.9;1
197010;76.5;1
197011;57.8;1
197012;60.1;1
197101;68;1
197102;6;1
197103;63.1;1
197104;99.5;1
197105;35.2;1
197106;16.9;1
197107;10.1;1
197108;5.6;1
197109;100.5;1
197110;17.4;1
197111;122.2;1
197112;77.6;1
197201;104.7;1
197202;150.1;1
197203;45.3;1
197204;68.3;1
197205;37.3;1
197206;83.2;1
197207;0.9;1
197208;72.3;1
197209;33.2;1
197210;222.6;1
197211;32.2;1
197212;90.4;1
197301;90.5;1
197302;54.3;1
197303;57.8;1
197304;33.6;1
197305;10.8;1
197306;289.7;1
197307;24.2;1
197308;7.8;1
197309;26.5;1
197310;133;1
197311;38.2;1
197312;82.6;1
197401;90.7;1
197402;145.1;1
197403;143.1;1
197404;110.6;1
197405;39;1
197406;15.4;1
197407;4.7;1
197408;16.5;1
197409;97.8;1
197410;8.4;1
197411;13.4;1
197412;4.6;1
197501;27.5;1
197502;69;1
197503;91.1;1
197504;17.6;1
197505;53.5;1
197506;17.5;1
197507;13.8;1
197508;33.2;1
197509;92.5;1
197510;13.9;1
197511;82.4;1
