# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 13110003
# NOM_USUEL= TRETS
# LATITUDE (°) = 43.445
# LONGITUDE(°)= 5.699
# ALTITUDE (m) = 264
# NUM_SERIE= MRR213110003
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 199112
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;13.9;1
195002;84.4;1
195003;20.4;1
195004;39.2;1
195005;35.3;1
195006;4.5;1
195007;0;1
195008;79.1;1
195009;42;1
195010;58.6;1
195011;84.8;1
195012;81.2;1
195101;90.6;1
195102;89.1;1
195103;121;1
195104;17;1
195105;102.4;1
195106;38.7;1
195107;2;1
195108;35.5;1
195109;45;1
195110;167.2;1
195111;239.6;1
195112;18;1
195201;62.5;1
195202;9.8;1
195203;12.2;1
195204;32.6;1
195205;73.6;1
195206;0;1
195207;5.6;1
195208;40.7;1
195209;72.2;1
195210;45.3;1
195211;31.1;1
195212;38;1
195301;29.8;1
195302;19.9;1
195303;7.3;1
195304;14.8;1
195305;25.7;1
195306;109.2;1
195307;16.4;1
195308;14.4;1
195309;157.5;1
195310;87.5;1
195311;2.2;1
195312;61.9;1
195401;18.6;1
195402;64.7;1
195403;34;1
195404;43.3;1
195405;84.6;1
195406;11.3;1
195407;28.1;1
195408;32.1;1
195409;5.5;1
195410;43.2;1
195411;64.1;1
195412;75.6;1
195501;109;1
195502;39.6;1
195503;34.2;1
195504;1.3;1
195505;15.4;1
195506;83.7;1
195507;0;1
195508;51.7;1
195509;14.1;1
195510;103.1;1
195511;44.9;1
195512;36.3;1
195601;14.8;1
195602;61.9;1
195603;125.3;1
195604;85.2;1
195605;25;1
195606;30.5;1
195607;9.5;1
195608;14.8;1
195609;80.9;1
195610;39.7;1
195611;51.1;1
195612;42.8;1
195701;34.5;1
195702;86.3;1
195703;22.3;1
195704;130.9;1
195705;87.1;1
195706;88.3;1
195707;28.1;1
195708;60.7;1
195709;3.9;1
195710;28.3;1
195711;87.3;1
195712;75.5;1
195801;18.1;1
195802;1.2;1
195803;47.6;1
195804;52.1;1
195805;20.8;1
195806;28.1;1
195807;51.3;1
195808;76.9;1
195809;76.9;1
195810;48.4;1
195811;39.9;1
195812;133.6;1
195901;3.8;1
195902;25.8;1
195903;47.2;1
195904;76.9;1
195905;46.8;1
195906;16;1
195907;2.3;1
195908;43.9;1
195909;138.8;1
195910;162.9;1
195911;92.5;1
195912;150.7;1
196001;59.4;1
196002;60.1;1
196003;107;1
196004;35.4;1
196005;13.3;1
196006;99.5;1
196007;11.4;1
196008;66;1
196009;104.6;1
196010;272.3;1
196011;109.7;1
196012;120.3;1
196101;35.2;1
196102;3;1
196103;0;1
196104;103.1;1
196105;85.7;1
196106;22.3;1
196107;3.4;1
196108;7;1
196109;86.8;1
196110;187.1;1
196111;171.7;1
196112;28.8;1
196201;38.8;1
196202;96.5;1
196203;35.6;1
196204;18.7;1
196205;24.2;1
196206;23.3;1
196207;25.2;1
196208;1;1
196209;41.9;1
196210;76.9;1
196211;139.5;1
196212;65.6;1
196301;65.3;1
196302;95.1;1
196303;36.4;1
196304;79.7;1
196305;19.7;1
196306;95.3;1
196307;34.6;1
196308;52.4;1
196309;185.1;1
196310;72.3;1
196311;91.7;1
196312;71.7;1
