# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21473001
# NOM_USUEL= DIJON-LONGVIC
# LATITUDE (°) = 47.268
# LONGITUDE(°)= 5.088
# ALTITUDE (m) = 219
# NUM_SERIE= MRR221473001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;43.6;1
195102;62.5;1
195103;54.8;1
195104;46.1;1
195105;125.6;1
195106;86.5;1
195107;27.1;1
195108;142.9;1
195109;59.9;1
195110;25.9;1
195111;175.5;1
195112;40.2;1
195201;99.7;1
195202;20.7;1
195203;101.7;1
195204;19.6;1
195205;52.5;1
195206;13.2;1
195207;13.4;1
195208;61.8;1
195209;95.5;1
195210;141.7;1
195211;106.2;1
195212;90;1
195301;13.3;1
195302;30.8;1
195303;2.7;1
195304;53.5;1
195305;25.5;1
195306;213.7;1
195307;93.5;1
195308;21.5;1
195309;53.4;1
195310;50.8;1
195311;11.6;1
195312;11.7;1
195401;39.2;1
195402;30.3;1
195403;70.3;1
195404;29;1
195405;38.8;1
195406;67.3;1
195407;11;1
195408;134.1;1
195409;61.6;1
195410;63.8;1
195411;62.1;1
195412;90.4;1
195501;125.8;1
195502;97.4;1
195503;33.3;1
195504;2.5;1
195505;54.8;1
195506;122.8;1
195507;118.7;1
195508;48;1
195509;64.5;1
195510;37.8;1
195511;45.8;1
195512;91.9;1
195601;64.1;1
195602;10.4;1
195603;63.7;1
195604;61.4;1
195605;35.3;1
195606;81.5;1
195607;68.8;1
195608;90.1;1
195609;138.5;1
195610;52.7;1
195611;39.8;1
195612;30.9;1
195701;22.9;1
195702;100.6;1
195703;23.2;1
195704;37.1;1
195705;40.1;1
195706;128.8;1
195707;66;1
195708;37.6;1
195709;58.1;1
195710;25.8;1
195711;25;1
195712;79.3;1
195801;77.7;1
195802;48.4;1
195803;41.2;1
195804;34.1;1
195805;87.7;1
195806;67.6;1
195807;48.6;1
195808;108.2;1
195809;123.2;1
195810;50.1;1
195811;47.2;1
195812;94.7;1
195901;67.8;1
195902;0;1
195903;68.5;1
195904;66.4;1
195905;26;1
195906;131.6;1
195907;1.6;1
195908;41.9;1
195909;17.4;1
195910;42.1;1
195911;66.1;1
195912;73.8;1
196001;55.9;1
196002;47.4;1
196003;39.6;1
196004;9.9;1
196005;60.3;1
196006;63.5;1
196007;57.5;1
196008;141.6;1
196009;86.4;1
196010;132.9;1
196011;49.5;1
196012;55.8;1
196101;62.5;1
196102;44.3;1
196103;6.9;1
196104;53.3;1
196105;51.5;1
196106;39.1;1
196107;68.3;1
196108;37.3;1
196109;17.9;1
196110;77;1
196111;47.6;1
196112;67.9;1
196201;78.5;1
196202;55.2;1
196203;90.9;1
196204;66.3;1
196205;97.8;1
196206;5.4;1
196207;28.1;1
196208;35;1
196209;49.1;1
196210;21.8;1
196211;44.4;1
196212;56.5;1
196301;50.2;1
196302;22.8;1
196303;64.2;1
196304;56.3;1
196305;62.2;1
196306;95.8;1
196307;50.4;1
196308;134.3;1
196309;29.8;1
196310;38.7;1
196311;92.7;1
196312;3.1;1
196401;63.7;1
196402;21.5;1
196403;51.9;1
196404;59;1
196405;32.1;1
196406;11;1
196407;7.1;1
196408;67.3;1
196409;41.1;1
196410;35.7;1
196411;19.7;1
196412;26.8;1
196501;92.8;1
196502;9.9;1
196503;82.1;1
196504;43.4;1
196505;122.4;1
196506;90.2;1
196507;54.7;1
196508;60;1
196509;265;1
196510;7.3;1
196511;96.1;1
196512;112.5;1
196601;70.3;1
196602;74.3;1
196603;45.3;1
196604;79.1;1
196605;107.3;1
196606;74.6;1
196607;39.9;1
196608;101.4;1
196609;9.8;1
196610;82.2;1
196611;68.6;1
196612;99.6;1
196701;32.8;1
196702;69.6;1
196703;36.9;1
196704;30.3;1
196705;120.4;1
196706;26.2;1
196707;27;1
196708;81.4;1
196709;81.4;1
196710;51;1
196711;90.7;1
196712;54.8;1
196801;87.2;1
196802;61.2;1
196803;22.2;1
196804;88.9;1
196805;80.3;1
196806;68.3;1
196807;43.7;1
196808;105.8;1
196809;154.5;1
196810;34.5;1
196811;110.5;1
196812;87.4;1
196901;31;1
196902;57.3;1
196903;72;1
196904;84.4;1
196905;69.3;1
196906;107.7;1
196907;9.8;1
196908;37.1;1
196909;25.6;1
196910;6.2;1
196911;88.5;1
196912;32.6;1
197001;67.7;1
197002;104.2;1
197003;49.3;1
197004;45;1
197005;65.6;1
197006;92;1
197007;48.5;1
197008;85.2;1
