# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21503001
# NOM_USUEL= POUILLY SUR VINGEANNE
# LATITUDE (°) = 47.543
# LONGITUDE(°)= 5.418
# ALTITUDE (m) = 239
# NUM_SERIE= MRR221503001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;50.9;1
195102;74.2;1
195103;88;1
195104;35.4;1
195105;79.6;1
195106;96.3;1
195107;26.4;1
195108;119;1
195109;63.3;1
195110;28.6;1
195111;138.1;1
195112;32.1;1
195201;114.8;1
195202;49.6;1
195203;129.7;1
195204;16.3;1
195205;56.3;1
195206;29.8;1
195207;21.6;1
195208;56.4;1
195209;112.9;1
195210;183.8;1
195211;119.6;1
195212;94.5;1
195301;13.8;1
195302;33.1;1
195303;4.7;1
195304;61.9;1
195305;35.4;1
195306;277.1;1
195307;167.1;1
195308;33.4;1
195309;92.6;1
195310;77.6;1
195311;17.3;1
195312;17.4;1
195401;60.3;1
195402;38.6;1
195403;49.3;1
195404;45.4;1
195405;58.1;1
195406;70.6;1
195407;30.1;1
195408;148.7;1
195409;79.7;1
195410;70.6;1
195411;78.8;1
195412;88.8;1
195501;170.2;1
195502;99.6;1
195503;53.6;1
195504;4.5;1
195505;61.5;1
195506;89.9;1
195507;92.9;1
195508;28.8;1
195509;57.5;1
195510;60;1
195511;27.4;1
195512;134.7;1
195601;86.5;1
195602;14.4;1
195603;63.7;1
195604;72.1;1
195605;20;1
195606;87.5;1
195607;139.8;1
195608;137.4;1
195609;141.9;1
195610;66.1;1
195611;49.3;1
195612;39.4;1
195701;35.8;1
195702;119.7;1
195703;34.8;1
195704;15;1
195705;51.5;1
195706;127.6;1
195707;68.9;1
195708;46.6;1
195709;93.9;1
195710;32.9;1
195711;31.6;1
195712;61.1;1
195801;98.5;1
195802;113.4;1
195803;66.9;1
195804;41.5;1
195805;116;1
195806;137.3;1
195807;45.8;1
