# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21519001
# NOM_USUEL= RECEY SUR OURCE
# LATITUDE (°) = 47.782
# LONGITUDE(°)= 4.864
# ALTITUDE (m) = 326
# NUM_SERIE= MRR221519001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 197210
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;80.7;1
195102;75.3;1
195103;91.4;1
195104;79.2;1
195105;89.1;1
195106;137.8;1
195107;32.1;1
195108;95.6;1
195109;57.2;1
195110;27.7;1
195111;162.9;1
195112;55.7;1
195201;139.6;1
195202;82.7;1
195203;112.8;1
195204;21.4;1
195205;46.2;1
195206;36.9;1
195207;18.2;1
195208;70.4;1
195209;80.5;1
195210;134.9;1
195211;150.2;1
195212;121.7;1
195301;23;1
195302;71.8;1
195303;4.8;1
195304;43;1
195305;38.2;1
195306;143.6;1
195307;92.4;1
195308;18.5;1
195309;57.7;1
195310;29.1;1
195311;13.7;1
195312;34.9;1
195401;56.4;1
195402;52.7;1
195403;52.4;1
195404;35.2;1
195405;37.8;1
195406;67.5;1
195407;36.3;1
195408;211.9;1
195409;85.6;1
195410;71;1
195411;45;1
195412;90.1;1
195501;162.8;1
195502;116.8;1
195503;53;1
195504;1.2;1
195505;56;1
195506;91.8;1
195507;111.8;1
195508;18.9;1
195509;43.1;1
195510;51.1;1
195511;48.6;1
195512;131.1;1
195601;80.4;1
195602;18.8;1
195603;60.1;1
195604;74.6;1
195605;60.1;1
195606;63.2;1
195607;99.6;1
195608;113;1
195609;118.4;1
195610;90.3;1
195611;65.3;1
195612;25.1;1
195701;34.5;1
195702;131.3;1
195703;37.7;1
195704;11.7;1
195705;26.9;1
195706;111.9;1
195707;104.5;1
195708;57.6;1
195709;85;1
195710;45.7;1
195711;50.9;1
195712;45.2;1
