# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28322001
# NOM_USUEL= RUEIL
# LATITUDE (°) = 48.712
# LONGITUDE(°)= 0.959
# ALTITUDE (m) = 157
# NUM_SERIE= MRR228322001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194801 201712
# Date(s) de rupture(s) d'homogénéité : 195512 197405 198112
#     Periode homogénéisée  194801 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;60.1;1
194802;34.7;1
194803;21.3;1
194804;66.2;1
194805;32.8;1
194806;32.3;1
194807;16;1
194808;71.1;1
194809;32.3;1
194810;28.7;1
194811;31.9;1
194812;32.1;1
194901;13.2;1
194902;10.9;1
194903;22.5;1
194904;25.9;1
194905;23.5;1
194906;17.3;1
194907;12.8;1
194908;25.6;1
194909;106.3;1
194910;67.7;1
194911;73;1
194912;35.4;1
195001;13.9;1
195002;60.5;1
195003;11.1;1
195004;52.1;1
195005;59.1;1
195006;28.2;1
195007;73.4;1
195008;90;1
195009;57.3;1
195010;7.8;1
195011;89.9;1
195012;67.2;1
195101;34.1;1
195102;63.6;1
195103;34.1;1
195104;41.3;1
195105;107;1
195106;116.3;1
195107;31.3;1
195108;93.5;1
195109;43.6;1
195110;37.2;1
195111;59.4;1
195112;49.9;1
195201;51.8;1
195202;37.9;1
195203;71.3;1
195204;1.8;1
195205;31;1
195206;31.1;1
195207;15.4;1
195208;96.2;1
195209;126.7;1
195210;70.8;1
195211;88.7;1
195212;77.1;1
195301;15.1;1
195302;19.9;1
195303;0;1
195304;56.9;1
195305;15.4;1
195306;92.2;1
195307;69.2;1
195308;17.4;1
195309;49.4;1
195310;30.3;1
195311;25.4;1
195312;14;1
195401;31.6;1
195402;49;1
195403;53.6;1
195404;0.3;1
195405;36.9;1
195406;72.4;1
195407;27.6;1
195408;39.8;1
195409;95.3;1
195410;26.2;1
195411;30.7;1
195412;42.4;1
195501;67.5;1
195502;63.2;1
195503;30.5;1
195504;5;1
195505;42.4;1
195506;71.3;1
195507;22.1;1
195508;34.5;1
195509;38.3;1
195510;73.2;1
195511;8;1
195512;63.8;1
195601;68.4;1
195602;5.3;1
195603;19.1;1
195604;30.3;1
195605;62.5;1
195606;65.4;1
195607;68.3;1
195608;91;1
195609;40.2;1
195610;55.2;1
195611;27.3;1
195612;37.1;1
195701;19.4;1
195702;89.8;1
195703;15.2;1
195704;21.5;1
195705;12.4;1
195706;71.8;1
195707;50.2;1
195708;75.8;1
195709;100.4;1
195710;30.7;1
195711;57.3;1
195712;22.4;1
195801;95.6;1
195802;120.9;1
195803;53.6;1
195804;28.3;1
195805;75.3;1
195806;121.4;1
195807;22.9;1
195808;71.8;1
195809;31.5;1
195810;42.5;1
195811;50;1
195812;46;1
195901;98.8;1
195902;0.9;1
195903;40.2;1
195904;63.1;1
195905;29.4;1
195906;27.1;1
195907;24.8;1
195908;11.9;1
195909;29.1;1
195910;48.8;1
195911;40.3;1
195912;85.7;1
196001;28.2;1
196002;39.7;1
196003;87.7;1
196004;25.4;1
196005;68.4;1
196006;36.5;1
196007;67.3;1
196008;89.8;1
196009;89.4;1
196010;153.6;1
196011;83.7;1
196012;85.3;1
196101;58.6;1
196102;37.5;1
196103;1.2;1
196104;33.4;1
196105;25.2;1
196106;36.5;1
196107;35.1;1
196108;8.2;1
196109;21.1;1
196110;82.2;1
196111;71.6;1
196112;55.6;1
196201;61.5;1
196202;35.8;1
196203;57.2;1
196204;54.3;1
196205;21.8;1
196206;1.3;1
196207;38.2;1
196208;51.3;1
196209;54.1;1
196210;44;1
196211;150.9;1
196212;38.8;1
196301;19.5;1
196302;22.3;1
196303;65.5;1
196304;50.5;1
196305;35.6;1
196306;53.5;1
196307;11.2;1
196308;185.3;1
196309;49.3;1
196310;20.8;1
196311;87.3;1
196312;1.9;1
196401;20.7;1
196402;62.8;1
196403;48.3;1
196404;46.3;1
196405;42.5;1
196406;72.6;1
196407;6.4;1
196408;16.9;1
196409;35.5;1
196410;79.3;1
196411;15.6;1
196412;72.6;1
196501;114.8;1
196502;10.6;1
196503;39.3;1
196504;33.5;1
196505;55.9;1
196506;80.3;1
196507;29.5;1
196508;52.3;1
196509;141.9;1
196510;26.9;1
196511;131.4;1
196512;91.4;1
196601;68.7;1
196602;40.4;1
196603;22.8;1
196604;71.5;1
196605;46.4;1
196606;43.2;1
196607;91;1
196608;76;1
196609;19.9;1
196610;173.1;1
196611;114;1
196612;104.8;1
196701;22.8;1
196702;33.8;1
196703;43.9;1
196704;19.2;1
196705;109.2;1
196706;20.1;1
196707;9.7;1
196708;58.7;1
196709;96.8;1
196710;67.6;1
196711;56.2;1
196712;74.8;1
196801;79.7;1
196802;59;1
196803;32.5;1
196804;54.5;1
196805;48.5;1
196806;75.9;1
196807;47.3;1
196808;57.8;1
196809;53;1
196810;43.2;1
196811;23.7;1
196812;58.6;1
196901;29.2;1
196902;36.3;1
196903;55.7;1
196904;28;1
196905;82.9;1
196906;45.7;1
196907;38.2;1
196908;39.2;1
196909;20.1;1
196910;10.6;1
196911;108.7;1
196912;72.7;1
197001;59.1;1
197002;93.4;1
197003;41.7;1
197004;50.4;1
197005;45.4;1
197006;62;1
197007;26;1
197008;51.6;1
197009;26;1
197010;17.6;1
197011;88.8;1
197012;26.1;1
197101;74.6;1
197102;28.2;1
197103;28.3;1
197104;48.8;1
197105;72.7;1
197106;83.3;1
197107;25.3;1
197108;37.3;1
197109;6.7;1
197110;7;1
197111;62.7;1
197112;5.1;1
197201;69.1;1
197202;74.3;1
197203;37.2;1
197204;41.3;1
197205;29.7;1
197206;29.5;1
197207;69.8;1
197208;63.9;1
197209;74.7;1
197210;19.6;1
197211;102.6;1
197212;27.9;1
197301;24.8;1
197302;51.7;1
197303;6;1
197304;40.8;1
197305;97.8;1
197306;32.4;1
197307;64.9;1
197308;29.1;1
197309;90.2;1
197310;40.9;1
197311;40.4;1
197312;44.4;1
197401;72.1;1
197402;37.3;1
197403;44.5;1
197404;36.1;1
197405;57.3;1
197406;83.9;1
197407;24.6;1
197408;31.8;1
197409;111.9;1
197410;117.2;1
197411;111.7;1
197412;31.5;1
197501;79.5;1
197502;13.1;1
197503;58.6;1
197504;39.7;1
197505;76.6;1
197506;41.8;1
197507;120.7;1
197508;70.3;1
197509;115.9;1
197510;27.4;1
197511;69.7;1
197512;12.4;1
197601;15.8;1
197602;36.9;1
197603;25.8;1
197604;12.1;1
197605;16.6;1
197606;1.3;1
197607;44.9;1
197608;3.2;1
197609;40.6;1
197610;49.6;1
197611;57.9;1
197612;75.3;1
197701;45.7;1
197702;71.1;1
197703;43;1
197704;48.2;1
197705;86.1;1
197706;45.7;1
197707;50;1
197708;16.5;1
197709;16.5;1
197710;41;1
197711;92;1
197712;56.7;1
197801;76.6;1
197802;80.4;1
197803;96.6;1
197804;71.7;1
197805;64.1;1
197806;47.4;1
197807;83.7;1
197808;27.8;1
197809;22.8;1
197810;9.7;1
197811;10.2;1
197812;94.1;1
197901;57.2;1
197902;95;1
197903;95.6;1
197904;45.6;1
197905;77.4;1
197906;52.2;1
197907;21;1
197908;40.8;1
197909;6.4;1
197910;120.1;1
197911;59.4;1
197912;139.8;1
198001;45.6;1
198002;58.2;1
198003;80.4;1
198004;7.6;1
198005;46;1
198006;74.8;1
198007;75.6;1
198008;25.7;1
198009;33.5;1
198010;55.1;1
198011;51.6;1
198012;67.8;1
198101;74.7;1
198102;43.1;1
198103;66.9;1
198104;29.7;1
198105;140.3;1
198106;48;1
198107;62.8;1
198108;23.2;1
198109;52.2;1
198110;149.4;1
198111;35.7;1
198112;124.5;1
198201;45.8;1
198202;15.3;1
198203;56.5;1
198204;8.6;1
198205;90.1;1
198206;73.8;1
198207;89.3;1
198208;29.8;1
198209;34.7;1
198210;89.7;1
198211;73.4;1
198212;80.5;1
198301;41.8;1
198302;59.7;1
198303;34.1;1
198304;98.9;1
198305;99;1
198306;48.6;1
198307;74;1
198308;27.7;1
198309;51.2;1
198310;33.4;1
198311;28.5;1
198312;34.7;1
198401;125.2;1
198402;35.2;1
198403;46.7;1
198404;12.9;1
198405;144.2;1
198406;25.1;1
198407;57.6;1
198408;21.6;1
198409;117.4;1
198410;51.7;1
198411;81.3;1
198412;38.6;1
198501;33;1
198502;20;1
198503;65.1;1
198504;64.6;1
198505;74.5;1
198506;30.9;1
198507;59.1;1
198508;52.8;1
198509;24.8;1
198510;16;1
198511;50.7;1
198512;30.5;1
198601;88.1;1
198602;23.2;1
198603;75.2;1
198604;61.5;1
198605;45.6;1
198606;23;1
198607;15.5;1
198608;45;1
198609;117.6;1
198610;57.7;1
198611;32.3;1
198612;79.7;1
198701;45.7;1
198702;33.7;1
198703;41.2;1
198704;45.2;1
198705;58;1
198706;91.1;1
198707;72;1
198708;50.7;1
198709;27;1
198710;119.2;1
198711;50.6;1
198712;35.6;1
198801;123.4;1
198802;67.4;1
198803;87.6;1
198804;46.7;1
198805;106.2;1
198806;23;1
198807;74.6;1
198808;45.5;1
198809;56.2;1
198810;52;1
198811;36.4;1
198812;51.5;1
198901;31.9;1
198902;54;1
198903;81.9;1
198904;98.8;1
198905;34;1
198906;32.8;1
198907;16.3;1
198908;21;1
198909;21.5;1
198910;29;1
198911;34.5;1
198912;104.2;1
199001;50.6;1
199002;113.7;1
199003;15.3;1
199004;54.4;1
199005;18.2;1
199006;59;1
199007;21.6;1
199008;7.7;1
199009;38.8;1
199010;64.5;1
199011;31.6;1
199012;60.6;1
199101;84.1;1
199102;27.8;1
199103;55.3;1
199104;49.8;1
199105;31.9;1
199106;65.4;1
199107;53;1
199108;11.4;1
199109;45.4;1
199110;50.6;1
199111;89.8;1
199112;32;1
199201;7.7;1
199202;23;1
199203;47.2;1
199204;31.4;1
199205;22.8;1
199206;91.2;1
199207;51.5;1
199208;87.2;1
199209;70.3;1
199210;60;1
199211;100;1
199212;56.3;1
199301;75.9;1
199302;20.6;1
199303;5.3;1
199304;84.3;1
199305;70.4;1
199306;56.1;1
199307;43.6;1
199308;5;1
199309;104.8;1
199310;67.7;1
