# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30009001
# NOM_USUEL= ALZON
# LATITUDE (°) = 43.979
# LONGITUDE(°)= 3.444
# ALTITUDE (m) = 611
# NUM_SERIE= MRR230009001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;77.2;1
195002;139.8;1
195003;74.9;1
195004;36;1
195005;44.5;1
195006;64.7;1
195007;61.5;1
195008;97.4;1
195009;33.5;1
195010;124.9;1
195011;34.3;1
195012;125.8;1
195101;150;1
195102;82;1
195103;129.3;1
195104;24.2;1
195105;214.5;1
195106;34.5;1
195107;11.8;1
195108;27.1;1
195109;74.5;1
195110;203.9;1
195111;164.4;1
195112;54.9;1
195201;68.4;1
195202;23.4;1
195203;118.1;1
195204;96.8;1
195205;138.6;1
195206;35.4;1
195207;15.8;1
195208;29.4;1
195209;12.4;1
195210;130.3;1
195211;105.7;1
195212;79.2;1
195301;7;1
195302;29.5;1
195303;78.6;1
195304;23.6;1
195305;62.9;1
195306;120.9;1
195307;15;1
195308;27.7;1
195309;174.7;1
195310;392;1
195311;110.4;1
195312;668.9;1
195401;44.5;1
195402;179;1
195403;257.4;1
195404;63.9;1
195405;114.8;1
195406;54.5;1
195407;40;1
195408;96.1;1
195409;7;1
195410;19.8;1
195411;153.5;1
195412;68;1
195501;439.3;1
195502;51.3;1
195503;25.7;1
195504;1.2;1
195505;36.4;1
195506;142.1;1
195507;35.3;1
195508;44.9;1
195509;65.1;1
195510;164.9;1
195511;158.9;1
195512;130.5;1
195601;44.8;1
195602;3.5;1
195603;387.7;1
195604;81.6;1
195605;140.6;1
195606;16.3;1
195607;45.1;1
195608;60.2;1
195609;163.3;1
195610;44.2;1
195611;91.1;1
195612;127.4;1
195701;31.5;1
195702;153.4;1
195703;67.7;1
195704;324.4;1
195705;97;1
195706;246.6;1
195707;21.5;1
195708;77.3;1
195709;49.7;1
195710;2.4;1
195711;102.8;1
195712;83.7;1
195801;54.3;1
195802;15.4;1
195803;103.3;1
195804;80.4;1
195805;34.5;1
195806;60;1
195807;55.6;1
195808;16.5;1
195809;292.5;1
195810;113.7;1
195811;94.5;1
195812;190.8;1
195901;63.2;1
195902;97.2;1
195903;239.5;1
195904;167;1
195905;104.5;1
195906;84;1
195907;10;1
195908;103;1
195909;119;1
195910;183.5;1
195911;136;1
195912;298.6;1
196001;161.8;1
196002;64.3;1
196003;357.7;1
196004;30.8;1
196005;28.4;1
196006;42.2;1
196007;55;1
196008;99.5;1
196009;83;1
196010;325;1
196011;139.6;1
196012;73;1
196101;93;1
196102;41.9;1
196103;0;1
196104;122.3;1
196105;42.6;1
196106;72.2;1
196107;41.6;1
196108;10;1
196109;139;1
196110;120.8;1
196111;227.3;1
196112;56.8;1
196201;208.4;1
196202;64.2;1
196203;106.4;1
196204;109.5;1
196205;38;1
196206;43.7;1
196207;11;1
196208;80.5;1
196209;92;1
196210;159;1
196211;350;1
196212;135.8;1
196301;155;1
196302;167.2;1
196303;79.3;1
196304;149.8;1
196305;75.4;1
196306;132.3;1
196307;100.1;1
196308;178.1;1
196309;188.1;1
196310;266.7;1
196311;214.8;1
196312;227.1;1
196401;76.5;1
196402;430.4;1
196403;155.3;1
196404;210.9;1
196405;299.7;1
196406;62.3;1
196407;49.6;1
196408;46.3;1
196409;220.1;1
196410;173.6;1
196411;97.2;1
196412;98.1;1
196501;128.6;1
196502;48.7;1
196503;169.3;1
196504;32.9;1
196505;61.9;1
196506;44.9;1
196507;28.2;1
196508;16.8;1
196509;411.7;1
196510;325.5;1
196511;120.4;1
196512;165.9;1
196601;157.8;1
196602;159.8;1
196603;15.6;1
196604;145.2;1
196605;146.1;1
196606;84.3;1
196607;64.9;1
196608;26.3;1
196609;122.1;1
196610;213.1;1
196611;164.4;1
196612;59.8;1
196701;122.7;1
196702;162.9;1
196703;97.6;1
196704;31;1
196705;85.8;1
196706;28.2;1
196707;19.2;1
196708;65.7;1
196709;22.7;1
196710;56.6;1
196711;154.1;1
196712;20.5;1
196801;77.3;1
196802;122.3;1
196803;19.4;1
196804;171.1;1
196805;133.3;1
196806;70;1
196807;54.6;1
196808;185.3;1
196809;62.2;1
196810;73.8;1
196811;152.1;1
196812;126;1
196901;239.7;1
196902;243;1
196903;358.8;1
196904;193.1;1
196905;175.2;1
196906;56.1;1
196907;75.9;1
196908;128.3;1
196909;244.4;1
196910;334.3;1
196911;142.5;1
196912;70.4;1
197001;301.4;1
197002;41.3;1
197003;48.1;1
197004;30.3;1
197005;147.6;1
197006;40.1;1
197007;0;1
197008;70.2;1
197009;30.7;1
197010;238.2;1
197011;61;1
197012;51.4;1
197101;340.7;1
197102;6.8;1
197103;91.4;1
197104;354.8;1
197105;97.7;1
197106;139.7;1
197107;60.8;1
197108;40.4;1
197109;56.4;1
197110;40.9;1
197111;41;1
197112;152.3;1
197201;507.2;1
197202;515.7;1
197203;294.9;1
197204;63.2;1
197205;79.9;1
197206;156.6;1
197207;43.2;1
197208;104.3;1
197209;134.9;1
197210;205.7;1
197211;42.3;1
197212;174.4;1
197301;186.5;1
197302;42.7;1
197303;35.3;1
197304;58.3;1
197305;40.8;1
197306;86.7;1
197307;82.3;1
197308;32.2;1
197309;29.4;1
197310;53.4;1
197311;175.9;1
197312;442.8;1
197401;168.3;1
197402;166.3;1
197403;246.2;1
197404;138.1;1
197405;86.8;1
197406;56.1;1
197407;46.5;1
197408;57.4;1
197409;137.2;1
197410;53.6;1
197411;153.7;1
197412;12.7;1
197501;217.8;1
197502;140.2;1
197503;133.6;1
197504;24.6;1
197505;139;1
197506;29.9;1
197507;39.6;1
197508;84.4;1
197509;172.1;1
197510;22.3;1
197511;104.7;1
197512;133.5;1
197601;29.3;1
197602;340.4;1
197603;41.2;1
197604;172.4;1
197605;48.2;1
197606;15.2;1
197607;48.2;1
197608;113.3;1
197609;140.1;1
197610;464.6;1
197611;75.8;1
197612;281.4;1
197701;220.7;1
197702;84.5;1
197703;100.2;1
197704;22;1
197705;200;1
197706;148.2;1
197707;100.8;1
197708;108.2;1
197709;18.6;1
197710;346.4;1
197711;19.2;1
