# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30189001
# NOM_USUEL= NIMES-COURBESSAC
# LATITUDE (°) = 43.857
# LONGITUDE(°)= 4.406
# ALTITUDE (m) = 59
# NUM_SERIE= MRR230189001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 198412 199012
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;32.5;1
195002;44;1
195003;65.2;1
195004;13.4;1
195005;39.4;1
195006;4.8;1
195007;11.6;1
195008;29.8;1
195009;33.9;1
195010;62;1
195011;26.9;1
195012;97.5;1
195101;91.4;1
195102;89;1
195103;83.9;1
195104;55;1
195105;107.7;1
195106;28;1
195107;27.6;1
195108;58.7;1
195109;104.5;1
195110;270.6;1
195111;126.3;1
195112;41.9;1
195201;53.6;1
195202;8.5;1
195203;31.6;1
195204;35.3;1
195205;57.3;1
195206;9.4;1
195207;10.3;1
195208;30.6;1
195209;11.2;1
195210;62.7;1
195211;97.9;1
195212;49;1
195301;5.9;1
195302;3.8;1
195303;2.7;1
195304;29.3;1
195305;57.6;1
195306;92.1;1
195307;18.9;1
195308;11.6;1
195309;278.2;1
195310;142;1
195311;20.1;1
195312;57.8;1
195401;23.9;1
195402;64;1
195403;93.2;1
195404;37.7;1
195405;164.3;1
195406;25.9;1
195407;15.3;1
195408;101.8;1
195409;23.4;1
195410;15.5;1
195411;61.5;1
195412;33.1;1
195501;208.3;1
195502;53.7;1
195503;42.1;1
195504;0;1
195505;25;1
195506;91.4;1
195507;18.7;1
195508;9.8;1
195509;62.7;1
195510;194;1
195511;109.4;1
195512;51.1;1
195601;38.1;1
195602;31;1
195603;111.2;1
195604;45.3;1
195605;24.3;1
195606;13.1;1
195607;38.2;1
195608;20;1
195609;103.4;1
195610;49.9;1
195611;54.3;1
195612;48.8;1
195701;0.8;1
195702;66.7;1
195703;49.8;1
195704;95.5;1
195705;67.1;1
195706;148.7;1
195707;6.1;1
195708;22.6;1
195709;51.5;1
195710;8.2;1
195711;66.6;1
195712;157.7;1
195801;11;1
195802;16.4;1
195803;45.2;1
195804;61.4;1
195805;13.4;1
195806;54.6;1
195807;24.4;1
195808;1.3;1
195809;127.4;1
195810;69.6;1
195811;31.6;1
195812;80.8;1
195901;2.5;1
195902;23.2;1
195903;119.2;1
195904;79.8;1
195905;84.9;1
195906;49.4;1
195907;56.2;1
195908;73.9;1
195909;102.3;1
195910;94.3;1
195911;84.6;1
195912;149.6;1
196001;58.6;1
196002;74.6;1
196003;224.6;1
196004;14;1
196005;7.5;1
196006;19.4;1
196007;47.3;1
196008;77.1;1
196009;72.7;1
196010;167.6;1
196011;128.2;1
196012;81.4;1
196101;19.8;1
196102;19.9;1
196103;0;1
196104;78.7;1
196105;77.6;1
196106;21.4;1
196107;40.8;1
196108;7.4;1
196109;22.3;1
196110;110.9;1
196111;204.8;1
196112;26.3;1
196201;48;1
196202;70.7;1
196203;47.4;1
196204;68.9;1
196205;20.1;1
196206;34.2;1
196207;1.5;1
196208;21.3;1
196209;88.1;1
196210;110.3;1
196211;85.1;1
196212;50.4;1
196301;92.6;1
196302;113.5;1
196303;30.2;1
196304;78.2;1
196305;16.9;1
196306;40.4;1
196307;80;1
196308;66.7;1
196309;157.6;1
196310;77.8;1
196311;142.9;1
196312;73.2;1
196401;37.6;1
196402;148.9;1
196403;146.6;1
196404;22.9;1
196405;82;1
196406;36.9;1
196407;26.9;1
196408;155.9;1
196409;98.3;1
196410;77.8;1
196411;62.9;1
196412;21.5;1
196501;91.1;1
196502;23.7;1
196503;55.4;1
196504;1.6;1
196505;14.5;1
196506;26.2;1
196507;52.1;1
196508;68.9;1
196509;146.8;1
196510;90.4;1
196511;27.8;1
196512;54.8;1
196601;35.4;1
196602;124.6;1
196603;3.4;1
196604;78.4;1
196605;55;1
196606;14.9;1
196607;41.4;1
196608;63.7;1
196609;25;1
196610;116.1;1
196611;73;1
196612;12.2;1
196701;28.6;1
196702;91;1
196703;8.9;1
196704;29.7;1
196705;45.8;1
196706;8.4;1
196707;6.5;1
