# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30212002
# NOM_USUEL= REMOULINS
# LATITUDE (°) = 43.932
# LONGITUDE(°)= 4.562
# ALTITUDE (m) = 22
# NUM_SERIE= MRR230212002
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;31.3;1
195002;54.3;1
195003;62.4;1
195004;18.7;1
195005;59.8;1
195006;4;1
195007;0;1
195008;8.8;1
195009;52;1
195010;69.3;1
195011;33.1;1
195012;63.7;1
195101;80.8;1
195102;150.2;1
195103;49.9;1
195104;49.4;1
195105;111.1;1
195106;66.3;1
195107;4.3;1
195108;159.3;1
195109;127.9;1
195110;215.8;1
195111;202.9;1
195112;36.3;1
195201;38.1;1
195202;0;1
195203;25.7;1
195204;24.2;1
195205;87.2;1
195206;7;1
195207;2.6;1
195208;35.8;1
195209;48.5;1
195210;124.4;1
195211;65.9;1
195212;59.2;1
195301;0.5;1
195302;5.4;1
195303;0;1
195304;28.8;1
195305;26.7;1
195306;74.3;1
195307;17.4;1
195308;3.8;1
195309;343.6;1
195310;136.5;1
195311;22;1
195312;35.9;1
195401;23;1
195402;50.5;1
195403;107.2;1
195404;58.9;1
195405;106.5;1
195406;51.7;1
195407;16.6;1
195408;135.6;1
195409;52.7;1
195410;25.5;1
195411;29.8;1
195412;47;1
195501;163.3;1
195502;58.6;1
195503;70.7;1
195504;0;1
195505;64.3;1
195506;103.4;1
195507;21.5;1
195508;22;1
195509;61.7;1
195510;141.2;1
195511;99.9;1
195512;54.3;1
195601;61.7;1
195602;73;1
195603;110;1
195604;61.3;1
195605;72.3;1
195606;9.7;1
195607;19.7;1
195608;24.9;1
195609;128.6;1
195610;21.3;1
195611;49.1;1
195612;59.6;1
195701;0;1
195702;87.3;1
195703;65.3;1
195704;86.9;1
195705;67.1;1
195706;146.4;1
195707;3.2;1
195708;29.2;1
195709;69.5;1
195710;4.7;1
195711;73.1;1
195712;192.6;1
195801;9.6;1
195802;7.7;1
195803;44.6;1
195804;91.6;1
195805;7.7;1
195806;63.4;1
195807;11.3;1
195808;2.5;1
195809;142.6;1
195810;80.4;1
195811;30.9;1
195812;162.1;1
195901;1.9;1
195902;28.2;1
195903;80.6;1
195904;78.7;1
195905;78.2;1
195906;20.1;1
195907;12.6;1
195908;101.2;1
195909;93.9;1
195910;88.5;1
195911;126.3;1
195912;130;1
196001;63.3;1
196002;82.6;1
196003;140.1;1
196004;18.8;1
196005;0.3;1
196006;25.1;1
196007;29.1;1
196008;89.3;1
196009;68.6;1
196010;177.3;1
196011;183.5;1
196012;106.5;1
196101;23.8;1
196102;14.8;1
196103;0;1
196104;109.6;1
196105;76.6;1
196106;30.5;1
196107;23.1;1
196108;5.7;1
196109;29;1
196110;118.3;1
196111;192.3;1
196112;21.9;1
196201;28;1
196202;69;1
196203;40;1
196204;64;1
196205;36.7;1
196206;36;1
196207;0;1
196208;17;1
196209;92.8;1
196210;69.4;1
196211;63.9;1
196212;26.1;1
196301;82.5;1
196302;95;1
196303;45.9;1
196304;74.8;1
196305;29.6;1
196306;61.6;1
196307;104.3;1
196308;69.2;1
196309;150.5;1
196310;62.5;1
196311;79.4;1
196312;56.3;1
196401;29.8;1
196402;128;1
196403;169.2;1
196404;28.2;1
196405;77.5;1
196406;27;1
196407;14.6;1
196408;251.9;1
196409;116.4;1
196410;88.3;1
196411;57.4;1
196412;19.8;1
196501;72.9;1
196502;14.2;1
196503;42.8;1
196504;1.4;1
196505;12.6;1
196506;20.4;1
196507;59.9;1
196508;67.1;1
196509;86.9;1
196510;52.6;1
196511;26.9;1
196512;59.2;1
196601;33.4;1
196602;126.2;1
196603;1;1
196604;88.7;1
196605;43.4;1
196606;9.4;1
196607;39.2;1
196608;38.3;1
196609;25.1;1
196610;167.4;1
196611;59.2;1
196612;9.3;1
196701;24.3;1
196702;70.3;1
196703;16.3;1
196704;20.4;1
196705;159.6;1
196706;18.5;1
196707;2.3;1
196708;28;1
196709;20.3;1
196710;101;1
196711;104.8;1
196712;5.7;1
196801;1.4;1
196802;89.9;1
196803;9.2;1
196804;95;1
196805;93.1;1
196806;63.5;1
196807;1.2;1
196808;91.5;1
196809;121.3;1
196810;61.5;1
196811;104.5;1
196812;49.5;1
196901;92.8;1
196902;71.6;1
196903;75.7;1
196904;29.6;1
196905;73.4;1
196906;59.4;1
196907;21.8;1
196908;27;1
196909;119.9;1
196910;125.4;1
196911;61.2;1
196912;52;1
197001;77.7;1
197002;15;1
197003;48.9;1
197004;35.8;1
197005;54.4;1
197006;52.1;1
197007;0;1
197008;36.8;1
197009;28;1
197010;77;1
197011;55.8;1
197012;88;1
197101;102;1
197102;0;1
197103;109.8;1
197104;126.3;1
197105;65.2;1
197106;72.1;1
197107;59.8;1
197108;5.7;1
197109;43;1
197110;38;1
197111;85;1
197112;99.3;1
197201;124.1;1
197202;196.2;1
197203;64.4;1
197204;53;1
197205;50;1
197206;90.2;1
197207;6;1
197208;99;1
197209;144.3;1
197210;137.5;1
197211;37.5;1
197212;97;1
197301;57.6;1
197302;28.3;1
197303;54;1
197304;31.8;1
197305;7.5;1
197306;68.3;1
197307;30.8;1
197308;5;1
197309;22.3;1
197310;266.8;1
197311;37.4;1
197312;109.9;1
197401;93.2;1
197402;175.3;1
197403;120.8;1
197404;103.8;1
197405;40.7;1
197406;33.8;1
197407;6.5;1
197408;62;1
197409;102.1;1
197410;6.8;1
197411;21;1
197412;2.3;1
197501;45.9;1
197502;74.3;1
197503;76.5;1
197504;18;1
197505;145;1
197506;20.5;1
197507;32.6;1
197508;33.4;1
197509;148.6;1
197510;22.5;1
197511;60.1;1
197512;96.4;1
197601;27;1
197602;55.2;1
197603;45.3;1
197604;89.1;1
197605;36.5;1
197606;0;1
197607;26;1
197608;42.5;1
197609;176.1;1
197610;344.5;1
197611;81.5;1
197612;49.5;1
197701;78.7;1
197702;40.1;1
197703;90;1
197704;22;1
197705;196.8;1
197706;69.2;1
197707;61.5;1
197708;35.2;1
197709;11.5;1
197710;201;1
197711;76.5;1
197712;113.9;1
197801;112;1
197802;93.7;1
197803;33.3;1
197804;85.5;1
197805;131;1
197806;12.3;1
197807;29.8;1
197808;10;1
197809;14;1
197810;13.5;1
197811;5.6;1
197812;134.6;1
197901;119.6;1
197902;59.9;1
197903;66.8;1
197904;31.8;1
197905;52.4;1
197906;8.9;1
197907;32.8;1
197908;16.3;1
197909;60;1
197910;330;1
197911;10.2;1
197912;45.7;1
198001;31.4;1
198002;4.2;1
198003;58.8;1
198004;71.9;1
198005;69.3;1
198006;16.6;1
198007;19.9;1
198008;68.4;1
198009;9;1
198010;46.6;1
198011;44.6;1
198012;11.8;1
198101;26;1
198102;9.9;1
198103;73.2;1
198104;35.2;1
198105;81.3;1
198106;35.1;1
198107;14.7;1
198108;5.7;1
198109;65.3;1
198110;42.1;1
198111;0;1
198112;130.7;1
198201;8.4;1
198202;28.8;1
198203;25.3;1
198204;17.8;1
198205;2.3;1
198206;52.2;1
198207;206.2;1
198208;49.7;1
198209;56.3;1
198210;79.3;1
198211;179.7;1
198212;40.3;1
198301;0;1
198302;71.8;1
198303;76.6;1
198304;33;1
198305;40.7;1
198306;20.6;1
198307;0;1
198308;43.5;1
198309;14.7;1
198310;88.2;1
198311;15.5;1
198312;55.2;1
198401;66.9;1
198402;29.1;1
198403;54.4;1
198404;2.9;1
198405;131;1
198406;23.8;1
198407;1.8;1
198408;76.8;1
198409;38.6;1
198410;64.2;1
198411;156.7;1
198412;92.9;1
198501;19.7;1
198502;24.8;1
198503;117.8;1
198504;14.6;1
198505;86;1
198506;24;1
198507;10.7;1
198508;89;1
198509;0;1
198510;53.1;1
198511;17;1
198512;76.6;1
198601;127.4;1
198602;100.5;1
198603;25;1
198604;170.5;1
198605;10.1;1
198606;20.6;1
198607;0;1
198608;67;1
198609;114.1;1
198610;119.4;1
198611;79.7;1
198612;65.9;1
198701;50.5;1
198702;139.1;1
198703;54.5;1
198704;76.6;1
198705;42.7;1
198706;41.3;1
198707;63.8;1
198708;216.2;1
198709;22.3;1
198710;203.3;1
198711;95.6;1
198712;57.6;1
198801;130;1
198802;24.5;1
198803;31.9;1
198804;117;1
198805;94.6;1
198806;21.1;1
198807;16.9;1
198808;73.3;1
198809;31.4;1
198810;275.8;1
198811;21.3;1
198812;9.8;1
198901;41;1
198902;31;1
198903;29.8;1
198904;86.5;1
198905;3;1
198906;1;1
198907;1.5;1
198908;1;1
198909;39;1
198910;85;1
198911;51;1
198912;25;1
199001;54;1
199002;39;1
199003;8;1
199004;83;1
199005;65.5;1
199006;37;1
199007;19;1
199008;22.5;1
199009;30;1
199010;233.5;1
199011;28.5;1
199012;42;1
199101;14.5;1
199102;22.5;1
199103;86;1
199104;46;1
199105;26;1
199106;21;1
199107;84.5;1
199108;26;1
199109;68;1
199110;117.5;1
199111;16;1
199112;0;1
199201;21.5;1
199202;36;1
199203;14;1
199204;14;1
199205;79.5;1
199206;103.5;1
199207;25;1
199208;33;1
199209;61.9;1
199210;70;1
199211;17.5;1
199212;24;1
199301;0;1
199302;17.5;1
199303;22;1
199304;138.5;1
199305;43;1
199306;35.7;1
199307;23;1
199308;33;1
199309;157.5;1
199310;125.5;1
199311;105;1
199312;15.8;1
199401;92.5;1
199402;159;1
199403;19.5;1
199404;49;1
