# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30224001
# NOM_USUEL= LA ROUVIERE
# LATITUDE (°) = 43.932
# LONGITUDE(°)= 4.241
# ALTITUDE (m) = 79
# NUM_SERIE= MRR230224001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 198912 201804
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;27.9;1
195002;37.2;1
195003;55.3;1
195004;16.3;1
195005;32.9;1
195006;11;1
195007;22.6;1
195008;18.5;1
195009;64.4;1
195010;55.1;1
195011;28.5;1
195012;97;1
195101;84.8;1
195102;81.2;1
195103;88.1;1
195104;42.2;1
195105;103.7;1
195106;34.1;1
195107;36.2;1
195108;83.7;1
195109;128.5;1
195110;223.2;1
195111;107.3;1
195112;29.2;1
195201;42.7;1
195202;3.3;1
195203;65.7;1
195204;42.4;1
195205;50.4;1
195206;8.7;1
195207;0.8;1
195208;43.7;1
195209;47.8;1
195210;72.2;1
195211;136.2;1
195212;36.3;1
195301;4.9;1
195302;3.5;1
195303;11.5;1
195304;29.9;1
195305;25.4;1
195306;118.5;1
195307;11.4;1
195308;16.9;1
195309;223.7;1
195310;253.5;1
195311;11.8;1
195312;72.8;1
195401;36;1
195402;71.9;1
195403;91.7;1
195404;35.7;1
195405;141;1
195406;56.6;1
195407;67.2;1
195408;134.3;1
195409;29.4;1
195410;22.4;1
195411;60.8;1
195412;43;1
195501;265.4;1
195502;27.9;1
195503;17.9;1
195504;0;1
195505;30;1
195506;141.4;1
195507;39;1
195508;35.8;1
195509;60.2;1
195510;251.6;1
195511;133.6;1
195512;36.2;1
195601;38.3;1
195602;34.7;1
195603;137.6;1
195604;52.8;1
195605;34.9;1
195606;43.1;1
195607;14;1
195608;38.9;1
195609;103.6;1
195610;96;1
195611;10.3;1
195612;122.1;1
195701;0.3;1
195702;99.4;1
195703;52.3;1
195704;101.1;1
195705;52.8;1
195706;145.5;1
195707;4.1;1
195708;17.4;1
195709;46;1
195710;25;1
195711;83.6;1
195712;145.1;1
195801;26;1
