# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30243001
# NOM_USUEL= ST CHRISTOL-LES-ALES
# LATITUDE (°) = 44.092
# LONGITUDE(°)= 4.08
# ALTITUDE (m) = 129
# NUM_SERIE= MRR230243001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;33.9;1
195002;39.1;1
195003;35.3;1
195004;12.7;1
195005;169;1
195006;10.5;1
195007;12;1
195008;30;1
195009;83;1
195010;102;1
195011;78;1
195012;89;1
195101;102;1
195102;71.5;1
195103;93.5;1
195104;49;1
195105;190;1
195106;20;1
195107;3;1
195108;120;1
195109;121;1
195110;304;1
195111;161.5;1
195112;30.5;1
195201;30;1
195202;16.2;1
195203;123.5;1
195204;25.8;1
195205;73;1
195206;52;1
195207;0;1
195208;30;1
195209;9.5;1
195210;69.5;1
195211;147.7;1
195212;58.5;1
195301;4;1
195302;16;1
195303;16;1
195304;29.5;1
195305;15;1
195306;90;1
195307;38;1
195308;41;1
195309;181;1
195310;287;1
195311;90;1
195312;65;1
195401;31.5;1
195402;74;1
195403;93.4;1
195404;48.1;1
195405;128;1
195406;82.1;1
195407;107.2;1
195408;86.8;1
195409;26.1;1
195410;16;1
195411;121.9;1
195412;26.5;1
195501;260.1;1
195502;76.6;1
195503;30;1
195504;0;1
195505;66.8;1
195506;175.8;1
195507;22.1;1
195508;52.2;1
195509;57.3;1
195510;184.9;1
195511;151.4;1
195512;84.2;1
195601;33.2;1
195602;60;1
195603;193.5;1
195604;55.8;1
195605;91.9;1
195606;17.4;1
195607;16.9;1
195608;38;1
195609;159.5;1
195610;59;1
195611;36;1
195612;122.3;1
195701;0;1
195702;82.5;1
195703;32.4;1
195704;125.6;1
195705;72.6;1
195706;212.5;1
195707;0;1
195708;22.3;1
195709;70.5;1
195710;8.5;1
195711;84.8;1
195712;178;1
195801;32.8;1
195802;12.1;1
195803;63;1
195804;57.7;1
195805;9.6;1
195806;93.8;1
195807;94.5;1
195808;47.4;1
195809;229.8;1
195810;196;1
