# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 33042001
# NOM_USUEL= BELIN-BELIET
# LATITUDE (°) = 44.494
# LONGITUDE(°)= -0.791
# ALTITUDE (m) = 36
# NUM_SERIE= MRR233042001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 196310 198412
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.1;1
195002;84.6;1
195003;59.5;1
195004;62.9;1
195005;80.2;1
195006;22.3;1
195007;36.5;1
195008;104.5;1
195009;36.7;1
195010;56.5;1
195011;218.2;1
195012;228;1
195101;163.3;1
195102;165.1;1
195103;90;1
195104;49;1
195105;138.2;1
195106;84.6;1
195107;43.4;1
195108;101.5;1
195109;55.9;1
195110;20.5;1
195111;111.7;1
195112;77.1;1
195201;127;1
195202;76.5;1
195203;54.3;1
195204;53.5;1
195205;40;1
195206;50.7;1
195207;57.5;1
195208;70.4;1
195209;93.5;1
195210;161.9;1
195211;180.7;1
195212;231.5;1
195301;19.8;1
195302;44.3;1
195303;7.3;1
195304;48.1;1
195305;13;1
195306;86.9;1
195307;39;1
195308;16.4;1
195309;59.6;1
195310;71;1
195311;65.4;1
195312;9.1;1
195401;77.9;1
195402;121.2;1
195403;101.5;1
195404;70;1
195405;34.4;1
195406;23.4;1
195407;38.3;1
195408;119.9;1
195409;69.4;1
195410;55.6;1
195411;66.6;1
195412;90.4;1
195501;170.9;1
195502;136.5;1
195503;9;1
195504;0;1
195505;48.4;1
195506;121.2;1
195507;94.5;1
195508;34.2;1
195509;32.3;1
195510;104.9;1
195511;39.7;1
195512;125.8;1
195601;91.3;1
195602;18.1;1
195603;24.2;1
195604;53.9;1
195605;64.1;1
195606;68.7;1
195607;81.4;1
195608;119.8;1
195609;37.9;1
195610;29.1;1
195611;56.4;1
195612;59.9;1
195701;50.2;1
195702;126.5;1
195703;59.5;1
195704;56.9;1
195705;56.1;1
195706;100.1;1
195707;71;1
195708;28.3;1
195709;71;1
195710;33.9;1
195711;36.9;1
195712;59.6;1
195801;168.5;1
195802;32.7;1
195803;158.8;1
195804;40;1
195805;89.9;1
195806;78.7;1
195807;74.9;1
195808;138;1
195809;77;1
195810;42.2;1
195811;41.7;1
195812;147.5;1
195901;96.6;1
195902;4.5;1
195903;76.1;1
195904;94.5;1
195905;80.8;1
195906;136.8;1
195907;9.7;1
195908;89;1
195909;95.4;1
195910;129;1
195911;156.5;1
195912;235.4;1
196001;78.2;1
196002;101.4;1
196003;122.8;1
196004;20.4;1
196005;116.8;1
196006;71.5;1
196007;42.8;1
196008;106.9;1
196009;236.1;1
196010;230.5;1
196011;193.4;1
196012;170.4;1
196101;174.4;1
196102;45.7;1
196103;0;1
196104;81.2;1
196105;41.2;1
196106;76.5;1
196107;45;1
196108;34.9;1
196109;31;1
196110;142.5;1
196111;145.2;1
196112;108;1
196201;92.3;1
196202;53;1
196203;93;1
196204;42.3;1
196205;97.4;1
196206;12.5;1
196207;49.4;1
196208;10.9;1
196209;42.8;1
196210;80.3;1
196211;106.9;1
196212;88.9;1
196301;47.3;1
196302;103.3;1
196303;124.9;1
196304;47.5;1
196305;46.4;1
196306;151.2;1
196307;71.9;1
196308;136;1
196309;116.6;1
196310;67.4;1
196311;126.3;1
196312;27.9;1
196401;9.9;1
196402;52.7;1
196403;53.6;1
196404;97.1;1
196405;65.5;1
196406;26.6;1
196407;10.3;1
196408;27.9;1
196409;34.2;1
196410;198.8;1
196411;45.3;1
196412;105.7;1
196501;111.3;1
196502;11.2;1
196503;95.9;1
196504;57.5;1
196505;27.4;1
196506;25.1;1
196507;55.2;1
196508;47.2;1
196509;229.6;1
196510;35;1
196511;201.3;1
196512;208.7;1
196601;99.5;1
196602;115.8;1
196603;29;1
196604;64.6;1
196605;57.8;1
196606;89.2;1
196607;51.7;1
196608;60.7;1
196609;45.6;1
196610;120.6;1
196611;186.9;1
196612;194.1;1
196701;44.6;1
196702;113;1
196703;36.8;1
196704;59.9;1
196705;75.6;1
196706;25.3;1
196707;32.8;1
196708;28.8;1
196709;91.3;1
196710;134.3;1
196711;132.4;1
196712;76.8;1
196801;105.2;1
196802;100.7;1
196803;35.1;1
196804;77.7;1
196805;75.2;1
196806;35.1;1
196807;60.2;1
196808;142.8;1
196809;141.4;1
196810;71.5;1
196811;23.4;1
196812;152.7;1
196901;111.1;1
196902;69;1
196903;85.8;1
196904;69.3;1
196905;115.3;1
196906;47.7;1
196907;19.7;1
196908;38.7;1
196909;173.4;1
196910;4.1;1
196911;141.2;1
196912;134.1;1
197001;81;1
197002;138.3;1
197003;71.8;1
197004;58.4;1
197005;45.2;1
197006;88;1
197007;10.5;1
197008;66.8;1
197009;27.4;1
197010;33.7;1
197011;132;1
197012;49.8;1
197101;151.2;1
197102;72.2;1
197103;53.8;1
197104;65.7;1
197105;115.2;1
197106;120.1;1
197107;151.5;1
197108;47.4;1
197109;60.2;1
197110;16.4;1
197111;124.1;1
197112;60.9;1
197201;95;1
197202;116.3;1
197203;61.9;1
197204;61.9;1
197205;73.7;1
197206;13;1
197207;11.3;1
197208;124.8;1
197209;16.7;1
197210;50.9;1
197211;59;1
197212;52.6;1
197301;72.4;1
197302;171.3;1
197303;17.4;1
197304;31.7;1
197305;68.2;1
197306;72.3;1
197307;131.7;1
197308;64.3;1
197309;124.7;1
197310;96.1;1
197311;54.2;1
197312;76.3;1
197401;53;1
197402;148.6;1
197403;71.7;1
197404;58.4;1
197405;97.3;1
197406;13.6;1
197407;16.9;1
197408;58.1;1
197409;144.7;1
197410;145.8;1
197411;107;1
197412;36.3;1
197501;79.3;1
197502;25.5;1
197503;115.4;1
197504;94.4;1
197505;60.1;1
197506;55.5;1
197507;14.1;1
197508;51.7;1
197509;116.6;1
197510;50.9;1
197511;170.3;1
197512;34.1;1
197601;32;1
197602;55.3;1
197603;69.7;1
197604;29.4;1
197605;33.3;1
197606;29.6;1
197607;45.7;1
197608;98;1
197609;127.2;1
197610;104.2;1
197611;158.1;1
197612;77.2;1
197701;114.9;1
197702;157.6;1
197703;86.7;1
197704;47.7;1
197705;156.2;1
197706;80.6;1
197707;86.7;1
197708;125.4;1
197709;2.9;1
197710;66.3;1
197711;61.2;1
197712;75.1;1
197801;195.8;1
197802;73.9;1
197803;124.3;1
197804;84;1
197805;67.2;1
197806;103.5;1
197807;62.9;1
197808;32.8;1
197809;69.2;1
197810;5.1;1
197811;14.6;1
197812;174.6;1
197901;180.1;1
197902;94.5;1
197903;174.8;1
197904;130.2;1
197905;123.5;1
197906;18.4;1
197907;24.2;1
197908;33.6;1
197909;75.6;1
197910;45.3;1
197911;123.9;1
197912;129;1
198001;106.7;1
198002;40.1;1
198003;148.3;1
198004;21.9;1
198005;127.2;1
198006;78.5;1
198007;129.6;1
198008;42.3;1
198009;58.2;1
198010;205.8;1
198011;35.6;1
198012;80.4;1
198101;89.2;1
198102;58.4;1
198103;69.1;1
198104;61.6;1
198105;113.1;1
198106;28.7;1
198107;34.7;1
198108;20.3;1
198109;88.3;1
198110;143.4;1
198111;30;1
198112;242.8;1
198201;110.9;1
198202;57.3;1
198203;106.6;1
198204;2.1;1
198205;48.3;1
198206;49.8;1
198207;49.8;1
198208;27.2;1
198209;55.3;1
198210;225.2;1
198211;102.8;1
198212;204.6;1
198301;29;1
198302;120.8;1
198303;64.9;1
198304;113.1;1
198305;109.8;1
198306;36.9;1
198307;56.3;1
198308;132;1
198309;29.1;1
198310;29.5;1
198311;43.2;1
198312;138.3;1
198401;220.7;1
198402;119.9;1
198403;69.8;1
198404;24.2;1
198405;130.3;1
198406;36.7;1
198407;10.9;1
198408;45.6;1
198409;115.1;1
198410;138.6;1
198411;170.5;1
198412;87.2;1
198501;57.5;1
198502;74.1;1
198503;120.8;1
198504;72.1;1
198505;89.7;1
198506;37;1
198507;120.8;1
198508;28.1;1
198509;5;1
198510;25.7;1
198511;73.8;1
198512;114.9;1
198601;188.5;1
198602;97.4;1
198603;67.3;1
198604;163.7;1
198605;40.7;1
198606;17.8;1
198607;4.3;1
198608;61;1
198609;91.6;1
198610;73.3;1
198611;58.5;1
198612;104.2;1
198701;32.4;1
198702;56.2;1
198703;51;1
198704;39.1;1
198705;22.5;1
198706;91.9;1
198707;59.2;1
198708;25;1
198709;48.9;1
198710;144.3;1
198711;102.2;1
198712;23.9;1
198801;178.6;1
198802;131.1;1
198803;147.3;1
198804;98.7;1
198805;174.3;1
198806;57.9;1
198807;55;1
198808;42.5;1
198809;47.2;1
198810;47;1
198811;27.6;1
198812;65.9;1
198901;30.8;1
198902;106.5;1
198903;37;1
198904;208.5;1
198905;25.1;1
198906;28.9;1
198907;46;1
198908;40.7;1
198909;28.5;1
198910;27.3;1
198911;92.6;1
198912;24.7;1
199001;75.1;1
199002;90.8;1
199003;6.8;1
199004;104.6;1
199005;57.5;1
199006;56.2;1
199007;25.8;1
199008;18.8;1
199009;44.6;1
199010;194.1;1
199011;183.7;1
199012;64.9;1
199101;43.5;1
199102;60.6;1
199103;30.6;1
199104;96.5;1
199105;29.9;1
199106;53.9;1
