# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 33504001
# NOM_USUEL= SAUTERNES
# LATITUDE (°) = 44.544
# LONGITUDE(°)= -0.327
# ALTITUDE (m) = 65
# NUM_SERIE= MRR233504001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 200512
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;20.4;1
195002;102.8;1
195003;37.9;1
195004;60.7;1
195005;88.2;1
195006;94.8;1
195007;4.4;1
195008;72.8;1
195009;35.4;1
195010;19.7;1
195011;176.1;1
195012;165.1;1
195101;126.3;1
195102;156.4;1
195103;86.2;1
195104;32.8;1
195105;166.3;1
195106;96.4;1
195107;49.2;1
195108;92.8;1
195109;27.5;1
195110;47.8;1
195111;131.6;1
195112;89;1
195201;127.4;1
195202;95.1;1
195203;76.3;1
195204;64.2;1
195205;51.9;1
195206;59.5;1
195207;10.4;1
195208;72.2;1
195209;105.4;1
195210;151.5;1
195211;180.3;1
195212;222;1
195301;16.4;1
195302;60.9;1
195303;6.4;1
195304;104;1
195305;20.2;1
195306;97.8;1
195307;50.2;1
195308;11.4;1
195309;66.1;1
195310;78.5;1
195311;55.5;1
195312;3.5;1
195401;68.2;1
195402;134.6;1
195403;116.3;1
195404;68.9;1
195405;42.6;1
195406;27;1
195407;50.5;1
195408;132.2;1
195409;57.6;1
195410;80.2;1
195411;56.5;1
195412;62.4;1
195501;190;1
195502;128.1;1
195503;6.5;1
195504;7.1;1
195505;49.4;1
195506;86.6;1
195507;159.1;1
195508;86.2;1
195509;45.5;1
195510;76.6;1
195511;45.1;1
195512;136.9;1
195601;73.9;1
195602;11.7;1
195603;24.6;1
195604;44.6;1
195605;70.3;1
195606;40.2;1
195607;94.3;1
195608;113.3;1
195609;36.5;1
195610;34.4;1
195611;38.5;1
195612;57.5;1
195701;40.5;1
195702;120;1
195703;66.4;1
195704;26.6;1
195705;72.5;1
195706;114;1
195707;72.2;1
195708;26;1
195709;74.8;1
195710;19.7;1
195711;41;1
195712;57.7;1
195801;182.1;1
195802;32.7;1
195803;143.2;1
195804;37.4;1
195805;99.5;1
195806;102.8;1
195807;117.5;1
195808;112.7;1
195809;68.9;1
195810;24.7;1
195811;41.5;1
195812;154.7;1
195901;67.6;1
195902;15.1;1
195903;71.1;1
195904;100.9;1
