# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34154001
# NOM_USUEL= MONTPELLIER-AEROPORT
# LATITUDE (°) = 43.576
# LONGITUDE(°)= 3.965
# ALTITUDE (m) = 1
# NUM_SERIE= MRR234154001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;76.4;1
195002;15.1;1
195003;30.8;1
195004;12.8;1
195005;20;1
195006;21.3;1
195007;2.3;1
195008;64.2;1
195009;35.4;1
195010;32.6;1
195011;9.8;1
195012;61.1;1
195101;81.1;1
195102;20.5;1
195103;79.9;1
195104;35.1;1
195105;45.2;1
195106;21.9;1
195107;10.7;1
195108;51.9;1
195109;65.9;1
195110;268.7;1
195111;61.5;1
195112;7.6;1
195201;34.3;1
195202;7.2;1
195203;91.3;1
195204;39.4;1
195205;34.9;1
195206;16.3;1
195207;0;1
195208;19.7;1
195209;9.2;1
195210;53.1;1
195211;85.1;1
195212;40.2;1
195301;5.3;1
195302;5.2;1
195303;37.8;1
195304;28.2;1
195305;15.8;1
195306;65.7;1
195307;5.8;1
195308;26;1
195309;179.2;1
195310;304;1
195311;41.9;1
195312;172.1;1
195401;80.4;1
195402;75.6;1
195403;114.1;1
195404;69.1;1
195405;63.8;1
195406;27.2;1
195407;25.5;1
195408;88;1
195409;12.8;1
195410;18.2;1
195411;26.9;1
195412;16.7;1
195501;324.4;1
195502;13.9;1
195503;10.6;1
195504;0.6;1
195505;20.9;1
195506;51.1;1
195507;41.8;1
195508;105.2;1
195509;80.8;1
195510;264.8;1
195511;104.9;1
195512;90.5;1
195601;22.8;1
195602;8.3;1
195603;89.5;1
195604;27.3;1
195605;14.3;1
195606;16.8;1
195607;61.3;1
195608;13.3;1
195609;44.9;1
195610;71.5;1
195611;85.2;1
195612;157;1
195701;0;1
195702;45;1
195703;35.3;1
195704;141.3;1
195705;62.5;1
195706;173;1
195707;3;1
195708;36.3;1
195709;12.1;1
195710;8.3;1
195711;76.2;1
195712;94;1
195801;33.9;1
195802;1.3;1
195803;80.1;1
195804;32.6;1
195805;13.6;1
195806;25.2;1
195807;63;1
195808;4;1
195809;22.7;1
195810;69.5;1
195811;54.8;1
195812;41.7;1
195901;1.6;1
195902;37.9;1
195903;96.6;1
195904;50.5;1
195905;42.5;1
195906;27.3;1
195907;5.2;1
195908;141.2;1
195909;105.8;1
195910;115.4;1
195911;55.5;1
195912;162.4;1
196001;26.6;1
196002;10.7;1
196003;214.7;1
196004;2.7;1
196005;19.8;1
196006;35;1
196007;30.2;1
196008;75.9;1
196009;81.3;1
196010;117;1
196011;25.9;1
196012;65.7;1
196101;57.1;1
196102;28.7;1
196103;0;1
196104;67.2;1
196105;42.5;1
196106;45.3;1
196107;40.9;1
196108;7.7;1
196109;89.8;1
196110;137.3;1
196111;118.1;1
196112;23.3;1
196201;33.2;1
196202;53.4;1
196203;117.9;1
196204;54.3;1
196205;22.9;1
196206;15.1;1
196207;5;1
196208;2.3;1
196209;85.5;1
196210;148.6;1
196211;136.9;1
196212;124;1
196301;77.7;1
196302;136.3;1
196303;32.1;1
196304;79.3;1
196305;32.2;1
196306;38.4;1
196307;29.6;1
196308;43.3;1
196309;210.5;1
196310;84.7;1
196311;161.8;1
196312;117;1
196401;46.6;1
196402;205.3;1
196403;120.3;1
196404;38.5;1
196405;62.2;1
196406;4.9;1
196407;13.1;1
196408;93.6;1
196409;54.8;1
196410;62.1;1
196411;110.1;1
196412;82.2;1
196501;68.2;1
196502;48.5;1
196503;46.6;1
196504;1.4;1
196505;4.8;1
196506;13.4;1
