# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34174002
# NOM_USUEL= MOULES-ET-BAUCELS
# LATITUDE (°) = 43.948
# LONGITUDE(°)= 3.752
# ALTITUDE (m) = 252
# NUM_SERIE= MRR234174002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;70;1
195002;66;1
195003;60;1
195004;12;1
195005;60;1
195006;5;1
195007;7;1
195008;58;1
195009;42;1
195010;95;1
195011;25;1
195012;108;1
195101;94;1
195102;85;1
195103;103;1
195104;33;1
195105;211;1
195106;23;1
195107;0;1
195108;72;1
195109;132;1
195110;441;1
195111;198;1
195112;31;1
195201;54;1
195202;8;1
195203;215;1
195204;40;1
195205;103;1
195206;66;1
195207;19;1
195208;66;1
195209;26;1
195210;81;1
195211;146;1
195212;39;1
195301;2;1
195302;4;1
195303;50;1
195304;20;1
195305;20;1
195306;91;1
195307;6;1
195308;9;1
195309;146;1
195310;360;1
195311;178;1
195312;313;1
195401;37;1
195402;136;1
195403;137;1
195404;28;1
195405;106;1
195406;61;1
195407;68;1
195408;83;1
195409;18;1
195410;21;1
195411;247;1
195412;11;1
195501;516;1
195502;69;1
195503;21;1
195504;0;1
195505;34;1
195506;169.1;1
195507;21.5;1
195508;12;1
195509;109.8;1
195510;262.3;1
195511;150.6;1
195512;133.5;1
195601;28.5;1
195602;9.3;1
195603;268.2;1
195604;57;1
195605;32.6;1
195606;13.3;1
195607;44.8;1
195608;31.8;1
195609;141.8;1
195610;64.8;1
195611;74.5;1
195612;179.6;1
195701;0;1
195702;86.6;1
195703;42.5;1
195704;190.9;1
195705;153.6;1
195706;235.6;1
195707;0;1
195708;33.2;1
195709;60.1;1
195710;15.6;1
195711;80.9;1
195712;103.3;1
195801;39.6;1
195802;6.4;1
195803;96.3;1
195804;35.5;1
195805;18.9;1
195806;52.7;1
195807;96.1;1
195808;32.6;1
195809;302.7;1
195810;88.1;1
195811;44;1
195812;122.7;1
195901;13.1;1
195902;46.4;1
195903;233.4;1
195904;111;1
195905;56.4;1
195906;45.6;1
195907;18.3;1
195908;73.6;1
195909;114.9;1
195910;139.6;1
195911;106.9;1
195912;284.9;1
196001;137.1;1
196002;73.5;1
196003;362.3;1
196004;8.3;1
196005;10.9;1
196006;56.9;1
196007;61.2;1
196008;136.5;1
196009;65.7;1
196010;299.5;1
196011;72.7;1
196012;60.6;1
196101;57.4;1
196102;16.1;1
196103;0;1
196104;93.1;1
196105;73.1;1
196106;26;1
196107;16.5;1
196108;10.6;1
196109;109.4;1
196110;161.5;1
196111;247.6;1
196112;29.9;1
196201;138.6;1
196202;98.5;1
196203;127.7;1
196204;98.1;1
196205;30.5;1
196206;15.4;1
196207;1.2;1
196208;26.6;1
196209;95.3;1
196210;117.6;1
196211;231;1
196212;129.8;1
196301;155.8;1
196302;133.5;1
196303;27.7;1
196304;175.2;1
196305;51.4;1
196306;166;1
196307;57.4;1
196308;106.7;1
196309;330.1;1
196310;203.6;1
196311;143.1;1
196312;123.4;1
196401;79.9;1
196402;301.3;1
196403;140.7;1
196404;83;1
196405;141;1
196406;38.3;1
196407;25.3;1
196408;61.5;1
196409;259.6;1
196410;132.7;1
196411;95;1
196412;79.9;1
196501;96.8;1
196502;44;1
196503;108.4;1
196504;2.1;1
196505;18.6;1
196506;49;1
196507;28.5;1
196508;8.2;1
196509;329.9;1
196510;428;1
196511;62.7;1
196512;94.2;1
196601;85.3;1
196602;221.6;1
196603;4;1
196604;139.2;1
196605;119.1;1
196606;62.1;1
196607;43;1
196608;26.6;1
196609;104;1
196610;231.1;1
196611;68.5;1
196612;15.5;1
196701;146;1
196702;186.6;1
196703;142.6;1
196704;20.5;1
196705;80.5;1
196706;14;1
196707;11;1
196708;74;1
196709;26.8;1
196710;74.5;1
196711;115;1
196712;14.1;1
196801;35;1
196802;145;1
196803;11.9;1
196804;166.3;1
196805;156.5;1
196806;83.5;1
196807;23;1
196808;160.3;1
196809;80;1
196810;40.5;1
196811;116.5;1
196812;71;1
196901;212.8;1
196902;261;1
196903;265;1
196904;159.5;1
196905;101.5;1
196906;67;1
196907;32;1
196908;110;1
196909;145.5;1
196910;297;1
196911;143.8;1
196912;102.7;1
197001;347;1
197002;27.5;1
197003;37.2;1
197004;16.5;1
197005;89.5;1
197006;40.5;1
197007;2;1
197008;42;1
197009;133.5;1
197010;155;1
197011;128.5;1
197012;60.5;1
197101;317.6;1
197102;3.5;1
197103;98.5;1
197104;275.5;1
197105;91.5;1
197106;137;1
197107;61.2;1
197108;22.4;1
197109;99.5;1
197110;62.5;1
197111;63;1
197112;341.4;1
197201;368.2;1
197202;340.5;1
197203;138;1
197204;43;1
197205;102.2;1
197206;201.4;1
197207;8.8;1
