# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 35281001
# NOM_USUEL= RENNES-ST JACQUES
# LATITUDE (°) = 48.069
# LONGITUDE(°)= -1.734
# ALTITUDE (m) = 36
# NUM_SERIE= MRR235281001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194501 201912
# Date(s) de rupture(s) d'homogénéité : 195112 196912 199112
#     Periode homogénéisée  194501 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194501;69.8;1
194502;32.5;1
194503;25.7;1
194504;19.9;1
194505;94.9;1
194506;24.3;1
194507;84.6;1
194508;24.4;1
194509;16.6;1
194510;47.3;1
194511;18.5;1
194512;94.9;1
194601;44.3;1
194602;32.8;1
194603;20.3;1
194604;39.1;1
194605;70.5;1
194606;58.3;1
194607;13.4;1
194608;132.8;1
194609;51.5;1
194610;43.8;1
194611;55.8;1
194612;75.2;1
194701;42.9;1
194702;26.3;1
194703;104.3;1
194704;18.5;1
194705;36.3;1
194706;34.4;1
194707;37.4;1
194708;17.3;1
194709;55.3;1
194710;11.2;1
194711;32;1
194712;57.8;1
194801;67.1;1
194802;21.3;1
194803;29.6;1
194804;49.7;1
194805;39.8;1
194806;57.1;1
194807;39;1
194808;67.1;1
194809;40.3;1
194810;43.9;1
194811;34.4;1
194812;65.2;1
194901;16.6;1
194902;12.7;1
194903;36.5;1
194904;18.5;1
194905;40.1;1
194906;7.2;1
194907;19.9;1
194908;27.9;1
194909;44.2;1
194910;126.6;1
194911;92.1;1
194912;26.8;1
195001;15.8;1
195002;92.7;1
195003;26.8;1
195004;38.3;1
195005;47.7;1
195006;19.2;1
195007;43.2;1
195008;50.7;1
195009;49.4;1
195010;40.6;1
195011;111.2;1
195012;71.7;1
195101;42.8;1
195102;84.2;1
195103;73.2;1
195104;32.9;1
195105;73.9;1
195106;119.3;1
