# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 46143001
# NOM_USUEL= LACAPELLE
# LATITUDE (°) = 44.731
# LONGITUDE(°)= 1.925
# ALTITUDE (m) = 396
# NUM_SERIE= MRR246143001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 198112 199012
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;304.2;1
195502;112.3;1
195503;11.1;1
195504;11.2;1
195505;56.2;1
195506;163.5;1
195507;76.9;1
195508;41.9;1
195509;27.7;1
195510;72;1
195511;61.5;1
195512;171.7;1
195601;85;1
195602;18.1;1
195603;47.6;1
195604;108;1
195605;92.4;1
195606;102.9;1
195607;153.7;1
195608;137.5;1
195609;93.6;1
195610;52.5;1
195611;42.6;1
195612;57.9;1
195701;70.9;1
195702;190.6;1
195703;56.7;1
195704;84;1
195705;58.6;1
195706;132.5;1
195707;93.8;1
195708;10.7;1
195709;81.6;1
195710;22.9;1
195711;68.7;1
195712;87.5;1
195801;119.9;1
195802;29.3;1
195803;148;1
195804;75.3;1
195805;150.1;1
195806;106.7;1
195807;98.5;1
195808;84.8;1
195809;73.5;1
195810;39.6;1
195811;102.7;1
195812;120.3;1
195901;106.6;1
195902;12.7;1
195903;117.1;1
195904;181.5;1
195905;97.7;1
195906;104.9;1
195907;25.1;1
195908;64;1
195909;205.9;1
195910;96.1;1
195911;107.3;1
195912;314.5;1
196001;105.6;1
196002;72.1;1
196003;120.7;1
196004;28.3;1
196005;47.4;1
196006;107;1
196007;113.6;1
196008;126.6;1
196009;134.5;1
196010;263.3;1
196011;106.5;1
196012;123.5;1
196101;107.7;1
196102;71.7;1
196103;1.7;1
196104;112.2;1
196105;75.7;1
196106;57.7;1
196107;75.3;1
196108;33.9;1
196109;80.3;1
196110;89.7;1
196111;111.3;1
196112;127.7;1
196201;113.3;1
196202;50;1
196203;86.6;1
196204;76.4;1
196205;125.2;1
196206;11.8;1
196207;43.4;1
196208;18.7;1
196209;54.6;1
196210;36.4;1
196211;236.3;1
196212;132.2;1
196301;36.7;1
196302;116.6;1
196303;168.2;1
196304;118;1
196305;90.3;1
196306;211;1
196307;51.5;1
196308;163.4;1
196309;82.2;1
196310;55;1
196311;107.6;1
196312;60.5;1
196401;19.7;1
196402;105.8;1
196403;95.9;1
196404;127;1
196405;100.1;1
196406;54.4;1
196407;14;1
196408;120.6;1
196409;79.3;1
196410;97.5;1
196411;63.7;1
196412;47.4;1
196501;114;1
196502;8.5;1
196503;119.3;1
196504;92.1;1
196505;91.9;1
196506;43.5;1
196507;146.1;1
196508;69;1
196509;223.8;1
196510;16;1
196511;182.8;1
196512;262.6;1
196601;151.7;1
196602;111.5;1
196603;31.2;1
196604;108.3;1
196605;119;1
196606;84.3;1
196607;76.7;1
196608;109.5;1
196609;22.2;1
196610;216.6;1
196611;117.6;1
196612;211.1;1
196701;59.2;1
196702;126.3;1
196703;64;1
196704;15.2;1
196705;103;1
196706;39.5;1
196707;22.4;1
196708;54.1;1
196709;76.7;1
196710;56.3;1
196711;127.3;1
196712;97.5;1
196801;138.9;1
196802;69.4;1
196803;59.4;1
196804;44.2;1
196805;166.4;1
196806;82.8;1
196807;56.3;1
196808;156.9;1
196809;129.1;1
196810;38.8;1
196811;47.1;1
196812;123.1;1
196901;93.4;1
196902;119.3;1
196903;176.8;1
196904;144.9;1
196905;223.9;1
196906;88.3;1
196907;37.3;1
196908;88;1
196909;244.6;1
196910;13.3;1
196911;109.3;1
196912;100.5;1
197001;74.4;1
197002;194.8;1
197003;75.4;1
197004;108.1;1
197005;63.3;1
197006;119.3;1
197007;22.3;1
197008;109.5;1
197009;18.4;1
197010;64.6;1
197011;92.7;1
197012;34.5;1
197101;162.5;1
197102;70.8;1
197103;97;1
197104;81.1;1
197105;143;1
197106;103.5;1
197107;79.1;1
197108;95.2;1
197109;40.2;1
197110;37;1
197111;120.9;1
197112;45.4;1
197201;105;1
197202;108.5;1
197203;71.8;1
197204;62.2;1
197205;43.6;1
197206;21.5;1
197207;24.6;1
197208;99.9;1
197209;61.6;1
197210;61.6;1
197211;103.1;1
197212;52.7;1
197301;103.1;1
197302;99.7;1
197303;10.8;1
197304;51.7;1
197305;81.5;1
197306;30.6;1
197307;112.8;1
197308;29.1;1
197309;76.2;1
197310;90.9;1
197311;90.7;1
197312;92.5;1
197401;58.1;1
197402;112.5;1
197403;89.8;1
197404;59.6;1
197405;126.6;1
197406;104.3;1
197407;35.1;1
197408;92.1;1
197409;170.9;1
197410;135.5;1
197411;126.9;1
197412;57.7;1
197501;148.9;1
197502;52.4;1
197503;103.6;1
197504;64.8;1
197505;165.2;1
197506;75.4;1
197507;32.4;1
197508;46.6;1
197509;117.3;1
197510;30.3;1
197511;130.3;1
197512;42;1
197601;36.8;1
197602;65.4;1
197603;50.9;1
197604;40.2;1
197605;49.7;1
197606;4.9;1
197607;129;1
197608;114.9;1
197609;87.3;1
197610;182.8;1
197611;145.7;1
197612;111;1
197701;100.6;1
197702;136.1;1
197703;127.5;1
197704;54.4;1
197705;149.2;1
197706;165;1
197707;97.1;1
197708;115.9;1
197709;8.8;1
197710;92.7;1
197711;82.6;1
197712;59.1;1
197801;126.8;1
197802;131.9;1
197803;168.3;1
197804;81.2;1
197805;97.4;1
197806;45.1;1
197807;48.6;1
197808;25;1
197809;71.6;1
197810;8.9;1
197811;15.1;1
197812;148.2;1
197901;104.9;1
197902;124.9;1
197903;167.2;1
197904;120.3;1
197905;160.5;1
197906;53.9;1
197907;9.9;1
197908;42.1;1
197909;45.8;1
197910;158.3;1
197911;101.7;1
197912;180.8;1
198001;109.6;1
198002;114.1;1
198003;114.1;1
198004;34.3;1
198005;142.9;1
198006;110.2;1
198007;122;1
198008;72.2;1
198009;58.8;1
198010;178.3;1
198011;101.4;1
198012;93.6;1
198101;134.6;1
198102;63.1;1
198103;111.2;1
198104;23.9;1
198105;203.4;1
198106;107.8;1
198107;112.3;1
198108;31.7;1
198109;53.8;1
198110;117.8;1
198111;35.5;1
198112;265.6;1
198201;76.1;1
198202;63.3;1
198203;79.4;1
198204;32;1
198205;75.9;1
198206;80.5;1
198207;104.9;1
198208;69.3;1
198209;117.5;1
198210;203.5;1
198211;95.9;1
198212;204.9;1
198301;55.9;1
198302;107.6;1
198303;84.7;1
198304;145.1;1
198305;177.8;1
198306;29.3;1
198307;53.8;1
198308;106;1
198309;73.7;1
198310;50.5;1
198311;48.9;1
198312;130.1;1
198401;170.1;1
198402;111.5;1
198403;78.5;1
198404;19.5;1
198405;129.2;1
198406;102.6;1
198407;41.1;1
198408;89;1
198409;153.1;1
198410;107.3;1
198411;107.9;1
198412;76.4;1
198501;74.1;1
198502;68.6;1
198503;90.7;1
198504;82.2;1
198505;132.7;1
198506;93.8;1
198507;29.5;1
198508;6.8;1
198509;0.8;1
198510;7.9;1
198511;58.7;1
198512;75.2;1
198601;160;1
198602;82.6;1
198603;78.3;1
198604;141.6;1
198605;85.7;1
198606;20.9;1
198607;110.5;1
198608;58.5;1
198609;122.6;1
198610;90.1;1
198611;87.3;1
198612;149.6;1
198701;52.3;1
198702;51.1;1
198703;68.3;1
198704;55.4;1
198705;59.6;1
198706;101.2;1
198707;173.7;1
198708;58.1;1
198709;40.9;1
198710;149.2;1
198711;115.7;1
198712;41.1;1
198801;173.5;1
198802;88.6;1
198803;173.3;1
