# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 46287001
# NOM_USUEL= SAINT-PAUL-FLAUGNAC
# LATITUDE (°) = 44.294
# LONGITUDE(°)= 1.455
# ALTITUDE (m) = 266
# NUM_SERIE= MRR246287001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195701 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195701 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;24.7;1
195702;82.1;1
195703;53.7;1
195704;43.6;1
195705;60.1;1
195706;120;1
195707;35;1
195708;25;1
195709;65;1
195710;10;1
195711;55;1
195712;121.5;1
195801;67;1
195802;22;1
195803;133.4;1
195804;46.7;1
195805;72.4;1
195806;67;1
195807;144.8;1
195808;74.5;1
195809;42.8;1
195810;29.2;1
195811;47.7;1
195812;91.3;1
195901;62.4;1
195902;21.1;1
195903;92.8;1
195904;101.4;1
195905;86.5;1
195906;92.4;1
195907;23.2;1
195908;88.6;1
195909;170.9;1
195910;70.8;1
195911;94;1
195912;248.5;1
196001;73.2;1
196002;47.3;1
196003;58.6;1
196004;20.3;1
196005;69.1;1
196006;63.9;1
196007;147;1
196008;76.4;1
196009;100.3;1
196010;170;1
196011;69.6;1
196012;85.5;1
196101;93.5;1
196102;59.6;1
196103;1.2;1
196104;60.2;1
196105;63.3;1
196106;42.4;1
196107;33.7;1
196108;75.1;1
196109;53.5;1
196110;77;1
196111;91;1
196112;83.2;1
196201;67.4;1
196202;51.7;1
196203;71.7;1
196204;63.8;1
196205;88.5;1
196206;30.7;1
196207;44;1
196208;19.5;1
196209;58.4;1
196210;33.2;1
196211;128.2;1
196212;62;1
196301;37.8;1
196302;68.1;1
196303;64.6;1
196304;34.9;1
196305;36.8;1
196306;132.7;1
196307;35;1
196308;128;1
196309;78;1
196310;33.6;1
196311;61.4;1
196312;49.9;1
196401;12.9;1
196402;67.5;1
196403;66.6;1
196404;63.5;1
196405;112.8;1
196406;55;1
196407;26.7;1
196408;47.5;1
196409;34;1
196410;116.2;1
196411;50.6;1
196412;23.8;1
196501;87.9;1
196502;16.1;1
196503;82.4;1
196504;60.1;1
196505;58.3;1
196506;50.3;1
196507;54.2;1
196508;36.5;1
196509;125.2;1
196510;28;1
196511;146;1
196512;190.8;1
196601;144.7;1
196602;82.9;1
196603;23.2;1
196604;92.4;1
196605;85.4;1
196606;100.2;1
196607;67.2;1
196608;32.8;1
196609;38.7;1
196610;171.9;1
196611;91.8;1
196612;147.1;1
196701;47.6;1
196702;65.5;1
196703;42.7;1
196704;24.2;1
196705;50.4;1
196706;19.9;1
196707;21.1;1
196708;102.9;1
196709;69.2;1
196710;39.8;1
196711;77.5;1
196712;43.9;1
196801;84.5;1
196802;50.7;1
196803;47.2;1
196804;43.1;1
196805;133;1
196806;54.4;1
196807;59;1
196808;106;1
196809;101.5;1
196810;26.5;1
196811;57.8;1
196812;90.9;1
196901;72.4;1
196902;63.1;1
196903;114.7;1
196904;117;1
196905;90.7;1
196906;56.5;1
196907;24.6;1
196908;80.5;1
196909;185.3;1
196910;6.3;1
196911;51.6;1
196912;86.2;1
197001;65;1
197002;157.2;1
197003;60.2;1
197004;105.7;1
197005;57.6;1
197006;91.5;1
197007;8.8;1
197008;63.5;1
197009;20.5;1
197010;83.8;1
197011;84.6;1
197012;19.2;1
197101;134.6;1
197102;85.2;1
197103;92.7;1
197104;72.9;1
197105;118.4;1
197106;76.5;1
197107;69.5;1
197108;24.3;1
197109;47;1
197110;34.2;1
197111;89.1;1
197112;46.4;1
197201;81.1;1
197202;113;1
197203;73.8;1
197204;55.1;1
197205;47;1
197206;27.6;1
197207;5.9;1
197208;72.1;1
197209;32.5;1
197210;75.5;1
197211;45;1
197212;49.9;1
197301;79.9;1
197302;88.3;1
197303;11.4;1
197304;45.1;1
197305;75.7;1
197306;100.6;1
197307;89.2;1
197308;19.6;1
197309;67.9;1
197310;73.9;1
197311;71.4;1
197312;63.7;1
197401;49.9;1
197402;67.5;1
197403;80.4;1
197404;50.2;1
