# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 47327001
# NOM_USUEL= XAINTRAILLES
# LATITUDE (°) = 44.205
# LONGITUDE(°)= 0.261
# ALTITUDE (m) = 190
# NUM_SERIE= MRR247327001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195201 201812
# Date(s) de rupture(s) d'homogénéité : 197110 198407
#     Periode homogénéisée  195201 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;112.8;1
195202;88.4;1
195203;50.6;1
195204;22.5;1
195205;49.1;1
195206;41.1;1
195207;12.9;1
195208;70;1
195209;66.8;1
195210;124.9;1
195211;103.3;1
195212;174.2;1
195301;9.6;1
195302;43.7;1
195303;0.6;1
195304;76.4;1
195305;40.4;1
195306;92.3;1
195307;40;1
195308;6.6;1
195309;42.7;1
195310;42.4;1
195311;34.7;1
195312;5.9;1
195401;46.3;1
195402;90.2;1
195403;72.2;1
195404;58.9;1
195405;56.9;1
195406;40.2;1
195407;49.7;1
195408;86.2;1
195409;50.3;1
195410;58.8;1
195411;61;1
195412;72.2;1
195501;175.1;1
195502;103.6;1
195503;15.1;1
195504;0.6;1
195505;45.6;1
195506;75.4;1
195507;86.6;1
195508;35.4;1
195509;31.7;1
195510;71.3;1
195511;45.4;1
195512;107.4;1
195601;55.8;1
195602;13.5;1
195603;36;1
195604;65.3;1
195605;57.2;1
195606;31.2;1
195607;35.9;1
195608;70;1
195609;44.8;1
195610;35.7;1
195611;62.1;1
195612;43.7;1
195701;39.2;1
195702;88.4;1
195703;61.4;1
195704;45.2;1
195705;40.7;1
195706;141.4;1
195707;63.5;1
195708;14.6;1
195709;71.5;1
195710;21.3;1
195711;59.4;1
195712;42;1
195801;107.2;1
195802;30.9;1
195803;107.6;1
195804;57.3;1
195805;83.2;1
195806;71.3;1
195807;100;1
195808;49.8;1
195809;51.2;1
195810;24.6;1
195811;49.2;1
195812;131.9;1
195901;70.6;1
195902;11.3;1
195903;72.7;1
195904;121.8;1
195905;80.8;1
195906;148.2;1
195907;36.7;1
195908;86.9;1
195909;140.7;1
195910;78.6;1
195911;103.9;1
195912;181.7;1
196001;76.4;1
196002;59.9;1
196003;91.1;1
196004;13.2;1
196005;49.3;1
196006;83.7;1
196007;54.7;1
196008;114.8;1
196009;116;1
196010;180.3;1
196011;99.2;1
196012;117.8;1
196101;101.7;1
196102;31.1;1
196103;0;1
196104;116.3;1
196105;82.9;1
196106;29.1;1
196107;27.8;1
196108;29.9;1
196109;46.2;1
196110;65.4;1
196111;76.8;1
196112;80.5;1
196201;68.1;1
196202;45.4;1
196203;52.9;1
196204;51.7;1
196205;99.9;1
196206;19;1
196207;50.7;1
196208;14.2;1
196209;52.1;1
196210;66.7;1
196211;78.3;1
196212;86;1
196301;43.3;1
196302;75.1;1
196303;106.3;1
196304;66.2;1
196305;49.9;1
196306;154.3;1
196307;50.1;1
196308;151.1;1
196309;184.8;1
196310;53.4;1
196311;79.7;1
196312;42.6;1
196401;18;1
196402;64.1;1
196403;53.4;1
196404;54.8;1
196405;71.9;1
196406;23.6;1
196407;17.6;1
196408;19.9;1
196409;29;1
196410;124.3;1
196411;26.1;1
196412;36.2;1
196501;90.6;1
196502;11.8;1
196503;97.2;1
196504;62.3;1
196505;53;1
196506;96.3;1
196507;65.2;1
196508;42.3;1
196509;137.5;1
196510;33.6;1
196511;187.8;1
196512;219;1
196601;144.8;1
196602;67.5;1
196603;16.7;1
196604;101.3;1
196605;42.5;1
196606;142.1;1
196607;62.1;1
196608;38.7;1
196609;16.3;1
196610;50.7;1
196611;66.3;1
196612;142.9;1
196701;57;1
196702;70.1;1
196703;46.1;1
196704;12.5;1
196705;83.2;1
196706;59.5;1
196707;20.3;1
196708;40.1;1
196709;71.3;1
196710;52.1;1
196711;101.4;1
196712;46.4;1
196801;62.2;1
196802;82.4;1
196803;22.9;1
196804;70.6;1
196805;89.2;1
196806;82;1
196807;75.7;1
196808;107.8;1
196809;69.6;1
196810;23.9;1
196811;32.3;1
196812;99.7;1
196901;70.9;1
196902;59.8;1
196903;100.7;1
196904;97.6;1
196905;108.9;1
196906;84.4;1
196907;25.2;1
196908;35.8;1
196909;156.1;1
196910;4.8;1
196911;50.8;1
196912;80.8;1
197001;84.3;1
197002;99.1;1
197003;48.4;1
197004;64.3;1
197005;67.4;1
197006;102.6;1
197007;20.9;1
197008;88;1
197009;9.5;1
197010;43.8;1
197011;83.9;1
197012;19.3;1
197101;110.4;1
197102;67.7;1
197103;49.8;1
197104;61.9;1
197105;147;1
197106;110.9;1
197107;97.5;1
197108;64.3;1
197109;80.9;1
197110;13.5;1
197111;91.1;1
197112;58.7;1
197201;58.1;1
197202;94;1
197203;78.5;1
197204;72;1
197205;127;1
197206;65.2;1
197207;1.7;1
197208;126.7;1
197209;37;1
197210;24.1;1
197211;29.8;1
197212;40.5;1
197301;67.6;1
197302;79;1
197303;18.2;1
197304;50.3;1
197305;110.6;1
197306;36;1
197307;104.2;1
197308;31.7;1
197309;60.6;1
197310;61.4;1
197311;40.8;1
197312;58.9;1
197401;45.8;1
197402;63.2;1
197403;77.5;1
197404;39.7;1
197405;105.7;1
197406;35.8;1
197407;34.8;1
197408;25.5;1
197409;118.8;1
197410;109.6;1
197411;83.7;1
197412;26.1;1
197501;63.7;1
197502;20.9;1
197503;72.7;1
197504;83.1;1
197505;94.8;1
197506;43.9;1
197507;20.5;1
197508;79.5;1
197509;102.8;1
197510;20.5;1
197511;70.6;1
197512;23.2;1
197601;23.5;1
197602;33.2;1
197603;53.5;1
197604;41.5;1
197605;50.3;1
197606;36;1
197607;54.8;1
197608;94.9;1
197609;70.8;1
197610;133.5;1
197611;90.2;1
197612;78.7;1
197701;88.8;1
197702;103.6;1
197703;58.1;1
197704;71.8;1
197705;177.8;1
197706;180.2;1
197707;124;1
197708;59.6;1
197709;3.1;1
197710;49.5;1
197711;43.7;1
197712;47.6;1
197801;97.1;1
197802;93;1
197803;99.1;1
197804;89.4;1
197805;55.9;1
197806;52.6;1
197807;63.6;1
197808;20.6;1
197809;53.4;1
197810;5;1
197811;8.9;1
197812;96.9;1
197901;111.1;1
197902;91;1
197903;73.8;1
197904;85.8;1
197905;126.1;1
197906;52.2;1
197907;37.8;1
197908;24.5;1
197909;55.6;1
197910;69.1;1
197911;44.2;1
197912;113.7;1
198001;77.2;1
198002;73.9;1
198003;86.9;1
198004;18.5;1
198005;120.6;1
198006;25.2;1
198007;62.2;1
198008;36.6;1
198009;20.6;1
198010;122.3;1
198011;31.2;1
198012;93.1;1
198101;69.5;1
198102;43.8;1
198103;84.2;1
198104;35.2;1
198105;171.3;1
198106;61.6;1
198107;46.2;1
198108;52.7;1
198109;70.9;1
198110;92.2;1
198111;26.9;1
198112;186.1;1
198201;64.3;1
198202;54.3;1
198203;57.2;1
198204;0.3;1
198205;55.4;1
198206;87.3;1
198207;38.4;1
198208;70.6;1
198209;57.5;1
198210;176.4;1
198211;78.1;1
198212;133.2;1
198301;16.5;1
198302;95;1
198303;58.3;1
198304;68.8;1
198305;82.4;1
198306;57.2;1
198307;24.5;1
198308;126.6;1
198309;15.4;1
198310;47.5;1
198311;26.9;1
198312;52.9;1
198401;126.8;1
198402;73.4;1
198403;78.8;1
198404;24.8;1
198405;144;1
198406;106.3;1
198407;7.8;1
198408;153.7;1
198409;86;1
198410;81.6;1
198411;116.1;1
198412;62.4;1
198501;58.7;1
198502;60.1;1
198503;84.7;1
198504;49.9;1
198505;80.1;1
198506;55.8;1
198507;34.5;1
198508;24.3;1
198509;0;1
198510;12.3;1
198511;48;1
198512;36.3;1
198601;92.6;1
198602;62.9;1
198603;47;1
198604;144.1;1
198605;80.7;1
198606;27.3;1
198607;36.6;1
198608;27.5;1
198609;58.5;1
198610;58;1
198611;42.6;1
198612;55.4;1
198701;30.7;1
198702;42.6;1
198703;70.6;1
198704;47.5;1
198705;29.9;1
198706;120.7;1
198707;58.8;1
198708;64.7;1
198709;74.1;1
198710;111;1
198711;75.6;1
198712;13.5;1
198801;140.6;1
198802;96.2;1
198803;129.1;1
198804;92.8;1
198805;123.9;1
198806;137.3;1
198807;57.3;1
198808;15.3;1
198809;41.4;1
198810;43.9;1
198811;10;1
198812;32.7;1
198901;27.1;1
198902;103.1;1
198903;40.8;1
198904;177.2;1
198905;31.6;1
198906;30.8;1
198907;50.3;1
198908;43.3;1
198909;30.4;1
198910;34;1
198911;69.5;1
198912;21.2;1
199001;70.7;1
199002;84;1
199003;11.7;1
199004;80.9;1
199005;69.2;1
199006;69.1;1
199007;10.3;1
199008;40.4;1
199009;5.9;1
199010;164.8;1
199011;101.3;1
199012;59.5;1
199101;37.9;1
199102;46.3;1
199103;77.5;1
199104;55.9;1
199105;90.6;1
199106;55.3;1
199107;39.1;1
199108;32.2;1
199109;106.6;1
199110;41.2;1
199111;144.6;1
199112;23.8;1
199201;33.1;1
199202;21.3;1
199203;43.3;1
199204;51.5;1
199205;62.4;1
199206;226.5;1
199207;55.7;1
199208;108.7;1
199209;68.8;1
199210;142.9;1
199211;89.3;1
199212;67.6;1
199301;6;1
199302;4.6;1
199303;35.8;1
199304;100.3;1
199305;115.4;1
199306;118.3;1
199307;110.4;1
199308;95;1
199309;134;1
199310;105.8;1
199311;23.9;1
199312;156.6;1
199401;93.7;1
199402;85.4;1
199403;17.4;1
199404;117.3;1
199405;66.3;1
199406;52.2;1
199407;17.8;1
199408;13.4;1
199409;127;1
199410;68.5;1
199411;57;1
199412;76;1
199501;100.8;1
199502;117.9;1
199503;56.2;1
199504;23.1;1
199505;44.6;1
199506;47.6;1
199507;62.1;1
199508;29.2;1
