# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 48043001
# NOM_USUEL= CHATEAUNEUF-DE-RANDON
# LATITUDE (°) = 44.638
# LONGITUDE(°)= 3.68
# ALTITUDE (m) = 1247
# NUM_SERIE= MRR248043001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 198506
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.8;1
195002;67.2;1
195003;49.2;1
195004;94.1;1
195005;86.6;1
195006;64.9;1
195007;15.9;1
195008;120.7;1
195009;80.9;1
195010;93.5;1
195011;59.4;1
195012;62.3;1
195101;60.5;1
195102;105.4;1
195103;58.2;1
195104;16.3;1
195105;196.2;1
195106;104.3;1
195107;17;1
195108;90.3;1
195109;63.9;1
195110;94.8;1
195111;176.3;1
195112;15.4;1
195201;61.4;1
195202;57;1
195203;47.5;1
195204;93.9;1
195205;97.2;1
195206;42.8;1
195207;8.8;1
195208;45.7;1
195209;31.5;1
195210;84.9;1
195211;66;1
195212;64.6;1
195301;7.3;1
195302;9.2;1
195303;15.2;1
195304;23.3;1
195305;41.1;1
195306;90.9;1
195307;26.6;1
195308;50.5;1
195309;115.7;1
195310;107.4;1
195311;18.5;1
195312;168.4;1
195401;29;1
195402;52.1;1
195403;67.8;1
195404;63.1;1
195405;67;1
195406;93.9;1
195407;77.3;1
195408;157.1;1
195409;83.2;1
195410;21.9;1
195411;52.1;1
195412;29.1;1
195501;181.1;1
195502;85.4;1
195503;31.7;1
195504;0;1
195505;54.6;1
195506;163.9;1
195507;98.7;1
195508;77.7;1
195509;89.8;1
195510;101.6;1
195511;43;1
195512;83.9;1
195601;51.7;1
195602;31.6;1
195603;198.2;1
195604;86.3;1
195605;97;1
195606;33.3;1
195607;114;1
195608;98.7;1
195609;140.4;1
195610;58.4;1
195611;58.6;1
195612;61.5;1
195701;13.4;1
195702;128.5;1
195703;41.7;1
195704;154.6;1
195705;59;1
195706;155.9;1
195707;7.4;1
195708;47.9;1
195709;42.8;1
195710;9.7;1
195711;64.9;1
195712;186.1;1
195801;31.2;1
195802;24;1
195803;63.2;1
195804;71.4;1
195805;29;1
195806;87.1;1
195807;70.2;1
195808;48.8;1
195809;134.4;1
195810;33.7;1
195811;58.2;1
195812;164.3;1
195901;39.2;1
195902;52;1
195903;93.4;1
195904;81.3;1
195905;68.7;1
195906;111.2;1
195907;33;1
195908;77.8;1
195909;79.2;1
195910;78.8;1
195911;90.5;1
195912;171.7;1
196001;76.2;1
196002;42.6;1
196003;158.8;1
196004;17.4;1
196005;43.4;1
196006;68.8;1
196007;84.6;1
196008;67.5;1
196009;92.2;1
196010;207.5;1
196011;66.5;1
196012;36.6;1
196101;57.9;1
196102;32.7;1
196103;0;1
196104;72.8;1
196105;107.7;1
196106;53.5;1
196107;23.9;1
196108;52.4;1
196109;49;1
196110;87.9;1
196111;148.9;1
196112;45;1
196201;54;1
196202;41;1
196203;62.6;1
196204;100.1;1
196205;58.3;1
196206;11.6;1
196207;17.1;1
196208;47.1;1
196209;73.9;1
196210;46.5;1
196211;230.9;1
196212;40;1
196301;74.4;1
196302;63.3;1
196303;67.1;1
196304;101.1;1
196305;67.4;1
196306;114.3;1
196307;216.5;1
196308;91.5;1
196309;149.8;1
196310;99.4;1
196311;94.6;1
196312;69.8;1
196401;30;1
196402;99.4;1
196403;121.8;1
196404;119.8;1
196405;186.4;1
196406;122.2;1
196407;144.3;1
196408;183.7;1
196409;76.6;1
196410;139.2;1
196411;47.3;1
196412;32.5;1
196501;84.2;1
196502;12.6;1
196503;52.1;1
196504;30.1;1
196505;61.4;1
196506;69.4;1
196507;70.4;1
196508;32.6;1
196509;259.2;1
196510;96.8;1
196511;115.9;1
196512;144.2;1
196601;72.4;1
196602;126.9;1
196603;19.8;1
196604;75.1;1
196605;79.7;1
196606;58.8;1
196607;45.9;1
196608;35.6;1
196609;49.1;1
196610;123.9;1
196611;149.5;1
196612;70.4;1
196701;44.8;1
196702;71.1;1
196703;37.7;1
196704;29.7;1
196705;81.6;1
196706;72.1;1
196707;20.8;1
196708;23.3;1
196709;57.5;1
196710;20.8;1
196711;115.4;1
196712;32;1
196801;22.3;1
196802;111.7;1
196803;10.4;1
196804;85.6;1
196805;129.2;1
196806;80.7;1
196807;65.5;1
196808;81.7;1
196809;102.3;1
196810;42.8;1
196811;107.7;1
196812;60;1
196901;57.8;1
196902;42.3;1
196903;54.3;1
196904;158.5;1
196905;159.1;1
196906;136.1;1
196907;83.9;1
196908;70.9;1
196909;149;1
196910;78.5;1
196911;136.2;1
196912;39.8;1
197001;66.6;1
197002;60.7;1
197003;54.7;1
197004;48.1;1
197005;68;1
197006;140.3;1
197007;53.8;1
197008;68.6;1
197009;8.3;1
197010;118.5;1
197011;46.2;1
197012;59.9;1
197101;180.9;1
197102;11.1;1
197103;63.1;1
197104;137.4;1
197105;72.4;1
197106;144.1;1
197107;71.3;1
197108;71.4;1
197109;52;1
197110;20;1
197111;57.1;1
197112;33.7;1
197201;130.9;1
197202;108.2;1
197203;57.9;1
197204;55.2;1
197205;49.8;1
197206;97;1
197207;26.8;1
197208;86.3;1
197209;33.7;1
197210;117.1;1
197211;48.6;1
197212;125.3;1
197301;66.9;1
197302;43.3;1
197303;18.9;1
197304;41.6;1
197305;72.5;1
197306;98.1;1
197307;87.7;1
197308;45.6;1
197309;23.2;1
197310;175.8;1
197311;40.2;1
197312;220.8;1
197401;55.2;1
197402;120.5;1
197403;102.5;1
197404;82;1
197405;81.6;1
197406;67.3;1
197407;87.5;1
197408;103.9;1
197409;237.8;1
197410;29.5;1
197411;62.8;1
197412;22;1
197501;94.1;1
197502;45.7;1
197503;64.7;1
197504;45.7;1
197505;129.6;1
197506;26;1
197507;104.4;1
197508;99;1
197509;174.7;1
197510;16.8;1
197511;53;1
197512;27.8;1
197601;27.1;1
197602;64.9;1
197603;16.2;1
197604;55.2;1
197605;44.4;1
197606;18.4;1
197607;99.6;1
197608;192.7;1
197609;102.8;1
197610;271.7;1
197611;105.6;1
197612;121.7;1
197701;109.4;1
197702;55.1;1
197703;62;1
197704;49.2;1
197705;156.1;1
197706;141.8;1
197707;251.1;1
197708;99.9;1
197709;18.5;1
197710;95.4;1
197711;42.2;1
197712;95;1
197801;126.1;1
197802;79.1;1
197803;98.5;1
197804;70.9;1
197805;76.1;1
197806;58.2;1
197807;24.4;1
197808;18.8;1
197809;16.6;1
197810;13.7;1
197811;6.2;1
197812;217.4;1
197901;56.6;1
197902;68.4;1
197903;98.7;1
197904;75.2;1
197905;87.5;1
197906;71.5;1
197907;42.4;1
197908;68.4;1
197909;12.1;1
197910;207.8;1
197911;16.2;1
197912;132.3;1
198001;60;1
198002;30.3;1
198003;63.3;1
198004;23.3;1
198005;91.2;1
198006;22.2;1
198007;39.3;1
198008;86.6;1
198009;126.1;1
198010;160.1;1
198011;92.3;1
198012;40.6;1
198101;69.5;1
198102;24.2;1
198103;123.6;1
198104;17.8;1
198105;98.9;1
198106;82.5;1
198107;85;1
198108;57.5;1
198109;153.8;1
198110;100;1
198111;12;1
198112;182.9;1
198201;68.1;1
198202;14.4;1
198203;49.6;1
198204;31.5;1
198205;43.7;1
198206;62.6;1
198207;141.7;1
198208;98.3;1
198209;101.4;1
198210;116.5;1
198211;150.6;1
198212;85.6;1
198301;4.5;1
198302;76.3;1
198303;49.1;1
198304;216.8;1
198305;90.4;1
198306;79.9;1
198307;8.9;1
198308;61.8;1
198309;55.1;1
198310;60.5;1
198311;25.2;1
198312;56.9;1
198401;60.6;1
198402;49.9;1
198403;62.1;1
198404;7.8;1
198405;109.2;1
198406;60.1;1
198407;15.6;1
198408;96.3;1
198409;112.3;1
198410;92.3;1
198411;206.9;1
198412;68.4;1
198501;39.8;1
198502;27.6;1
198503;61.6;1
198504;89.2;1
198505;119.6;1
198506;104.9;1
198507;22.1;1
198508;35.4;1
198509;1.7;1
198510;17.1;1
198511;42.2;1
198512;63.2;1
198601;89.4;1
198602;64.5;1
198603;37.6;1
198604;184;1
198605;59.9;1
198606;30.8;1
198607;8.9;1
198608;65.9;1
198609;97.6;1
198610;88;1
198611;70.7;1
198612;74.7;1
198701;57.4;1
198702;65.1;1
198703;41.7;1
198704;78.2;1
198705;43.1;1
198706;81.6;1
198707;102.5;1
198708;47.1;1
198709;30.2;1
198710;129.6;1
198711;87.8;1
198712;37.1;1
198801;185.5;1
198802;65.5;1
198803;85.8;1
