# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 48051002
# NOM_USUEL= LE COLLET-SAUVEPLANE
# LATITUDE (°) = 44.256
# LONGITUDE(°)= 3.926
# ALTITUDE (m) = 485
# NUM_SERIE= MRR248051002
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;56.5;1
195002;147.3;1
195003;73.8;1
195004;11.3;1
195005;130.3;1
195006;36;1
195007;11.2;1
195008;33.6;1
195009;60;1
195010;106.6;1
195011;73;1
195012;127.2;1
195101;191.4;1
195102;161.8;1
195103;169;1
195104;33.7;1
195105;257;1
195106;16.9;1
195107;4.8;1
195108;88.5;1
195109;168.5;1
195110;307.5;1
195111;400.6;1
195112;50.4;1
195201;37.9;1
195202;8;1
195203;159.4;1
195204;72.1;1
195205;187.4;1
195206;39.3;1
195207;8.8;1
195208;60.8;1
195209;29.1;1
195210;102.2;1
195211;150.3;1
195212;85.9;1
195301;6;1
195302;8.5;1
195303;29.2;1
195304;45.7;1
195305;39.5;1
195306;119;1
195307;16.7;1
195308;19.3;1
195309;200;1
195310;361;1
195311;167.1;1
195312;306.1;1
195401;29.3;1
195402;144.6;1
195403;180;1
195404;60.4;1
195405;149.7;1
195406;70.7;1
195407;104;1
195408;130.4;1
195409;21.2;1
195410;41.1;1
195411;391.5;1
195412;28.8;1
195501;482.9;1
195502;115.7;1
195503;46.7;1
195504;0;1
195505;54.2;1
195506;147.2;1
195507;31.3;1
195508;67.9;1
195509;69.7;1
195510;369;1
195511;308.3;1
195512;151.2;1
195601;53.2;1
195602;22.5;1
195603;436.1;1
195604;114.8;1
195605;96.2;1
195606;15.1;1
195607;46.9;1
195608;39;1
195609;152.4;1
195610;81.7;1
195611;43.3;1
195612;184;1
195701;0;1
195702;178.5;1
195703;88;1
195704;188.2;1
195705;167.9;1
195706;190.6;1
195707;0;1
195708;43;1
195709;240.5;1
195710;33.8;1
195711;160.3;1
195712;258.7;1
195801;66.5;1
195802;36.9;1
195803;83.5;1
195804;115.9;1
195805;32;1
195806;129.7;1
195807;81.4;1
195808;95.9;1
195809;396.9;1
195810;197.4;1
195811;52;1
195812;248.4;1
195901;64.7;1
195902;79.6;1
195903;295.3;1
195904;178.4;1
195905;82.9;1
195906;74.1;1
195907;40.3;1
195908;77.4;1
195909;99.6;1
195910;176.7;1
195911;216.5;1
195912;324.1;1
196001;331.4;1
196002;141.8;1
196003;461.6;1
196004;18.5;1
196005;40;1
196006;55.2;1
196007;71.6;1
196008;94.5;1
196009;183.4;1
196010;784.6;1
196011;210.6;1
196012;66.2;1
196101;86.2;1
196102;24.6;1
196103;0;1
196104;59.4;1
196105;125;1
196106;86.2;1
196107;32.6;1
196108;8;1
196109;86.1;1
196110;328.2;1
196111;403.5;1
196112;93.7;1
196201;130.7;1
196202;103.7;1
196203;105.1;1
196204;135.7;1
196205;27.3;1
196206;21.6;1
196207;2.5;1
196208;32.4;1
196209;108.9;1
196210;112;1
196211;273.7;1
196212;76.9;1
196301;196.8;1
196302;142.4;1
196303;53.8;1
196304;220.9;1
196305;48.2;1
196306;341.5;1
196307;108.2;1
196308;234.8;1
196309;236.3;1
196310;198.4;1
196311;310;1
196312;181.8;1
196401;127.2;1
196402;435.7;1
196403;184.5;1
196404;133.7;1
196405;197;1
196406;106.2;1
196407;55.8;1
196408;139.6;1
196409;126.4;1
196410;164.9;1
196411;112.5;1
196412;97.8;1
196501;158;1
196502;41;1
196503;130.3;1
196504;0.6;1
196505;25.8;1
196506;101.8;1
196507;85.7;1
196508;6.5;1
196509;455.9;1
196510;375.9;1
196511;153.7;1
196512;157.3;1
196601;117.7;1
196602;233.9;1
196603;5.2;1
196604;175.9;1
196605;85.1;1
196606;74.2;1
196607;33.2;1
196608;14.3;1
196609;76;1
196610;233;1
196611;145.6;1
196612;36.2;1
196701;170.8;1
196702;242;1
196703;183.4;1
196704;75.9;1
196705;166;1
196706;14.3;1
196707;20;1
196708;99.5;1
196709;54.2;1
196710;68.4;1
196711;230.4;1
196712;9.3;1
196801;36.8;1
196802;238.9;1
196803;29.2;1
196804;255.8;1
196805;129.8;1
196806;138.2;1
196807;20.4;1
196808;226.5;1
196809;146.3;1
196810;188.4;1
196811;137;1
196812;62.9;1
196901;292.8;1
196902;273.4;1
196903;334.6;1
196904;184.7;1
196905;168.7;1
196906;68.2;1
196907;62.1;1
196908;47;1
196909;235.6;1
196910;247.3;1
196911;224.2;1
196912;107;1
197001;406.2;1
197002;26.5;1
197003;87.2;1
197004;23.8;1
197005;117.6;1
197006;55.6;1
197007;77.4;1
197008;25.4;1
197009;37.6;1
197010;407.3;1
197011;133.7;1
197012;53.6;1
197101;301.5;1
197102;4;1
197103;122.3;1
197104;359.5;1
197105;140.4;1
197106;294.1;1
197107;34.2;1
197108;42.2;1
197109;77.3;1
197110;24.2;1
197111;47;1
197112;162.6;1
197201;432.9;1
197202;467.9;1
197203;211.2;1
197204;43.8;1
197205;97.6;1
197206;232.7;1
197207;46.5;1
197208;85;1
197209;76.8;1
197210;269.2;1
197211;31.4;1
197212;359;1
197301;238;1
197302;33.4;1
197303;46.2;1
197304;37.2;1
197305;66;1
197306;72;1
197307;49.6;1
197308;7.2;1
197309;38.6;1
197310;161.4;1
197311;274.9;1
197312;444.5;1
197401;302.4;1
197402;183.1;1
197403;178.8;1
197404;158.9;1
197405;103.6;1
197406;80.5;1
197407;23.6;1
197408;98.4;1
197409;252;1
197410;6.8;1
197411;266.2;1
197412;22.3;1
197501;182.2;1
197502;231.5;1
197503;232;1
197504;14.4;1
197505;129.6;1
197506;37.2;1
197507;17.4;1
197508;58.8;1
197509;162.6;1
197510;8.2;1
197511;52;1
197512;152.4;1
197601;36.2;1
197602;291.4;1
197603;41.2;1
197604;112.9;1
197605;47.2;1
197606;3.2;1
197607;52.6;1
197608;340.8;1
197609;405.8;1
197610;514.5;1
197611;316.6;1
197612;342.3;1
197701;288.8;1
197702;139.4;1
197703;123.2;1
197704;26.1;1
197705;213.2;1
197706;177.1;1
197707;160.3;1
197708;205.3;1
197709;26;1
197710;710.2;1
197711;72.1;1
197712;287;1
197801;231.4;1
197802;141.6;1
197803;161.6;1
197804;246.2;1
197805;129.1;1
197806;31.4;1
197807;20.3;1
197808;44.2;1
197809;2.5;1
197810;1.5;1
197811;9.1;1
197812;430.3;1
197901;286;1
197902;79.7;1
197903;179.4;1
197904;92.9;1
197905;103.5;1
197906;28.6;1
197907;29.2;1
197908;35.2;1
197909;37.3;1
197910;679.6;1
197911;14.7;1
197912;91.6;1
198001;56.5;1
198002;57.3;1
198003;90.2;1
198004;111.4;1
198005;163.3;1
198006;20.7;1
198007;28.5;1
198008;84.8;1
198009;70.4;1
198010;123.5;1
198011;116.9;1
198012;18;1
198101;36.7;1
198102;68;1
198103;218.9;1
198104;24.9;1
198105;134;1
198106;154.3;1
198107;42.3;1
198108;14.5;1
198109;178.5;1
198110;94;1
198111;1.3;1
198112;343;1
198201;73.3;1
198202;135.1;1
198203;64.9;1
198204;76.4;1
198205;33.1;1
198206;71.5;1
198207;159.6;1
198208;53.6;1
198209;107.6;1
198210;90.1;1
198211;439;1
198212;35.8;1
198301;0;1
198302;118.6;1
198303;39.8;1
198304;324.8;1
198305;85.8;1
198306;87.8;1
198307;0;1
198308;93.8;1
198309;63.2;1
198310;219.1;1
198311;25.1;1
198312;175.3;1
198401;125.1;1
198402;45.8;1
198403;119.3;1
198404;12.6;1
198405;278.2;1
198406;36.8;1
198407;10.2;1
198408;292.1;1
198409;79.7;1
198410;255;1
198411;482.9;1
198412;97.3;1
198501;62.1;1
198502;29.9;1
198503;37.2;1
198504;80.7;1
198505;140.1;1
198506;68.4;1
198507;50.1;1
198508;22.3;1
198509;5.1;1
198510;29.7;1
198511;39;1
198512;212.3;1
198601;96.1;1
198602;200.6;1
198603;56.2;1
198604;259;1
198605;49.6;1
198606;12.2;1
198607;6.4;1
198608;12.5;1
198609;124.8;1
198610;196.3;1
198611;221.3;1
198612;107.5;1
198701;75;1
198702;234.5;1
198703;40.2;1
198704;143.5;1
198705;19.4;1
198706;51.4;1
198707;167.1;1
198708;85.1;1
198709;61.1;1
198710;402.4;1
198711;103.8;1
198712;158.8;1
198801;434.6;1
198802;30.4;1
198803;37.5;1
198804;163.8;1
198805;308.2;1
198806;65.1;1
198807;52.5;1
198808;76.5;1
198809;44.6;1
198810;289;1
198811;78.9;1
198812;17.1;1
198901;51.5;1
198902;71.2;1
198903;25.5;1
198904;230.4;1
198905;18.2;1
198906;62.1;1
198907;6.7;1
198908;16.6;1
198909;125.3;1
198910;85;1
198911;378;1
198912;32.3;1
199001;167.1;1
199002;82.4;1
199003;11.7;1
199004;108.5;1
199005;75.1;1
199006;95.9;1
199007;25;1
199008;42;1
199009;10.3;1
199010;349.2;1
199011;102.5;1
199012;54.9;1
199101;28.2;1
199102;84.1;1
199103;318.4;1
199104;60.4;1
199105;34.5;1
199106;43.4;1
199107;41;1
199108;40.8;1
199109;120.2;1
199110;129.2;1
199111;49.5;1
199112;23.2;1
199201;85.4;1
199202;50;1
199203;52;1
199204;33;1
199205;241.8;1
199206;203;1
199207;59.1;1
199208;70.4;1
199209;326.6;1
199210;134;1
199211;36.2;1
199212;149.1;1
199301;5.5;1
199302;26.7;1
199303;33.5;1
199304;283.3;1
199305;178;1
199306;77.9;1
199307;58.4;1
199308;14.8;1
199309;324.5;1
199310;281.2;1
199311;277.3;1
199312;24.7;1
199401;115.9;1
199402;290.2;1
199403;4.2;1
199404;123.5;1
199405;128.5;1
199406;49.1;1
199407;24.4;1
199408;45.8;1
199409;415.1;1
199410;362.5;1
199411;267.1;1
199412;61.1;1
199501;140.3;1
199502;42;1
199503;5;1
199504;144;1
199505;80.7;1
199506;15.9;1
199507;23.1;1
199508;104.8;1
199509;375.7;1
199510;490.7;1
199511;237;1
199512;281.9;1
199601;791;1
199602;227.8;1
199603;134.1;1
199604;104.8;1
199605;100.9;1
199606;126.3;1
199607;56.1;1
199608;64.2;1
199609;164.6;1
199610;134.5;1
199611;423.4;1
199612;385.6;1
199701;255.6;1
199702;15;1
199703;0;1
199704;10.8;1
199705;100;1
199706;169.1;1
199707;78.2;1
199708;142.5;1
199709;20.2;1
199710;144;1
199711;459.9;1
199712;409.6;1
199801;134;1
199802;12.3;1
199803;16.3;1
199804;342.3;1
199805;353.5;1
199806;23;1
199807;23.6;1
199808;20.6;1
199809;191.3;1
199810;26.8;1
199811;19.9;1
199812;271.5;1
199901;126.1;1
199902;5.6;1
199903;157.7;1
199904;52.2;1
199905;303.4;1
199906;30.7;1
199907;16.7;1
199908;83.5;1
199909;210.8;1
199910;329.5;1
199911;152.8;1
199912;39.6;1
200001;10;1
200002;9.8;1
200003;67.5;1
200004;217;1
200005;97.9;1
200006;56.5;1
200007;36.3;1
200008;40.5;1
200009;267;1
200010;97;1
200011;303.8;1
200012;400.3;1
200101;293.9;1
200102;46.3;1
200103;134.8;1
200104;53;1
200105;87.6;1
200106;107.1;1
200107;130.4;1
200108;42.1;1
200109;116.9;1
200110;272.6;1
200111;20.1;1
200112;4.3;1
200201;72;1
200202;103.8;1
200203;122.3;1
200204;88;1
200205;141.4;1
200206;83.1;1
200207;27;1
200208;66.8;1
200209;292.2;1
200210;244.4;1
200211;320.1;1
200212;293.5;1
200301;66.9;1
200302;95;1
200303;23.6;1
200304;168;1
200305;69.1;1
200306;16.3;1
200307;45;1
200308;141.4;1
200309;141.8;1
200310;235.6;1
200311;505;1
200312;320.9;1
200401;74.3;1
200402;118.2;1
200403;189.4;1
200404;261.5;1
200405;89.3;1
200406;19.5;1
200407;37.4;1
200408;207.7;1
200409;29;1
200410;335.9;1
200411;74.6;1
200412;55.4;1
200501;4.6;1
200502;8.9;1
200503;16.1;1
200504;116.8;1
200505;52.4;1
200506;29.9;1
200507;9.4;1
200508;47.8;1
200509;352.9;1
200510;243.3;1
200511;173.5;1
200512;37.7;1
200601;226.4;1
200602;51.9;1
200603;64.6;1
200604;34;1
200605;49.8;1
200606;14.1;1
200607;15.4;1
200608;83.7;1
200609;228.2;1
200610;348.4;1
200611;179.2;1
200612;93.7;1
200701;49.7;1
200702;54.5;1
200703;18.3;1
200704;111.6;1
200705;204.9;1
200706;117.6;1
200707;29.6;1
200708;31;1
200709;33.7;1
200710;74.5;1
200711;327;1
200712;20.9;1
200801;327.6;1
200802;109.1;1
200803;37.4;1
200804;222.3;1
200805;313.4;1
200806;106.8;1
200807;53.4;1
200808;49.1;1
200809;31.9;1
200810;353.8;1
200811;366.4;1
200812;301.1;1
200901;80.3;1
200902;273.7;1
200903;71.4;1
200904;210.8;1
200905;38;1
200906;62.9;1
200907;24.4;1
200908;26.3;1
200909;32.5;1
200910;216.9;1
200911;53.6;1
200912;147.9;1
201001;116;1
201002;265.4;1
201003;191.9;1
201004;49;1
201005;194.4;1
201006;63.9;1
201007;12.2;1
201008;25.6;1
201009;83.3;1
201010;327.8;1
201011;180.6;1
201012;291.1;1
201101;125.4;1
201102;83.5;1
201103;322.5;1
201104;37.5;1
201105;22.4;1
201106;50.7;1
201107;84;1
201108;85.8;1
201109;22;1
201110;147.3;1
201111;627.9;1
201112;19.1;1
201201;9.4;1
201202;0;1
201203;30.4;1
201204;215.5;1
201205;158.3;1
201206;48.4;1
201207;74.8;1
201208;74;1
201209;97;1
201210;215.5;1
201211;158.8;1
201212;118.6;1
201301;87.2;1
201302;25.9;1
201303;361.5;1
201304;151.1;1
201305;164.2;1
201306;45;1
201307;62.9;1
201308;66.5;1
201309;164.5;1
201310;270.9;1
201311;66.6;1
201312;136.9;1
201401;228.9;1
201402;262;1
201403;27.3;1
201404;39.3;1
201405;78;1
201406;60.2;1
201407;105.1;1
201408;50.3;1
201409;221;1
201410;359.1;1
201411;723.5;1
201412;53.9;1
201501;49.4;1
201502;33.2;1
201503;42.7;1
201504;228;1
201505;10.6;1
201506;76.3;1
201507;2.6;1
201508;148.4;1
201509;285.6;1
201510;352.7;1
201511;147.6;1
201512;79.6;1
201601;72.4;1
201602;223.6;1
201603;44.4;1
201604;200.6;1
201605;189;1
201606;102.7;1
201607;48.2;1
201608;13.7;1
201609;157.1;1
201610;247.8;1
201611;364.7;1
201612;68;1
201701;117.1;1
201702;121.1;1
201703;172;1
201704;93;1
201705;88.8;1
201706;42.9;1
201707;39.8;1
201708;11.3;1
201709;7.6;1
201710;51.1;1
201711;257;1
201712;63.2;1
201801;309.8;1
201802;65.4;1
201803;337.6;1
201804;273.8;1
201805;240.9;1
201806;112.7;1
201807;27.3;1
201808;137.7;1
201809;0;1
201810;281.1;1
201811;579;1
201812;42.6;1
201901;43.4;1
201902;30.4;1
201903;52.7;1
201904;242;1
201905;55.1;1
201906;49.7;1
201907;17.2;1
201908;27;1
201909;20.1;1
201910;289.6;1
201911;310.8;1
201912;171.7;1
202001;114.5;1
202002;53.6;1
202003;58.6;1
202004;93.9;1
202005;100.8;1
202006;161.7;1
202007;49.2;1
202008;84;1
202009;272.5;1
202010;181.6;1
202011;102.9;1
202012;232.6;1
202101;69.7;1
202102;91;1
202103;19.9;1
202104;53.2;1
202105;231.3;1
202106;95.2;1
202107;51.5;1
202108;24.5;1
202109;167.9;1
202110;571.3;1
202111;85.2;1
202112;49.4;1
202201;4.6;0
202202;109;0
202203;177.6;0
202204;82.7;0
202205;;0
202206;80.2;0
202207;7.2;0
202208;99.6;0
202209;88.6;0
202210;162;0
202211;100.2;0
202212;178.5;0
