# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 48146001
# NOM_USUEL= STE ENIMIE-SAUVETERRE
# LATITUDE (°) = 44.409
# LONGITUDE(°)= 3.438
# ALTITUDE (m) = 1018
# NUM_SERIE= MRR248146001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;32.4;1
195002;106.3;1
195003;29.3;1
195004;54.8;1
195005;78.9;1
195006;32.2;1
195007;19.9;1
195008;87.3;1
195009;69.2;1
195010;69.2;1
195011;111;1
195012;127.4;1
195101;95.8;1
195102;179.8;1
195103;112.5;1
195104;40.8;1
195105;151.9;1
195106;92.4;1
195107;23.7;1
195108;76.6;1
195109;54.4;1
195110;69.2;1
195111;277.2;1
195112;20.1;1
195201;122.7;1
195202;64.5;1
195203;76.4;1
195204;68.9;1
195205;136.5;1
195206;84.9;1
195207;20.7;1
195208;52.4;1
195209;25.5;1
195210;57.2;1
195211;121.2;1
195212;80.4;1
195301;10.9;1
195302;29.5;1
195303;11.1;1
195304;46.7;1
195305;59.3;1
195306;90.5;1
195307;28.2;1
195308;16.9;1
195309;151.6;1
195310;149.9;1
195311;54.1;1
195312;205.7;1
195401;33.2;1
195402;75.4;1
195403;104.4;1
195404;9.1;1
195405;89.4;1
195406;46.4;1
195407;115.3;1
195408;191.3;1
195409;67.1;1
195410;33.7;1
195411;65.9;1
195412;38.4;1
195501;250;1
195502;100;1
195503;28.2;1
195504;0.6;1
195505;54.5;1
195506;163.3;1
195507;30.2;1
195508;53.3;1
195509;41.9;1
195510;90;1
195511;50.2;1
195512;131.5;1
195601;45.1;1
195602;9.1;1
195603;185.9;1
195604;63.9;1
195605;102.6;1
195606;60.2;1
195607;146.2;1
195608;108.9;1
195609;161;1
195610;43.6;1
195611;51.4;1
195612;62;1
195701;10.2;1
195702;139.4;1
195703;55.7;1
195704;160.8;1
195705;86.6;1
195706;164.6;1
195707;30.5;1
195708;33.2;1
195709;69.9;1
195710;7.4;1
195711;48.6;1
195712;114.3;1
195801;80.3;1
195802;36.8;1
195803;98.9;1
195804;57.5;1
195805;44.3;1
195806;108.3;1
195807;76.1;1
195808;28.9;1
195809;159.1;1
195810;30.8;1
195811;65.2;1
195812;174.9;1
195901;74.8;1
195902;45.3;1
195903;107;1
195904;127.6;1
195905;135.5;1
195906;133.8;1
195907;19.6;1
195908;94.9;1
195909;101.2;1
195910;93.9;1
195911;113.3;1
195912;262.5;1
196001;104.5;1
196002;52.5;1
196003;221.1;1
196004;17;1
196005;52.4;1
196006;48.8;1
196007;74.3;1
196008;110.6;1
196009;131.5;1
196010;216.5;1
196011;105;1
196012;73;1
196101;77;1
196102;31.6;1
196103;0.3;1
196104;80;1
196105;86.8;1
196106;41.3;1
196107;49;1
196108;26;1
196109;73.7;1
196110;107;1
196111;122.2;1
196112;56.8;1
196201;65.4;1
196202;33.6;1
196203;61;1
196204;133.7;1
196205;68.2;1
196206;36.3;1
196207;18.9;1
196208;18.7;1
196209;86.1;1
196210;30.5;1
196211;226.6;1
196212;63.5;1
196301;83.1;1
196302;80.4;1
196303;103.6;1
196304;108.6;1
196305;24.6;1
196306;136.6;1
196307;86.9;1
196308;93.2;1
196309;188.8;1
196310;155.5;1
196311;79.9;1
196312;86.9;1
196401;20.7;1
196402;133.6;1
196403;103.7;1
196404;133.5;1
196405;177.1;1
196406;87.3;1
196407;94;1
196408;107;1
196409;59.2;1
196410;135.7;1
196411;46;1
196412;45.3;1
196501;76;1
196502;5.7;1
196503;97.6;1
196504;41.6;1
196505;117.1;1
196506;55.6;1
196507;55.4;1
196508;30.9;1
196509;242.3;1
196510;114.5;1
196511;143.6;1
196512;167.2;1
196601;104.8;1
196602;103.8;1
196603;26.3;1
196604;102.9;1
196605;80.7;1
196606;68;1
196607;49.5;1
196608;27.1;1
196609;70.3;1
196610;155.2;1
196611;166.2;1
196612;89.8;1
196701;69.8;1
196702;116.1;1
196703;70.5;1
196704;45.3;1
196705;92.8;1
196706;29.3;1
196707;41;1
196708;29;1
196709;96.4;1
196710;43.7;1
196711;100.5;1
