# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 50020001
# NOM_USUEL= PTE DE LA HAGUE
# LATITUDE (°) = 49.725
# LONGITUDE(°)= -1.94
# ALTITUDE (m) = 6
# NUM_SERIE= MRR250020001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 196803 198112 198712
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;76.8;1
195102;99.7;1
195103;81.3;1
195104;40.3;1
195105;69.9;1
195106;43.6;1
195107;38.5;1
195108;109.8;1
195109;101.8;1
195110;19.9;1
195111;132.2;1
195112;104.9;1
195201;69.3;1
195202;35;1
195203;80.6;1
195204;28.4;1
195205;54.7;1
195206;13.5;1
195207;29.2;1
195208;67.1;1
195209;154.5;1
195210;96.8;1
195211;145.7;1
195212;95.3;1
195301;17.1;1
195302;30.1;1
195303;7.4;1
195304;85.4;1
195305;41.5;1
195306;34.3;1
195307;63.8;1
195308;26.7;1
195309;61.4;1
195310;52.6;1
195311;34.9;1
195312;27.8;1
195401;35.5;1
195402;65.9;1
195403;80.4;1
195404;8.8;1
195405;38.8;1
195406;43.4;1
195407;63.6;1
195408;46.8;1
195409;110.4;1
195410;74.8;1
195411;117.7;1
195412;93.1;1
195501;99.7;1
195502;93.1;1
195503;26.2;1
195504;6.8;1
195505;59.2;1
195506;62.2;1
195507;21.7;1
195508;2.6;1
195509;52.8;1
195510;86;1
195511;35.9;1
195512;130;1
195601;157.4;1
195602;13.4;1
195603;10.8;1
195604;18.2;1
195605;9.1;1
195606;36.5;1
195607;29.9;1
195608;108.8;1
195609;65.8;1
195610;47.5;1
195611;29.7;1
195612;122;1
195701;43.2;1
195702;136;1
195703;36.6;1
195704;24.6;1
195705;33;1
195706;19.9;1
195707;49.2;1
195708;31.7;1
195709;69.1;1
195710;48.5;1
195711;124.8;1
195712;59.9;1
195801;114.6;1
195802;89;1
195803;63.2;1
195804;14.9;1
195805;61.1;1
195806;69;1
195807;19.1;1
195808;77.7;1
195809;82.2;1
195810;107.8;1
195811;67.5;1
195812;100;1
195901;107.3;1
195902;2.2;1
195903;47.6;1
195904;78.3;1
195905;27.9;1
195906;18;1
195907;17.6;1
195908;49.6;1
195909;4.3;1
195910;82.1;1
195911;113;1
195912;158.8;1
196001;104.6;1
196002;109.4;1
196003;51.3;1
196004;45.8;1
196005;70.4;1
196006;34.3;1
196007;83.3;1
196008;88.2;1
196009;102.3;1
196010;161.2;1
196011;126.4;1
196012;114.2;1
196101;97.2;1
196102;57.6;1
196103;0;1
196104;83.5;1
196105;20.3;1
196106;15;1
196107;30.6;1
196108;9.1;1
196109;44.9;1
196110;56.8;1
196111;65.1;1
196112;108.2;1
196201;100.1;1
196202;13.1;1
196203;58.6;1
196204;35.4;1
196205;13.2;1
196206;2.5;1
196207;25.9;1
196208;36.6;1
196209;67.1;1
196210;52.5;1
196211;119.1;1
196212;77;1
196301;37.4;1
196302;55.6;1
196303;70;1
196304;76.4;1
196305;26.8;1
196306;80.1;1
196307;50.2;1
196308;138.6;1
196309;67;1
196310;40.6;1
196311;170.6;1
196312;35.4;1
196401;30.5;1
196402;13;1
196403;79.4;1
196404;94.2;1
196405;97.3;1
196406;82.1;1
196407;18.5;1
196408;10.3;1
196409;30;1
196410;93.6;1
196411;114.4;1
196412;125.2;1
196501;149.7;1
196502;4.3;1
196503;85.8;1
196504;26.3;1
196505;27.5;1
196506;37.5;1
196507;22.2;1
196508;46.8;1
196509;49.6;1
196510;19.8;1
196511;188.2;1
196512;179.4;1
196601;89.8;1
196602;100.2;1
196603;25.4;1
196604;133;1
196605;49.8;1
196606;77.9;1
196607;35.9;1
196608;68.5;1
196609;37.2;1
196610;155.5;1
196611;61.1;1
196612;84;1
196701;43.8;1
196702;62;1
196703;71.2;1
196704;22.1;1
196705;92.9;1
196706;14.5;1
196707;23.5;1
196708;80.5;1
196709;91.4;1
196710;102.1;1
196711;123.6;1
196712;84.4;1
196801;74.4;1
196802;102.9;1
196803;15;1
196804;58.2;1
196805;46.3;1
196806;41.1;1
196807;43.1;1
196808;22.8;1
196809;111.6;1
196810;117.4;1
196811;49.9;1
196812;77.6;1
196901;63.4;1
196902;82.3;1
196903;51.3;1
196904;25.2;1
196905;101;1
196906;21.2;1
196907;41.9;1
196908;38.4;1
196909;9.1;1
196910;2.1;1
196911;124.6;1
196912;77.3;1
197001;123.4;1
197002;112.6;1
197003;73.6;1
197004;62.9;1
197005;27.2;1
197006;23;1
197007;34.5;1
197008;42.4;1
197009;78.2;1
197010;23.8;1
197011;141.8;1
197012;61.5;1
197101;93.4;1
197102;30;1
197103;57.6;1
197104;47.4;1
197105;40;1
197106;73.9;1
197107;7.8;1
197108;41.7;1
197109;13;1
197110;63;1
197111;88.6;1
197112;61.6;1
197201;84.5;1
197202;98.8;1
197203;45.2;1
197204;77.4;1
197205;77.9;1
197206;41.7;1
197207;44.9;1
197208;10.9;1
197209;25.2;1
197210;55.8;1
197211;152.3;1
197212;84.4;1
197301;50.8;1
197302;61.4;1
197303;20.6;1
197304;47.1;1
197305;96.6;1
197306;72.2;1
197307;17.9;1
197308;36.8;1
197309;56.6;1
197310;53.9;1
197311;53;1
197312;54.6;1
197401;83.3;1
197402;114.2;1
197403;44.1;1
197404;8.7;1
197405;38.1;1
197406;41.9;1
197407;70.7;1
197408;84.8;1
197409;164.1;1
197410;68.2;1
197411;141.5;1
197412;56.2;1
197501;117.7;1
197502;10.5;1
197503;78.1;1
197504;37.3;1
197505;29.3;1
197506;1.9;1
197507;31.3;1
197508;56.3;1
197509;89.7;1
197510;29.8;1
197511;114.3;1
197512;30.1;1
197601;18.8;1
197602;47.8;1
197603;28.6;1
197604;5.9;1
197605;20.1;1
197606;1.2;1
197607;12.1;1
197608;13.9;1
197609;187.1;1
197610;175.2;1
197611;116.5;1
197612;126.1;1
197701;122.7;1
197702;82.9;1
197703;65.8;1
197704;33.7;1
197705;70.5;1
197706;72.2;1
197707;21.5;1
197708;78.7;1
197709;39.6;1
197710;28.2;1
197711;116.6;1
197712;83.5;1
197801;118.4;1
197802;99.3;1
197803;94.2;1
197804;40.3;1
197805;22.2;1
197806;67.2;1
197807;67.4;1
197808;21.1;1
197809;6.9;1
197810;5.6;1
197811;26.7;1
197812;160.7;1
197901;104.5;1
197902;70.4;1
197903;122.4;1
197904;44.2;1
197905;67.3;1
197906;41.1;1
197907;12.6;1
197908;41.7;1
197909;18.4;1
197910;71.7;1
197911;58.7;1
197912;114.9;1
198001;53.4;1
198002;92.4;1
198003;102.3;1
198004;2.7;1
198005;36.1;1
198006;72.2;1
198007;112.1;1
198008;37;1
198009;45.2;1
198010;124.8;1
198011;59.9;1
198012;67.8;1
198101;44.1;1
198102;46.6;1
198103;94.5;1
198104;27.4;1
198105;85.1;1
198106;27.2;1
198107;29.8;1
198108;32.5;1
198109;125.1;1
198110;148.1;1
198111;34.9;1
198112;115.2;1
198201;37.3;1
198202;26.1;1
198203;63.7;1
198204;20.5;1
198205;40.8;1
198206;92.3;1
198207;94.7;1
198208;42;1
198209;57.4;1
198210;139.7;1
198211;124;1
198212;129.5;1
198301;51;1
198302;37.7;1
198303;57;1
198304;106.1;1
198305;96.1;1
198306;10.3;1
198307;7.3;1
198308;15.1;1
198309;62.6;1
198310;43.4;1
198311;37.3;1
198312;56.4;1
198401;140.2;1
198402;60.2;1
198403;67.6;1
198404;4.5;1
198405;81;1
198406;10.7;1
198407;31.9;1
198408;20.9;1
198409;93.7;1
198410;83.3;1
198411;111.6;1
198412;124.7;1
198501;71.6;1
198502;29.6;1
198503;67.5;1
198504;42.6;1
198505;28.3;1
198506;36.7;1
198507;43.7;1
198508;65;1
198509;38.4;1
198510;48.3;1
198511;102.3;1
198512;93;1
198601;128.9;1
198602;32.2;1
198603;81.5;1
198604;56.4;1
198605;66.1;1
198606;53.4;1
198607;27.2;1
198608;69.1;1
198609;70.9;1
198610;67.8;1
198611;74;1
198612;117.8;1
198701;33.9;1
198702;36.4;1
198703;48.4;1
198704;55.2;1
198705;32.1;1
198706;69.9;1
198707;37.9;1
198708;40.3;1
198709;43.8;1
198710;173.3;1
198711;79.6;1
198712;36.2;1
198801;150.9;1
198802;66.9;1
198803;92.1;1
198804;16.5;1
198805;30.9;1
198806;9;1
198807;51.8;1
198808;69.8;1
198809;68.7;1
198810;93.7;1
198811;41.3;1
198812;47.9;1
198901;28.9;1
198902;63.8;1
198903;80.8;1
198904;80.3;1
198905;1.4;1
198906;28.2;1
198907;35.2;1
198908;11.1;1
198909;46.6;1
198910;52.4;1
198911;70.8;1
198912;112.8;1
199001;104.2;1
199002;138.9;1
199003;8;1
199004;47.3;1
199005;14.1;1
199006;74.3;1
199007;17.4;1
199008;13.9;1
199009;28;1
199010;92;1
199011;89.6;1
199012;78.9;1
199101;98;1
199102;32.1;1
199103;54.5;1
199104;40.9;1
199105;12.3;1
199106;90.4;1
199107;53.9;1
199108;16.9;1
199109;37.8;1
199110;88.9;1
199111;89.2;1
199112;25.2;1
199201;18.9;1
199202;38.7;1
199203;28.2;1
199204;84.2;1
199205;40.9;1
199206;33;1
199207;85.6;1
199208;76.7;1
199209;96.6;1
199210;135.7;1
199211;131;1
199212;114.2;1
199301;85.4;1
199302;11.1;1
199303;25.2;1
199304;52.2;1
199305;28;1
199306;84.7;1
199307;57.8;1
199308;56.2;1
199309;130.9;1
199310;81.1;1
199311;79.5;1
199312;162.3;1
199401;147.5;1
199402;83.3;1
199403;51.6;1
199404;60.3;1
199405;98.6;1
199406;19.9;1
199407;49.1;1
199408;96;1
199409;62.1;1
199410;113.5;1
199411;78.4;1
199412;140.9;1
199501;164.6;1
199502;136.6;1
199503;60.1;1
199504;49.8;1
199505;35;1
199506;18.2;1
199507;21.8;1
199508;14;1
199509;90.8;1
199510;19.8;1
199511;31.4;1
199512;92.6;1
199601;44.2;1
199602;69;1
199603;29.8;1
199604;23.6;1
199605;70.6;1
199606;9.2;1
199607;12.4;1
199608;72.8;1
199609;49;1
199610;72;1
199611;159;1
199612;53.8;1
199701;12.2;1
199702;103.6;1
199703;34.2;1
199704;16;1
199705;36.8;1
199706;93.4;1
199707;9.8;1
199708;59;1
199709;8.6;1
199710;129.4;1
199711;174;1
199712;92.8;1
199801;99;1
199802;11.4;1
199803;50.6;1
199804;126.4;1
199805;10;1
199806;73.4;1
199807;46.2;1
199808;15;1
199809;109.8;1
199810;136.4;1
199811;50;1
199812;113.4;1
199901;105.6;1
199902;45;1
199903;45.6;1
199904;58.8;1
199905;15.2;1
199906;60;1
199907;4.4;1
199908;83.8;1
199909;106.8;1
199910;59.2;1
199911;43.4;1
199912;235.8;1
200001;17.6;1
200002;77.2;1
200003;30.2;1
200004;105.8;1
200005;104.8;1
200006;24.6;1
200007;39.4;1
200008;16.2;1
200009;62;1
200010;162.6;1
200011;138.6;1
200012;109.8;1
200101;157.8;1
200102;66.6;1
200103;134.6;1
200104;60;1
200105;17.3;1
200106;4;1
200107;31.2;1
200108;50.4;1
200109;25.4;1
200110;117.6;1
200111;40.8;1
200112;42.2;1
200201;81;1
200202;138;1
200203;55.4;1
200204;21;1
200205;65.4;1
200206;40.2;1
200207;75;1
200208;29.6;1
200209;72.2;1
200210;74;1
200211;147.6;1
200212;96.4;1
200301;64.6;1
200302;36.2;1
200303;35;1
200304;29;1
200305;47.6;1
200306;53.8;1
200307;60;1
200308;17.4;1
200309;20.8;1
200310;82.2;1
200311;110.2;1
200312;95;1
200401;103.8;1
200402;28;1
200403;33.4;1
200404;69;1
200405;21.2;1
200406;14.6;1
200407;71.8;1
200408;71;1
200409;22.4;1
200410;123.6;1
200411;30;1
200412;63;1
200501;41;1
200502;33.8;1
200503;39.2;1
200504;63.8;1
200505;56.8;1
200506;52.5;1
200507;35;1
200508;34.8;1
200509;32.4;1
200510;96.8;1
200511;88.2;1
200512;97;1
200601;27.2;1
200602;84.4;1
200603;54.6;1
200604;24;1
200605;40.4;1
200606;36;1
200607;25.6;1
200608;30.4;1
200609;52.4;1
200610;54;1
200611;91.4;1
200612;135.2;1
200701;104;1
200702;130.8;1
200703;74.4;1
200704;7.2;1
200705;76.8;1
200706;83.2;1
200707;74;1
200708;66.8;1
200709;43;1
200710;26.8;1
200711;82.4;1
200712;95.2;1
200801;103.2;1
200802;32.2;1
200803;93.2;1
200804;50.6;1
200805;96;1
200806;14.4;1
200807;27.4;1
200808;67;1
200809;50.2;1
200810;91.8;1
200811;125.6;1
200812;74;1
200901;79.4;1
200902;63.8;1
200903;53.6;1
200904;36.2;1
200905;52.8;1
200906;46.4;1
200907;61.2;1
200908;14;1
200909;22.2;1
200910;72.2;1
200911;189;1
200912;139.4;1
201001;87.2;1
201002;106.4;1
201003;42.8;1
201004;22.6;1
201005;6.6;1
201006;50.8;1
201007;14.6;1
201008;61.2;1
201009;26.6;1
201010;108.4;1
201011;203.4;1
201012;79;1
201101;91.2;1
201102;53.2;1
201103;29.2;1
201104;3.6;1
201105;14.2;1
201106;51.1;1
201107;63.1;1
201108;52.6;1
201109;50.7;1
201110;28.6;1
201111;25.3;1
201112;215.3;1
201201;45.1;1
201202;18.8;1
201203;23.3;1
201204;104.8;1
201205;39;1
201206;89;1
201207;82.1;1
201208;51.9;1
201209;77.4;1
201210;166.7;1
201211;103.1;1
201212;152.8;1
201301;90.4;1
201302;28.8;1
201303;102;1
201304;35.4;1
201305;33.6;1
201306;23;1
201307;27.9;1
201308;37.8;1
201309;45.8;1
201310;118;1
201311;85.7;1
201312;135.8;1
201401;175;1
201402;138.5;1
201403;64.3;1
201404;55.4;1
201405;68.7;1
201406;15.8;1
201407;16.8;1
201408;73.6;1
201409;2.2;1
201410;118.4;1
201411;130.9;1
201412;63.2;1
201501;107;1
201502;75.8;1
201503;33.4;1
201504;16;1
201505;30.2;1
201506;22.2;1
201507;44.5;1
201508;128.1;1
201509;36.2;1
201510;41.3;1
201511;60.1;1
201512;62.4;1
201601;134.9;1
201602;88.2;1
201603;88;1
201604;22.6;1
201605;26.5;1
201606;54.1;1
201607;9.6;1
201608;46.7;1
201609;59.2;1
201610;47.9;1
201611;96.2;1
201612;24.7;1
201701;74.8;1
201702;48.3;1
201703;76.9;1
201704;33.4;1
201705;86.3;1
201706;44.6;1
201707;64.3;1
201708;70.1;1
201709;62;1
201710;37.9;1
201711;66.2;1
201712;139.5;1
201801;128.1;1
201802;45.6;1
201803;108.3;1
201804;39.7;1
201805;20.8;1
201806;12.5;1
201807;28.2;1
201808;36.1;1
201809;34;1
201810;63.1;1
201811;89.4;1
201812;108.2;1
201901;44;0
201902;52;0
201903;48.7;0
201904;31.3;0
201905;30.2;0
201906;61.2;0
201907;35.2;0
201908;50.3;0
201909;53;0
201910;126.6;0
201911;101.7;0
201912;117.5;0
202001;93.4;0
202002;139.8;0
202003;69;0
202004;24.5;0
202005;28.8;0
202006;64.3;0
202007;25.8;0
202008;62.9;0
202009;40.5;0
202010;199.3;0
202011;95.9;0
202012;162.8;0
202101;162.2;0
202102;41.4;0
202103;24.6;0
202104;12.4;0
202105;76.5;0
202106;114.2;0
202107;79.6;0
202108;19.3;0
202109;26.5;0
202110;109.5;0
202111;36;0
202112;86;0
202201;51.3;0
202202;46.9;0
202203;38.6;0
202204;27.1;0
202205;25.5;0
202206;41.5;0
202207;3.6;0
202208;28.5;0
202209;97.7;0
202210;87.1;0
202211;175.7;0
202212;131.5;0
