# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59343001
# NOM_USUEL= LILLE-LESQUIN
# LATITUDE (°) = 50.57
# LONGITUDE(°)= 3.098
# ALTITUDE (m) = 47
# NUM_SERIE= MRR259343001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 197012 199212 200008
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;68.4;1
195502;64.9;1
195503;17.6;1
195504;16.8;1
195505;78.3;1
195506;43.2;1
195507;25.1;1
195508;72.2;1
195509;54.7;1
195510;29.1;1
195511;31.4;1
195512;66.9;1
195601;65.3;1
195602;27.7;1
195603;16.1;1
195604;37.5;1
195605;28.6;1
195606;66;1
195607;67;1
195608;90.5;1
195609;50.6;1
195610;85.3;1
195611;48.6;1
195612;26;1
195701;27;1
195702;105.4;1
195703;23.2;1
195704;40.3;1
195705;29.5;1
195706;62.1;1
195707;98.5;1
195708;71.6;1
195709;88.2;1
195710;28.8;1
195711;25.8;1
195712;33.6;1
195801;34.9;1
195802;98.4;1
195803;38.4;1
195804;29.7;1
195805;51.5;1
195806;74.2;1
195807;91.2;1
195808;65.1;1
195809;48.3;1
195810;59.4;1
195811;33.2;1
195812;66;1
195901;76.5;1
195902;2.1;1
195903;61;1
195904;38.7;1
195905;16;1
195906;38.7;1
195907;16.9;1
195908;21.5;1
195909;3.4;1
195910;83.1;1
195911;41.3;1
195912;62.3;1
196001;54.8;1
196002;27.2;1
196003;41.9;1
196004;11.5;1
196005;56.6;1
196006;67;1
196007;54.6;1
196008;111.6;1
196009;62.1;1
196010;102.8;1
196011;86.2;1
196012;64;1
196101;69.9;1
196102;50.7;1
196103;13.3;1
196104;85.1;1
196105;28.1;1
196106;44.5;1
196107;60.7;1
196108;23.1;1
196109;49.5;1
196110;119.5;1
196111;85.5;1
196112;61;1
196201;54.9;1
196202;22.4;1
196203;45.9;1
196204;25.7;1
196205;31.9;1
196206;15.4;1
196207;67.9;1
196208;54.9;1
196209;32.6;1
196210;41.9;1
196211;41.9;1
196212;50;1
196301;17;1
196302;14.4;1
196303;51.8;1
196304;45.5;1
196305;80.1;1
196306;96.1;1
196307;20.6;1
196308;116.5;1
196309;31.9;1
196310;53.7;1
196311;85.1;1
196312;11;1
196401;20.2;1
196402;24.4;1
196403;49.3;1
196404;35.2;1
196405;68.2;1
196406;85.9;1
196407;65.2;1
196408;43.4;1
196409;76;1
196410;116.8;1
196411;88.3;1
196412;102.1;1
196501;61.3;1
196502;11.6;1
196503;42;1
196504;51.6;1
196505;70.1;1
196506;50;1
196507;122.4;1
196508;63.2;1
196509;77;1
196510;22.5;1
196511;54;1
196512;138.6;1
196601;33.8;1
196602;76.2;1
196603;43.2;1
196604;61.2;1
196605;38.7;1
196606;76.8;1
196607;71.4;1
196608;104.1;1
196609;24.8;1
196610;108.1;1
196611;120.7;1
196612;128;1
196701;23.6;1
196702;33.1;1
196703;36.9;1
196704;38.3;1
196705;70.1;1
196706;30.5;1
196707;31.8;1
196708;66.2;1
196709;63;1
196710;81.3;1
196711;24.7;1
196712;68.4;1
196801;55.5;1
196802;70.6;1
196803;43.3;1
196804;27.8;1
196805;36.8;1
196806;64.2;1
196807;200.1;1
196808;72.8;1
196809;103.6;1
196810;36.6;1
196811;24.3;1
196812;56.8;1
196901;33.2;1
196902;31.6;1
196903;61.6;1
196904;35.6;1
196905;82.3;1
196906;135;1
196907;36.9;1
196908;100.6;1
196909;7.9;1
196910;4.5;1
196911;82.6;1
196912;44;1
197001;53.4;1
197002;74.4;1
197003;61.2;1
197004;66;1
197005;35.9;1
197006;29;1
197007;42.9;1
197008;52.5;1
197009;102.4;1
197010;45.8;1
197011;80.2;1
197012;17.4;1
197101;41.2;1
197102;27.5;1
197103;34.6;1
197104;26;1
197105;43.9;1
197106;112;1
197107;36.7;1
197108;58;1
197109;10.6;1
197110;16.5;1
197111;87.2;1
197112;9.6;1
197201;57.7;1
197202;38.2;1
197203;33.5;1
197204;71.5;1
197205;79.4;1
197206;61.9;1
197207;58;1
197208;53.1;1
197209;54.5;1
197210;17;1
197211;87.3;1
197212;34;1
197301;24.1;1
197302;39.4;1
197303;10.5;1
197304;39.2;1
197305;76.5;1
197306;34.6;1
197307;49.6;1
197308;12.3;1
197309;89.4;1
197310;45;1
197311;31.6;1
197312;41.7;1
197401;56;1
197402;66.3;1
197403;40.6;1
197404;12.8;1
197405;40.7;1
197406;55;1
197407;63.7;1
197408;62.4;1
197409;127.1;1
197410;153.6;1
197411;90.5;1
197412;62.2;1
197501;63.9;1
197502;19.2;1
197503;92.8;1
197504;56;1
197505;30.2;1
197506;28.6;1
197507;51;1
197508;95.4;1
197509;122.2;1
