# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 62160001
# NOM_USUEL= BOULOGNE-SEM
# LATITUDE (°) = 50.733
# LONGITUDE(°)= 1.6
# ALTITUDE (m) = 73
# NUM_SERIE= MRR262160001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 197012
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;74;1
195502;53.9;1
195503;17.8;1
195504;13.3;1
195505;89.4;1
195506;71.9;1
195507;11.2;1
195508;68.3;1
195509;43.5;1
195510;60.7;1
195511;26.1;1
195512;82.6;1
195601;105.1;1
195602;34.9;1
195603;8;1
195604;14.3;1
195605;18.1;1
195606;70.7;1
195607;70.9;1
195608;103.4;1
195609;50.5;1
195610;72.2;1
195611;56.3;1
195612;52.8;1
195701;26.9;1
195702;139.3;1
195703;30.6;1
195704;61.7;1
195705;31.2;1
195706;12.6;1
195707;71.6;1
195708;92.5;1
195709;92.1;1
195710;26.5;1
195711;108;1
195712;29.8;1
195801;55.6;1
195802;75.4;1
195803;42.6;1
195804;51.7;1
195805;50;1
195806;81.9;1
195807;41.6;1
195808;69.4;1
195809;101.7;1
195810;92.7;1
195811;101.9;1
195812;90;1
195901;56.1;1
195902;4.6;1
195903;49.4;1
195904;55.2;1
195905;25.9;1
195906;14.6;1
195907;57.5;1
195908;23.6;1
195909;5.2;1
195910;86;1
195911;115.5;1
195912;120.5;1
196001;66.5;1
196002;38.2;1
196003;38.8;1
196004;5.9;1
196005;75.5;1
196006;39.7;1
196007;42.7;1
196008;91.7;1
196009;63.5;1
196010;132.4;1
196011;154.6;1
196012;108.7;1
196101;75.5;1
196102;56.4;1
196103;3.1;1
196104;36.3;1
196105;14.8;1
196106;27.9;1
196107;70.9;1
196108;6.9;1
196109;63.9;1
196110;106;1
196111;78.2;1
196112;74.4;1
196201;69.6;1
196202;21.7;1
196203;60.1;1
196204;21.4;1
196205;13.6;1
196206;5.8;1
196207;88.2;1
196208;66.3;1
196209;41.4;1
196210;107.7;1
196211;86.9;1
196212;44.8;1
196301;10.8;1
196302;7.1;1
196303;63.5;1
196304;59.8;1
196305;49.5;1
196306;79.3;1
196307;27.6;1
196308;92.2;1
196309;68;1
196310;48.4;1
196311;96.5;1
196312;26.1;1
196401;16.6;1
196402;23.2;1
196403;45.2;1
196404;59.8;1
196405;35;1
196406;113.3;1
196407;11.1;1
196408;22.7;1
196409;34;1
196410;130.8;1
196411;75.2;1
196412;80.6;1
196501;58.7;1
196502;5.8;1
196503;29.4;1
196504;40.2;1
196505;39.3;1
196506;37.1;1
196507;49.7;1
196508;46.8;1
196509;114.7;1
196510;11.9;1
196511;58.2;1
196512;172.1;1
196601;55.1;1
196602;80.3;1
196603;15.5;1
196604;67.4;1
196605;29.8;1
196606;72;1
196607;102.9;1
196608;48.4;1
196609;30.3;1
196610;110.6;1
196611;128.1;1
196612;99.5;1
196701;33.3;1
196702;34.7;1
196703;57.6;1
196704;48.3;1
196705;71;1
196706;36;1
196707;19.8;1
196708;52.2;1
196709;84.8;1
196710;115.6;1
196711;78.1;1
196712;78.3;1
196801;75.5;1
196802;80.2;1
196803;42.3;1
196804;57.1;1
196805;34.9;1
196806;61.2;1
196807;104.2;1
196808;66;1
196809;127.6;1
196810;102.6;1
196811;34.3;1
196812;55.4;1
196901;41.3;1
196902;46.6;1
196903;42.8;1
196904;50.8;1
196905;128.2;1
196906;78;1
196907;88.4;1
196908;45.9;1
196909;5.4;1
196910;13.7;1
196911;169.9;1
196912;74.4;1
197001;92;1
197002;71.3;1
197003;45.7;1
197004;64.8;1
197005;38.8;1
197006;28.8;1
197007;43.3;1
197008;47.8;1
197009;54.7;1
197010;24.7;1
197011;100.6;1
197012;61.7;1
197101;69.8;1
197102;28.8;1
197103;42.6;1
197104;34;1
197105;34.5;1
197106;108.1;1
197107;17.8;1
197108;74.2;1
197109;42.6;1
197110;26.1;1
197111;73.3;1
197112;12.6;1
197201;57.2;1
197202;39.9;1
197203;39.6;1
197204;70.8;1
197205;78;1
197206;29.2;1
197207;46.2;1
197208;50.2;1
197209;50;1
197210;11.3;1
197211;79.6;1
197212;69.1;1
197301;42.8;1
197302;49.2;1
197303;13.4;1
197304;55.1;1
197305;58.7;1
197306;19.7;1
197307;33;1
197308;25.8;1
197309;86.9;1
197310;45;1
197311;30.6;1
197312;38;1
197401;69.3;1
197402;58.3;1
197403;29.7;1
197404;7.6;1
197405;21.9;1
197406;39.1;1
197407;56.2;1
197408;89.6;1
197409;203.6;1
197410;181.2;1
197411;126.8;1
197412;43.9;1
197501;97;1
197502;26.9;1
197503;106.7;1
197504;41.3;1
197505;38.9;1
197506;27;1
197507;39.2;1
197508;45.8;1
197509;109.7;1
197510;26.1;1
197511;170.6;1
197512;36.5;1
197601;20;1
197602;34.5;1
197603;13.6;1
197604;13.3;1
197605;15;1
197606;3.6;1
197607;19.4;1
197608;26.7;1
197609;197.4;1
197610;132.5;1
197611;139.1;1
197612;70;1
197701;81.7;1
197702;83.4;1
197703;65.1;1
197704;22.4;1
197705;37.4;1
197706;57.5;1
197707;22.1;1
197708;65.9;1
197709;17.9;1
197710;20.3;1
197711;103.6;1
197712;56.2;1
197801;70.2;1
197802;28.2;1
197803;38.4;1
197804;65.8;1
197805;37;1
197806;83.9;1
197807;43.9;1
197808;16.1;1
197809;25.2;1
197810;47.3;1
197811;37.7;1
197812;166.2;1
197901;85.4;1
197902;66;1
197903;96.4;1
197904;63;1
197905;75.1;1
197906;57.2;1
197907;12.6;1
197908;78;1
197909;25.6;1
197910;43.9;1
197911;72.7;1
197912;158.1;1
198001;55.2;1
198002;55.1;1
198003;77.3;1
198004;18.3;1
198005;40.5;1
198006;72.9;1
198007;104.1;1
198008;61.5;1
198009;30.2;1
198010;122.2;1
198011;48.1;1
198012;51.3;1
198101;35.1;1
198102;19.5;1
198103;97.8;1
198104;43.2;1
198105;124.3;1
198106;96.6;1
198107;21.2;1
198108;21.3;1
198109;87.9;1
198110;222.4;1
198111;43.7;1
198112;68.3;1
198201;49.7;1
198202;14.2;1
198203;41.4;1
198204;17.9;1
198205;33.1;1
198206;87.1;1
198207;44.7;1
198208;35.4;1
198209;66.3;1
198210;135.6;1
198211;120.9;1
198212;79.9;1
198301;58.5;1
198302;34.6;1
198303;40.8;1
198304;75.7;1
198305;64;1
198306;42.5;1
198307;53.9;1
198308;16.7;1
198309;87.3;1
198310;57.3;1
198311;44.4;1
198312;50.3;1
198401;102.9;1
198402;29.7;1
198403;57.6;1
198404;15.7;1
198405;73.8;1
198406;27.7;1
198407;58.7;1
198408;31.8;1
198409;93.8;1
198410;74.9;1
198411;90.1;1
198412;84.8;1
198501;55.5;1
198502;19.2;1
198503;96.9;1
198504;57.3;1
198505;72.8;1
198506;46.9;1
198507;38.2;1
198508;59.9;1
198509;13.7;1
198510;36.3;1
198511;51.4;1
198512;62;1
198601;72.5;1
198602;2.9;1
198603;79.4;1
198604;64.2;1
198605;25.2;1
198606;23.8;1
198607;39.9;1
198608;57.5;1
198609;46.8;1
198610;102.4;1
198611;84.4;1
198612;94.8;1
198701;21.2;1
198702;54.2;1
198703;70.7;1
198704;29.7;1
198705;42.7;1
198706;71.4;1
198707;73.4;1
198708;80;1
198709;49.3;1
198710;136.2;1
198711;112.3;1
198712;14.3;1
198801;132.3;1
198802;86;1
198803;66.5;1
198804;51.2;1
198805;36.4;1
198806;18.2;1
198807;82.8;1
198808;43.1;1
198809;89;1
198810;63;1
198811;53;1
198812;25.3;1
198901;29;1
198902;48.9;1
198903;52.2;1
198904;88.6;1
198905;11.2;1
198906;49.9;1
198907;23.6;1
198908;21.6;1
198909;33;1
198910;71.7;1
198911;66;1
198912;114.8;1
199001;71.4;1
199002;67;1
199003;4.1;1
199004;51.2;1
199005;7.5;1
199006;52.3;1
199007;7.6;1
199008;15.9;1
199009;40.8;1
199010;99.6;1
199011;79.1;1
199012;69.1;1
199101;69.5;1
199102;15.9;1
199103;25.5;1
199104;47.7;1
199105;36.5;1
199106;73.1;1
199107;88.9;1
199108;8.8;1
199109;44.5;1
199110;32.6;1
199111;138;1
199112;22.9;1
199201;24.1;1
199202;24.8;1
199203;73.8;1
199204;65;1
199205;51.6;1
199206;43.9;1
199207;70.2;1
199208;110.1;1
199209;95.9;1
199210;135.3;1
199211;105;1
199212;75.1;1
199301;61.5;1
199302;28.5;1
199303;8.4;1
199304;59.6;1
199305;38.3;1
199306;47.6;1
199307;84.5;1
199308;26.8;1
199309;131.6;1
199310;106.1;1
199311;57.5;1
199312;196.3;1
199401;106.7;1
199402;43.6;1
199403;63.7;1
199404;93.1;1
199405;71.1;1
199406;46.6;1
199407;66.7;1
199408;59.9;1
199409;74.6;1
199410;133;1
199411;75.6;1
199412;164.2;1
199501;114.6;1
199502;68.6;1
199503;69.6;1
199504;15.8;1
199505;9.4;1
199506;26.7;1
199507;34;1
199508;18.2;1
199509;102.2;1
199510;30.2;1
199511;40.6;1
199512;61.2;1
199601;31;1
199602;54.8;1
199603;18.4;1
199604;6.8;1
199605;105.9;1
199606;28.6;1
199607;11.4;1
199608;79.7;1
199609;27.6;1
199610;47;1
199611;131.6;1
199612;40.8;1
199701;10.6;1
199702;50.2;1
199703;14.2;1
199704;12.8;1
199705;72.2;1
199706;109.6;1
199707;24.8;1
199708;57.4;1
199709;3.2;1
199710;87.6;1
199711;221;1
199712;111.2;1
199801;90.6;1
199802;12.6;1
199803;54;1
199804;72.2;1
199805;15.6;1
199806;81.8;1
199807;46.8;1
199808;13.2;1
199809;157.2;1
199810;195.4;1
199811;89.4;1
199812;85;1
199901;118.8;1
199902;40.2;1
199903;45;1
199904;61.4;1
199905;45.8;1
199906;52;1
199907;8.2;1
199908;163;1
199909;120;1
199910;64.6;1
199911;64.8;1
199912;177;1
200001;26.4;1
200002;58.8;1
200003;35;1
200004;151.4;1
200005;86.2;1
200006;31;1
200007;51.8;1
200008;28.2;1
200009;110.2;1
200010;199.8;1
200011;302.2;1
200012;109.2;1
200101;152.4;1
200102;82.6;1
200103;156;1
200104;118;1
200105;42.6;1
200106;15;1
200107;85;1
200108;67.8;1
200109;121.2;1
200110;113;1
200111;94.8;1
200112;52.6;1
200201;67.6;1
200202;120.6;1
200203;58.8;1
200204;32.8;1
200205;87.4;1
200206;85.4;1
200207;105.6;1
200208;13.2;1
200209;59.4;1
200210;59.6;1
200211;135;1
200212;103.1;1
200301;77.4;1
200302;21.8;1
200303;22.2;1
200304;30;1
200305;37.2;1
200306;49.2;1
200307;61.2;1
200308;35.2;1
200309;16.8;1
200310;64.8;1
200311;65.2;1
200312;55.6;1
200401;90.8;1
200402;17;1
200403;21;1
200404;49.4;1
200405;29.4;1
200406;22.2;1
200407;47.6;1
200408;93;1
200409;15.6;1
200410;106.6;1
200411;62;1
200412;61.6;1
200501;54.6;1
200502;55.4;1
200503;45;1
200504;85.8;1
200505;52.2;1
200506;22;1
200507;81.6;1
200508;58.2;1
200509;55.4;1
200510;72.2;1
200511;64;1
200512;97.4;1
200601;24.2;1
200602;68.2;1
200603;37.4;1
200604;22.2;1
200605;122.6;1
200606;23.8;1
200607;20;1
200608;112.6;1
200609;37.4;1
200610;83.8;1
200611;101.4;1
200612;172.2;1
200701;70;1
200702;83.4;1
200703;52.4;1
200704;2;1
200705;69.8;1
200706;119.6;1
200707;102.2;1
200708;54.8;1
200709;103.8;1
200710;45.2;1
200711;46.6;1
200712;77;1
200801;79.4;1
200802;31.4;1
200803;99.6;1
200804;58.8;1
200805;90.2;1
200806;25.4;1
200807;62.4;1
200808;60.2;1
200809;71.4;1
200810;67.8;1
200811;82.6;1
200812;47.4;1
200901;82.2;1
200902;52.2;1
200903;41.2;1
200904;49;1
200905;58.2;1
200906;60.6;1
200907;96.2;1
200908;8;1
200909;38.6;1
200910;119.6;1
200911;185;1
200912;186.2;1
201001;57.4;1
201002;94.6;1
201003;50;1
201004;12.2;1
201005;61.4;1
201006;38.1;1
201007;12.7;1
201008;74.2;1
201009;70.9;1
201010;72.5;1
201011;103.5;1
201012;63.2;1
201101;66.1;1
201102;47.9;1
201103;22.6;1
201104;15;1
201105;8.2;1
201106;53.6;1
201107;47.3;1
201108;82.6;1
201109;41.4;1
201110;20.8;1
201111;38.7;1
201112;165.2;1
201201;42.4;1
201202;15.8;1
201203;52;1
201204;102.7;1
201205;39.7;1
201206;78;1
201207;60.6;1
201208;28.4;1
201209;107.1;1
201210;236.8;1
201211;166.9;1
201212;175.4;1
201301;52.1;1
201302;34.4;1
201303;42.6;1
201304;33;1
201305;51.6;1
201306;23.8;1
201307;54.4;1
201308;29.8;1
201309;50.6;1
201310;117.9;1
201311;131.4;1
201312;114.6;1
201401;108.4;1
201402;138.5;1
201403;37.8;1
201404;35.3;1
201405;69.3;1
201406;11.8;1
201407;57.9;1
201408;109.1;1
201409;9.6;1
201410;91.5;1
201411;109.3;1
201412;77.4;1
201501;142;1
201502;83.5;1
201503;22;1
201504;9.8;1
201505;38.4;1
201506;46.2;1
201507;65.4;1
201508;145.2;1
201509;97.2;1
201510;63.5;1
201511;95.7;1
201512;50.3;1
201601;155;1
201602;74.4;1
201603;69.6;1
201604;45;1
201605;76.4;1
201606;82.2;1
201607;7;1
201608;32.6;1
201609;52.5;1
201610;83.2;1
201611;151.6;1
201612;27.1;1
201701;58.6;0
201702;50.1;0
201703;30.3;0
201704;13.2;0
201705;59.6;0
201706;21.8;0
201707;73.2;0
201708;101.6;0
201709;72.9;0
201710;34.9;0
201711;70.5;0
201712;152.3;0
201801;106.1;0
201802;43.3;0
201803;56.3;0
201804;78.8;0
201805;64.4;0
201806;6;0
