# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64450001
# NOM_USUEL= POMPS
# LATITUDE (°) = 43.491
# LONGITUDE(°)= -0.544
# ALTITUDE (m) = 130
# NUM_SERIE= MRR264450001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 199212 201112
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;176.6;1
195502;114.6;1
195503;22.4;1
195504;10.3;1
195505;58.8;1
195506;117.9;1
195507;64.8;1
195508;26.8;1
195509;86.3;1
195510;104.4;1
195511;69.2;1
195512;113.7;1
195601;144;1
195602;30.1;1
195603;23;1
195604;118.7;1
195605;74.8;1
195606;31.2;1
195607;42.4;1
195608;96.1;1
195609;44.4;1
195610;55.3;1
195611;79;1
195612;57.1;1
195701;45.4;1
195702;100.4;1
195703;71.2;1
195704;107.8;1
195705;129.2;1
195706;166.3;1
195707;59.7;1
195708;24.3;1
195709;64.3;1
195710;34.7;1
195711;76.9;1
195712;68.6;1
195801;113.6;1
195802;22.1;1
195803;215.1;1
195804;79.4;1
195805;136.4;1
195806;86.9;1
195807;89.3;1
195808;60.1;1
195809;125.9;1
195810;57.4;1
195811;57.9;1
195812;152.1;1
195901;66.8;1
195902;6.2;1
195903;105.4;1
195904;116.8;1
195905;99.2;1
195906;71.3;1
195907;70.6;1
195908;142.7;1
195909;281.6;1
195910;130.7;1
195911;131.8;1
195912;201.9;1
196001;93.1;1
196002;44.4;1
196003;131.3;1
196004;22.2;1
196005;76.8;1
196006;100.6;1
196007;87.2;1
196008;119.2;1
196009;96.6;1
196010;211.7;1
196011;186.5;1
196012;210.4;1
196101;191.9;1
196102;60;1
196103;0.6;1
196104;146.8;1
196105;55.9;1
196106;56.3;1
196107;65.9;1
196108;78.7;1
196109;103.2;1
196110;145.8;1
196111;188.8;1
196112;67.4;1
196201;106.3;1
196202;106.5;1
196203;90.6;1
196204;105.4;1
196205;93.2;1
196206;28.8;1
196207;32.1;1
196208;25.7;1
196209;40.1;1
196210;63.1;1
196211;163.2;1
196212;139.6;1
196301;108.4;1
196302;182.7;1
196303;145.6;1
196304;79.4;1
196305;43.2;1
196306;76.8;1
196307;66.1;1
196308;215.7;1
196309;146.8;1
196310;53.4;1
196311;96.9;1
196312;57;1
196401;15.1;1
196402;87;1
196403;80.9;1
196404;91.6;1
196405;83.7;1
196406;36.5;1
196407;19.6;1
196408;31.1;1
196409;45.6;1
196410;203;1
196411;77.9;1
196412;74.5;1
196501;138.5;1
196502;37;1
196503;121.5;1
196504;112.9;1
196505;111.7;1
196506;36.2;1
196507;61.9;1
196508;70.3;1
196509;187;1
196510;72.6;1
196511;165.5;1
196512;296.1;1
196601;100.6;1
196602;140.5;1
196603;44.6;1
196604;128;1
196605;87;1
196606;116.5;1
196607;43.5;1
196608;36.4;1
196609;61.3;1
196610;129.5;1
196611;105.3;1
196612;227.6;1
196701;78.3;1
196702;63.5;1
196703;81.6;1
196704;33.7;1
196705;73.6;1
196706;78;1
196707;17.8;1
196708;78.3;1
196709;75.6;1
196710;103.1;1
196711;211.9;1
196712;111.4;1
196801;129.5;1
196802;63.7;1
196803;43.8;1
196804;106.7;1
196805;153.8;1
196806;79.6;1
196807;34.7;1
196808;123.1;1
196809;133.4;1
196810;99.8;1
196811;56.7;1
196812;196.4;1
196901;64;1
196902;91.4;1
196903;130.1;1
196904;150.4;1
196905;94.2;1
196906;70.3;1
196907;25.3;1
196908;51.5;1
196909;122.1;1
196910;12.4;1
196911;60;1
196912;180;1
197001;123.5;1
197002;124.5;1
197003;65.6;1
197004;113.2;1
197005;78.6;1
197006;185.1;1
197007;21.4;1
197008;48.1;1
197009;21.4;1
197010;78.6;1
197011;106.2;1
197012;32.4;1
197101;163.7;1
197102;142;1
197103;114.8;1
197104;151.2;1
197105;137.4;1
197106;126.9;1
197107;87.6;1
197108;70;1
197109;82.1;1
197110;28.6;1
197111;167.4;1
197112;50;1
197201;155.4;1
197202;157.1;1
197203;60.9;1
197204;128.2;1
197205;123.2;1
197206;100.6;1
197207;18.9;1
197208;137.6;1
197209;75.8;1
197210;57.8;1
197211;62.2;1
197212;154.3;1
197301;110.3;1
197302;166.3;1
197303;52;1
197304;59.1;1
197305;96.2;1
197306;67.5;1
197307;166.2;1
197308;12.5;1
197309;130.1;1
197310;34.7;1
197311;88.3;1
197312;106.8;1
197401;54.6;1
197402;137.6;1
197403;166.2;1
197404;94.6;1
197405;133.5;1
197406;44.5;1
197407;55.5;1
197408;57.9;1
197409;168.9;1
197410;186.1;1
197411;150.3;1
197412;42.7;1
197501;90.9;1
197502;28.8;1
197503;176.7;1
197504;74.3;1
197505;179.5;1
197506;84.3;1
197507;13.6;1
197508;52.1;1
197509;138;1
197510;41.2;1
