# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 64549001
# NOM_USUEL= PAU-UZEIN
# LATITUDE (°) = 43.385
# LONGITUDE(°)= -0.416
# ALTITUDE (m) = 183
# NUM_SERIE= MRR264549001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 200809
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;175;1
195502;89.3;1
195503;17.9;1
195504;28.9;1
195505;56.4;1
195506;136.6;1
195507;67;1
195508;37.7;1
195509;86.3;1
195510;87.7;1
195511;64;1
195512;128;1
195601;173.2;1
195602;35.4;1
195603;35.7;1
195604;120.4;1
195605;83.7;1
195606;52.7;1
195607;32.6;1
195608;115.3;1
195609;57.6;1
195610;67.9;1
195611;84.8;1
195612;52.9;1
195701;46.5;1
195702;83.6;1
195703;62.5;1
195704;181.7;1
195705;160.6;1
195706;224.3;1
195707;49.8;1
195708;45.9;1
195709;78.7;1
195710;26.8;1
195711;87;1
195712;78.4;1
195801;135.7;1
195802;32.5;1
195803;268.2;1
195804;104.4;1
195805;149.5;1
195806;110.3;1
195807;80.7;1
195808;77;1
195809;75.4;1
195810;79.9;1
195811;70.8;1
195812;175.9;1
195901;111.9;1
195902;8.5;1
195903;127.8;1
195904;144.6;1
195905;88.1;1
195906;97.9;1
195907;98.1;1
195908;123.7;1
195909;233.7;1
195910;122.2;1
195911;97.2;1
195912;205.9;1
196001;86.6;1
196002;42.9;1
196003;132.7;1
196004;28.4;1
196005;65;1
196006;86.4;1
196007;115.7;1
196008;72;1
196009;104.5;1
196010;225.7;1
196011;185.9;1
196012;218.2;1
196101;206.4;1
196102;71.7;1
196103;0.2;1
196104;158.4;1
196105;125.6;1
196106;56.9;1
196107;104.4;1
196108;71.3;1
196109;92.1;1
196110;111.6;1
196111;173.2;1
196112;60.3;1
196201;98.4;1
196202;97.6;1
196203;94.4;1
196204;98.7;1
196205;97.6;1
196206;20.7;1
196207;45.1;1
196208;20.4;1
196209;47.5;1
196210;52.8;1
196211;162.5;1
196212;167.5;1
196301;95.7;1
196302;160.4;1
196303;136.2;1
196304;82.7;1
196305;63;1
196306;143.8;1
196307;46.5;1
196308;208.3;1
196309;124.3;1
196310;54.5;1
196311;92.8;1
196312;57.4;1
196401;15.3;1
196402;82.8;1
196403;97.9;1
196404;83;1
196405;74.9;1
196406;26.6;1
196407;22.1;1
196408;46;1
196409;72.9;1
196410;193.5;1
196411;82.8;1
196412;81.7;1
196501;148.2;1
196502;32;1
196503;126.4;1
196504;116.8;1
196505;102.1;1
196506;50.2;1
196507;57.7;1
196508;77.9;1
196509;175.5;1
196510;72.5;1
196511;143.6;1
196512;291.3;1
196601;89.8;1
196602;165.5;1
196603;51.9;1
196604;135.8;1
196605;105.7;1
196606;77.6;1
196607;60.5;1
196608;33;1
196609;44.2;1
196610;119.8;1
196611;105.4;1
196612;259.8;1
196701;90.5;1
196702;36.8;1
196703;76.7;1
196704;32.9;1
196705;69.7;1
196706;92.1;1
196707;10.1;1
196708;80.9;1
196709;72.4;1
196710;82.8;1
196711;174.5;1
196712;126.5;1
196801;139.1;1
196802;59.5;1
196803;35.1;1
196804;124.6;1
196805;144.2;1
196806;55.4;1
196807;63.2;1
196808;110.9;1
196809;166.1;1
196810;71.3;1
196811;41.2;1
196812;211.8;1
196901;66.7;1
196902;81.6;1
196903;133.8;1
196904;158.6;1
196905;95.2;1
196906;94.2;1
196907;30.4;1
196908;72.1;1
196909;127.2;1
196910;10.3;1
196911;40.5;1
196912;191.8;1
197001;116.5;1
197002;123.1;1
197003;65;1
197004;107.2;1
197005;78.1;1
197006;185;1
197007;27.8;1
197008;50.1;1
197009;20.9;1
197010;52.2;1
197011;91.6;1
197012;26.5;1
197101;146.4;1
197102;151.4;1
197103;134.9;1
197104;156.2;1
197105;146.3;1
197106;118.6;1
197107;68.5;1
197108;101.9;1
197109;75.5;1
197110;25.2;1
197111;192.8;1
197112;55.9;1
197201;174.1;1
197202;158.6;1
197203;77.8;1
197204;138.6;1
197205;122.5;1
197206;100.7;1
197207;36;1
197208;136.6;1
197209;65.8;1
197210;59.1;1
197211;66;1
197212;136.3;1
197301;91.1;1
197302;173;1
197303;51.3;1
197304;43.2;1
197305;84.8;1
197306;93.7;1
197307;134.9;1
197308;18.6;1
197309;128.3;1
197310;38;1
197311;79.5;1
197312;124.3;1
197401;62.1;1
197402;145.1;1
197403;169.6;1
197404;118.6;1
197405;114.2;1
197406;56.3;1
197407;65.9;1
197408;55;1
197409;167.3;1
197410;204.8;1
197411;158.7;1
197412;48.2;1
197501;99.2;1
197502;32.3;1
197503;189.6;1
197504;86.2;1
197505;190;1
197506;74.4;1
197507;16.4;1
197508;67.3;1
197509;109.2;1
