# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 65258001
# NOM_USUEL= LANNEMEZAN
# LATITUDE (°) = 43.114
# LONGITUDE(°)= 0.413
# ALTITUDE (m) = 638
# NUM_SERIE= MRR265258001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 197010
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;90.2;1
195302;81.9;1
195303;8.2;1
195304;97.5;1
195305;39;1
195306;129.4;1
195307;83.6;1
195308;67;1
195309;72.4;1
195310;76.5;1
195311;29.2;1
195312;36.6;1
195401;101.2;1
195402;101.9;1
195403;98;1
195404;81.8;1
195405;173.3;1
195406;114.6;1
195407;47.6;1
195408;150.7;1
195409;98.2;1
195410;89.8;1
195411;100.6;1
195412;123.3;1
195501;182.8;1
195502;71;1
195503;19.4;1
195504;15.6;1
195505;91;1
195506;92.9;1
195507;83.3;1
195508;28.9;1
195509;151.9;1
195510;94.2;1
195511;50.5;1
195512;107.4;1
195601;165.4;1
195602;44.1;1
195603;28.1;1
195604;166.6;1
195605;204.3;1
195606;96.7;1
195607;80.6;1
195608;83.8;1
195609;53.5;1
195610;76.5;1
195611;117.3;1
195612;49;1
195701;65.1;1
195702;59.6;1
195703;53.2;1
195704;198.8;1
195705;156.7;1
195706;228.5;1
195707;57.7;1
195708;84.8;1
195709;84.6;1
195710;40.1;1
195711;92.8;1
195712;36.8;1
195801;118.1;1
195802;32.4;1
195803;207.3;1
195804;102.7;1
195805;111.1;1
195806;99.5;1
195807;110.5;1
195808;40.1;1
195809;86.3;1
195810;85.8;1
195811;116;1
195812;177.3;1
195901;60.5;1
195902;9.1;1
195903;113.5;1
195904;166.2;1
195905;153.4;1
195906;147.6;1
195907;36.6;1
195908;138.1;1
195909;126.6;1
195910;119.2;1
195911;71.1;1
195912;236.7;1
196001;58;1
196002;44.6;1
196003;130;1
196004;56.7;1
196005;67.3;1
196006;80.1;1
196007;94.9;1
196008;54.2;1
196009;93.1;1
196010;132.3;1
196011;105;1
196012;180.9;1
196101;146.9;1
196102;64.5;1
196103;10.7;1
196104;159.1;1
196105;113.1;1
196106;69.5;1
196107;94.9;1
196108;68.4;1
196109;82.1;1
196110;133.3;1
196111;89.3;1
196112;57.6;1
196201;103.4;1
196202;103.3;1
196203;103;1
196204;132.7;1
196205;164.5;1
196206;33.2;1
196207;47.7;1
196208;26.1;1
196209;81.6;1
196210;98.3;1
196211;111.7;1
196212;102.3;1
196301;63;1
196302;95.1;1
196303;131.3;1
196304;66.4;1
196305;85.4;1
196306;149.9;1
196307;90.3;1
196308;197.2;1
196309;90.4;1
196310;39;1
196311;90.7;1
196312;103.2;1
196401;28.8;1
196402;71.7;1
196403;142.7;1
196404;68;1
196405;79.2;1
196406;48;1
196407;43.1;1
196408;73.4;1
196409;77.6;1
196410;149.4;1
196411;48.4;1
196412;104.1;1
196501;123.1;1
196502;33.6;1
196503;78.6;1
196504;134.6;1
196505;131.2;1
196506;58.8;1
196507;55.1;1
196508;49.9;1
196509;143.2;1
196510;51.8;1
196511;106.3;1
196512;228.2;1
196601;75;1
196602;115.6;1
196603;63;1
196604;105.7;1
196605;162.6;1
196606;95.6;1
196607;92.2;1
196608;45.4;1
196609;33.4;1
196610;185.3;1
196611;153.4;1
196612;227.4;1
196701;76.4;1
196702;4;1
196703;76.5;1
196704;36.3;1
196705;66.1;1
196706;98.2;1
196707;53;1
196708;65.8;1
196709;89.5;1
196710;66.1;1
196711;138.3;1
196712;103.5;1
196801;176.1;1
196802;57.6;1
196803;32.6;1
196804;86;1
196805;173.8;1
196806;106.2;1
196807;77.9;1
196808;92.1;1
196809;109;1
196810;27.8;1
196811;120.5;1
196812;108.5;1
196901;55.7;1
196902;61.3;1
196903;118.7;1
196904;121;1
196905;84.4;1
196906;103.1;1
196907;85.1;1
196908;63.6;1
196909;122.6;1
196910;13.8;1
196911;38;1
196912;242.3;1
197001;83;1
197002;79.9;1
197003;105.2;1
197004;88.9;1
197005;120.8;1
197006;187;1
197007;49.3;1
197008;55.5;1
197009;12.3;1
197010;80.3;1
197011;62;1
197012;27.1;1
197101;177.3;1
197102;229.5;1
197103;111;1
197104;141.3;1
197105;169.1;1
197106;142;1
197107;51.3;1
197108;40.9;1
197109;76.4;1
197110;48.4;1
197111;198.5;1
197112;72.3;1
197201;174.7;1
197202;147.8;1
197203;82.1;1
197204;185.8;1
197205;125.1;1
197206;176.9;1
197207;57.1;1
197208;162.6;1
197209;105.1;1
197210;39.7;1
197211;67.6;1
197212;64.2;1
197301;109.6;1
197302;143.5;1
197303;55.6;1
197304;62.2;1
197305;70.1;1
197306;172.9;1
197307;113.5;1
197308;109.9;1
197309;59.2;1
197310;46.5;1
197311;87.2;1
197312;99.8;1
197401;57.7;1
197402;140.8;1
197403;156.3;1
197404;87.8;1
197405;83.9;1
197406;80.6;1
197407;77.2;1
197408;110.4;1
197409;162.9;1
197410;199.6;1
197411;131.8;1
197412;59.1;1
197501;70.7;1
197502;17;1
197503;149.7;1
197504;79.7;1
197505;169.1;1
197506;77.4;1
197507;17.1;1
197508;123.3;1
197509;97.3;1
197510;61.5;1
197511;215.8;1
197512;15.7;1
197601;38.7;1
197602;77.8;1
197603;109.5;1
197604;171.8;1
197605;69.8;1
197606;11;1
197607;57.6;1
197608;139.6;1
197609;100.7;1
197610;188;1
197611;87.5;1
197612;131.6;1
197701;49.4;1
197702;66;1
197703;88.3;1
197704;81.9;1
197705;269.8;1
197706;131.3;1
197707;245.9;1
197708;95.3;1
197709;13.5;1
197710;27.4;1
197711;122.5;1
197712;33.5;1
197801;247.3;1
197802;156.8;1
197803;168.8;1
197804;134.8;1
197805;187.5;1
197806;190.6;1
197807;45.2;1
197808;38.3;1
197809;76.1;1
197810;53.5;1
197811;25.2;1
197812;86.4;1
197901;226.2;1
197902;115.8;1
197903;99.8;1
197904;175.6;1
197905;116;1
197906;55.1;1
197907;16.7;1
197908;103.9;1
197909;100.2;1
197910;165.3;1
197911;103.6;1
197912;125.5;1
198001;95;1
198002;48.3;1
198003;156.5;1
198004;77.3;1
198005;169.2;1
198006;51.6;1
198007;54.6;1
198008;82.2;1
198009;34.6;1
198010;238.5;1
198011;108.1;1
198012;201.6;1
198101;151;1
198102;84.3;1
198103;78.7;1
198104;126.2;1
198105;86.4;1
198106;88.5;1
198107;83.5;1
198108;50.6;1
198109;74.8;1
198110;115.5;1
198111;55.7;1
198112;237.8;1
198201;80.7;1
198202;119.8;1
198203;195.5;1
198204;3.4;1
198205;88;1
198206;40.2;1
198207;81.5;1
198208;140.2;1
198209;59.8;1
198210;214.4;1
198211;94.7;1
198212;218.1;1
198301;22.1;1
198302;94.8;1
198303;115.7;1
198304;56.8;1
198305;51;1
198306;35.4;1
198307;55.2;1
198308;187.4;1
198309;26.6;1
198310;117.7;1
198311;50.4;1
198312;57.6;1
198401;205.9;1
198402;135.5;1
198403;78.9;1
198404;42.7;1
198405;197.1;1
198406;83.6;1
198407;17.3;1
198408;158;1
198409;176.9;1
198410;80.3;1
198411;103;1
198412;94.9;1
198501;51.9;1
198502;73.8;1
198503;113.1;1
198504;65.2;1
198505;176.2;1
198506;91.8;1
198507;47.2;1
198508;49.5;1
198509;7;1
198510;35.7;1
198511;113.5;1
198512;73.9;1
198601;250.9;1
198602;60.3;1
198603;87.5;1
198604;117.9;1
198605;43.7;1
198606;39.4;1
198607;22.5;1
198608;64.7;1
198609;89.4;1
198610;50.4;1
198611;87.6;1
198612;174.1;1
198701;72.7;1
198702;79.1;1
198703;106.2;1
198704;131;1
198705;90.4;1
198706;93.5;1
198707;82.5;1
198708;74;1
198709;12.6;1
198710;82.2;1
198711;112.2;1
198712;23.5;1
198801;244.9;1
198802;112.1;1
198803;155.4;1
198804;163.2;1
198805;159.7;1
198806;155.2;1
198807;38.1;1
198808;96.8;1
198809;81.2;1
198810;16.9;1
198811;25.7;1
198812;68.9;1
198901;28.7;1
198902;85.9;1
198903;123;1
198904;215.6;1
198905;70.3;1
198906;13.4;1
198907;36.1;1
198908;53.3;1
198909;131.9;1
198910;34.8;1
198911;59.1;1
198912;24.5;1
199001;72.1;1
199002;118.7;1
199003;21.2;1
199004;174.7;1
199005;187.4;1
199006;104.8;1
199007;58.5;1
199008;54.1;1
199009;35.4;1
199010;133.1;1
199011;73.8;1
199012;146.5;1
199101;42.4;1
199102;56.7;1
199103;109.5;1
199104;120.6;1
199105;181.3;1
199106;96;1
199107;80.3;1
199108;47.5;1
199109;125.6;1
199110;58.3;1
199111;181.8;1
199112;35.4;1
199201;23.9;1
199202;24.9;1
199203;99.4;1
199204;120.9;1
199205;126.3;1
199206;222.3;1
199207;83.6;1
199208;115.1;1
199209;65.7;1
199210;308.1;1
199211;179.6;1
199212;116.7;1
199301;14.7;1
199302;33.1;1
199303;42.5;1
199304;145;1
199305;108.6;1
199306;81;1
199307;34.9;1
199308;53.6;1
199309;182.9;1
199310;148.4;1
199311;51.2;1
199312;214.2;1
199401;82.3;1
199402;171.4;1
199403;30.3;1
199404;262.1;1
199405;74.5;1
199406;53;1
199407;85.6;1
199408;21.9;1
199409;117.2;1
199410;63.8;1
199411;84.5;1
199412;139.4;1
199501;171.2;1
199502;121.3;1
199503;141.2;1
199504;75.3;1
199505;121.4;1
199506;11.9;1
199507;84.2;1
199508;54.6;1
199509;127.3;1
199510;38.1;1
199511;67.9;1
199512;134.7;1
199601;119;1
199602;175.5;1
199603;75.5;1
199604;104.2;1
199605;117.2;1
199606;64.2;1
199607;162.1;1
199608;103.8;1
199609;57.2;1
199610;91.7;1
199611;270.6;1
199612;92.6;1
199701;98.8;1
199702;47.5;1
199703;19.7;1
199704;43.4;1
199705;83.8;1
199706;121.3;1
199707;116.3;1
199708;139.2;1
199709;28.6;1
199710;36.9;1
199711;124.6;1
199712;179.7;1
199801;87.5;1
199802;28.5;1
199803;106.6;1
199804;190.8;1
199805;62.9;1
199806;61.3;1
199807;48.7;1
199808;39;1
199809;168.6;1
199810;162.3;1
199811;159.2;1
199812;48.9;1
199901;147.7;1
199902;80.4;1
199903;77.9;1
199904;149.4;1
199905;174.7;1
199906;69.1;1
199907;118.8;1
199908;35.6;1
199909;66.1;1
199910;21.2;1
199911;130.4;1
199912;163.7;1
200001;5.4;1
200002;135.9;1
200003;88.1;1
200004;124.7;1
200005;145.9;1
200006;131.1;1
200007;121.1;1
200008;96.4;1
200009;30.4;1
200010;145.5;1
200011;150.6;1
200012;58.6;1
200101;203.4;1
200102;40.6;1
200103;129.3;1
200104;161.2;1
200105;70;1
200106;78.5;1
200107;155.4;1
200108;29;1
200109;35.9;1
200110;45.3;1
200111;83.2;1
200112;25.3;1
200201;55.7;1
200202;143;1
200203;51.9;1
200204;92;1
200205;262.2;1
200206;125.8;1
200207;78.7;1
200208;106.4;1
200209;43.8;1
200210;104.5;1
200211;147.7;1
200212;229.1;1
200301;155.6;1
200302;88.5;1
200303;137.7;1
200304;74.1;1
200305;115.6;1
200306;52;1
200307;27;1
200308;26.1;1
200309;151.3;1
200310;89.5;1
200311;107.7;1
200312;165.7;1
200401;240.1;1
200402;38.6;1
