# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 65304001
# NOM_USUEL= MAUBOURGUET
# LATITUDE (°) = 43.471
# LONGITUDE(°)= 0.043
# ALTITUDE (m) = 176
# NUM_SERIE= MRR265304001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201812
# Date(s) de rupture(s) d'homogénéité : 196405
#     Periode homogénéisée  195001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.8;1
195002;85.1;1
195003;84.3;1
195004;110.5;1
195005;72.4;1
195006;29.2;1
195007;6.8;1
195008;72.9;1
195009;33.2;1
195010;50.6;1
195011;83.3;1
195012;192.6;1
195101;174.7;1
195102;157;1
195103;88.3;1
195104;48.9;1
195105;205.9;1
195106;130.9;1
195107;18.4;1
195108;101.9;1
195109;42.3;1
195110;24.8;1
195111;100.7;1
195112;93.2;1
195201;134.2;1
195202;189.5;1
195203;55.3;1
195204;34.6;1
195205;72.8;1
195206;66.7;1
195207;101.1;1
195208;62.2;1
195209;57.4;1
195210;147.6;1
195211;81.8;1
195212;192.3;1
195301;56.3;1
195302;73.9;1
195303;7.4;1
195304;128.9;1
195305;83.9;1
195306;139;1
195307;20.3;1
195308;52.8;1
195309;60.1;1
195310;49;1
195311;27.7;1
195312;1;1
195401;39.9;1
195402;142;1
195403;127.9;1
195404;64.7;1
195405;104.8;1
195406;67.6;1
195407;26.3;1
195408;95.5;1
195409;76.1;1
195410;58.1;1
195411;56.4;1
195412;100.5;1
195501;157.4;1
195502;68.1;1
195503;9.2;1
195504;5.2;1
195505;52.9;1
195506;128.8;1
195507;112.2;1
195508;12.6;1
195509;84.3;1
195510;61;1
195511;29.2;1
195512;120.6;1
195601;118.5;1
195602;37.8;1
195603;20.5;1
195604;90.4;1
195605;63.7;1
195606;46.9;1
195607;35.9;1
195608;95.5;1
195609;58.8;1
195610;43.4;1
195611;62.7;1
195612;32;1
195701;30.1;1
195702;66.5;1
195703;55;1
195704;152.6;1
195705;73.1;1
195706;172.4;1
195707;32.9;1
195708;37.7;1
195709;60.9;1
195710;16.8;1
195711;80.4;1
195712;35.9;1
195801;96.7;1
195802;18.7;1
195803;142.3;1
195804;71.3;1
195805;107.5;1
195806;100.1;1
195807;58.6;1
195808;31.6;1
195809;46.2;1
195810;42.2;1
195811;33.5;1
195812;133.7;1
195901;65.6;1
195902;3.1;1
195903;83;1
195904;86.5;1
195905;126.1;1
195906;75;1
195907;57.1;1
195908;121;1
195909;119.4;1
195910;86.4;1
195911;85.5;1
195912;148.9;1
196001;88.4;1
196002;31;1
196003;99.1;1
196004;30;1
196005;43;1
196006;85.5;1
196007;104;1
196008;64.9;1
196009;110.6;1
196010;221.7;1
196011;103.7;1
196012;161.2;1
196101;162.1;1
196102;58.4;1
196103;0;1
196104;123;1
196105;81.1;1
196106;32.5;1
196107;85.3;1
196108;47.6;1
196109;62.5;1
196110;56.6;1
196111;102.7;1
196112;42.4;1
196201;92.8;1
196202;43.4;1
196203;68.2;1
196204;85.5;1
196205;113.3;1
196206;17.1;1
196207;17.3;1
196208;25;1
196209;41.7;1
196210;46.1;1
196211;95.8;1
196212;119.1;1
196301;76;1
196302;122.8;1
196303;129.8;1
196304;60.5;1
196305;46.1;1
196306;87.4;1
196307;70;1
196308;143.8;1
196309;113.9;1
196310;40.6;1
196311;84.2;1
196312;47.8;1
196401;11.9;1
196402;90.4;1
196403;74.1;1
196404;51.8;1
196405;65.2;1
196406;23;1
196407;11.9;1
196408;39;1
196409;55.9;1
196410;122.2;1
196411;72.9;1
196412;68.9;1
196501;130.1;1
196502;20.5;1
196503;108.3;1
196504;63.1;1
196505;107.1;1
196506;40.8;1
196507;32.5;1
196508;55.5;1
196509;154.9;1
196510;38.8;1
196511;116.2;1
196512;254.3;1
196601;79.6;1
196602;100.1;1
196603;37.4;1
196604;120.8;1
196605;89.6;1
196606;149.9;1
196607;26.7;1
196608;35.6;1
196609;23.1;1
196610;96.1;1
196611;69;1
196612;192.6;1
196701;60;1
196702;37.5;1
196703;48.4;1
196704;24.2;1
196705;53;1
196706;57.6;1
196707;31.6;1
196708;58.4;1
196709;67;1
196710;55.7;1
196711;130.4;1
196712;83.5;1
196801;111.3;1
196802;54.1;1
196803;21.7;1
196804;65.9;1
196805;148.3;1
196806;57.8;1
196807;36.2;1
196808;67.5;1
196809;86;1
196810;58;1
196811;54.3;1
196812;135.7;1
196901;53.3;1
196902;60.4;1
196903;112;1
196904;116.5;1
196905;79.6;1
196906;39.5;1
196907;43.6;1
196908;41.4;1
196909;75.5;1
196910;10.2;1
196911;30.2;1
196912;131.9;1
197001;101.5;1
197002;90.9;1
197003;58.8;1
197004;73.6;1
197005;70.8;1
197006;154.1;1
197007;58.9;1
197008;32.9;1
197009;14.7;1
197010;48.3;1
197011;81.7;1
197012;13.8;1
197101;118.8;1
197102;128.9;1
197103;96.3;1
197104;97.9;1
197105;161.6;1
197106;82.7;1
197107;67.4;1
197108;101.4;1
197109;73.6;1
197110;22.3;1
197111;146.4;1
197112;51.9;1
197201;113.6;1
197202;87.3;1
197203;70;1
197204;93.6;1
197205;94.4;1
197206;89;1
197207;19.5;1
197208;104;1
197209;55.5;1
197210;41.4;1
197211;29.6;1
197212;57.9;1
197301;90.8;1
197302;120.3;1
197303;30.5;1
197304;40.3;1
197305;57.1;1
197306;114.6;1
197307;94.6;1
197308;20;1
197309;77;1
197310;27;1
197311;47.6;1
197312;77.9;1
197401;44.1;1
197402;95.8;1
197403;112.5;1
197404;88.7;1
197405;66.4;1
197406;45.1;1
197407;92.2;1
197408;35.9;1
197409;82;1
197410;140.3;1
197411;95.7;1
197412;25;1
197501;70.8;1
197502;20.4;1
197503;127.6;1
197504;45.6;1
197505;147.3;1
197506;32.5;1
197507;18.9;1
197508;73.5;1
197509;72.3;1
197510;32.4;1
197511;109.5;1
197512;28.2;1
197601;31.3;1
197602;56.2;1
197603;104.4;1
197604;79.5;1
197605;50;1
197606;11.8;1
197607;41.4;1
197608;94.6;1
197609;84.9;1
197610;138.9;1
197611;54.3;1
197612;160.9;1
197701;59.3;1
197702;88.8;1
197703;45.9;1
197704;79.3;1
197705;143;1
197706;126.9;1
197707;157.9;1
197708;90.4;1
197709;0;1
197710;37.6;1
197711;76.7;1
197712;35.8;1
197801;196.9;1
197802;90.6;1
197803;120.3;1
197804;112;1
197805;114.7;1
197806;86.2;1
197807;68;1
197808;17.5;1
197809;71.6;1
197810;9.9;1
197811;14.1;1
197812;103.4;1
197901;145.1;1
197902;111.2;1
197903;126.9;1
197904;142.2;1
197905;128.9;1
197906;37.7;1
197907;49.7;1
197908;42.6;1
197909;58.2;1
197910;118.3;1
197911;86.6;1
197912;88.5;1
198001;72.4;1
198002;50.5;1
198003;106.9;1
198004;31.3;1
198005;224.4;1
198006;32.5;1
198007;71.2;1
198008;55.7;1
198009;24.4;1
198010;211.2;1
198011;63.8;1
198012;106.2;1
198101;117.2;1
198102;81.3;1
198103;69.9;1
198104;70.2;1
198105;111.9;1
198106;47.4;1
198107;73.2;1
198108;61;1
198109;59.1;1
198110;102.7;1
198111;32.3;1
198112;269.1;1
198201;52.8;1
198202;81.8;1
198203;110.9;1
198204;6.9;1
198205;52.4;1
198206;48.6;1
198207;44.5;1
198208;41.5;1
198209;35.6;1
198210;180.2;1
198211;74.7;1
198212;167.3;1
198301;19.2;1
198302;60.3;1
198303;63.6;1
198304;62.3;1
198305;71.2;1
198306;73.7;1
198307;43.9;1
198308;188.1;1
198309;31.3;1
198310;50.5;1
198311;42;1
198312;62;1
198401;146.7;1
198402;108.8;1
198403;70.1;1
198404;36;1
198405;121.4;1
198406;55.2;1
198407;5.7;1
198408;60.3;1
198409;108.6;1
198410;65.7;1
198411;86.1;1
198412;84.1;1
198501;82.4;1
198502;74.1;1
198503;126;1
198504;60.8;1
198505;125.6;1
198506;86.9;1
198507;25.8;1
198508;42.6;1
198509;7.6;1
