# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 65344001
# NOM_USUEL= TARBES-LOURDES-PYRENEES
# LATITUDE (°) = 43.188
# LONGITUDE(°)= 0
# ALTITUDE (m) = 360
# NUM_SERIE= MRR265344001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 195812 197012
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;56.9;1
195302;57;1
195303;5.4;1
195304;61.9;1
195305;20.4;1
195306;111;1
195307;52.3;1
195308;32.2;1
195309;52.9;1
195310;127;1
195311;35.6;1
195312;22.1;1
195401;76.9;1
195402;123.3;1
195403;100.9;1
195404;76.5;1
195405;214.8;1
195406;83.8;1
195407;30.5;1
195408;102.9;1
195409;78.4;1
195410;72.8;1
195411;66.2;1
195412;137.4;1
195501;172.6;1
195502;57.4;1
195503;16.6;1
195504;21.4;1
195505;51.6;1
195506;109.2;1
195507;75;1
195508;18.2;1
195509;146;1
195510;77.4;1
195511;35.5;1
195512;138.7;1
195601;158.5;1
195602;31;1
195603;46.4;1
195604;158.9;1
195605;109.7;1
195606;60.9;1
195607;46.8;1
195608;105.8;1
195609;46.3;1
195610;52.9;1
195611;105.5;1
195612;44.6;1
195701;45.3;1
195702;76.9;1
195703;37.5;1
195704;174.6;1
195705;158.2;1
195706;190.6;1
195707;39.1;1
195708;47.7;1
195709;87;1
195710;27.5;1
195711;85.8;1
195712;44.5;1
195801;122.6;1
195802;34.6;1
195803;183.9;1
195804;84.5;1
195805;103.5;1
195806;89.8;1
195807;61.4;1
195808;34.3;1
195809;73.7;1
195810;102.8;1
195811;44;1
195812;115.2;1
195901;81.4;1
195902;3.2;1
195903;85.9;1
195904;136.8;1
195905;123.3;1
195906;84.7;1
195907;37;1
195908;86.3;1
195909;191.5;1
195910;98.5;1
195911;66.6;1
195912;194.5;1
196001;57.2;1
196002;50.5;1
196003;158.7;1
196004;59;1
196005;68.7;1
196006;90.9;1
196007;76.8;1
196008;103.8;1
196009;76.3;1
196010;179.5;1
196011;104;1
196012;193.1;1
196101;190.3;1
196102;77.8;1
196103;3.2;1
196104;169.3;1
196105;103.5;1
196106;50.2;1
196107;79.1;1
196108;43;1
196109;47.8;1
196110;71.4;1
196111;102.3;1
196112;39.8;1
196201;100.8;1
196202;76.6;1
196203;94;1
196204;109.9;1
196205;98;1
196206;40.5;1
196207;24.4;1
196208;26.5;1
196209;46.5;1
196210;53.2;1
196211;110.7;1
196212;123.9;1
196301;61.5;1
196302;81.4;1
196303;120.2;1
196304;48.3;1
196305;37.8;1
196306;136.3;1
196307;59.1;1
196308;142.2;1
196309;95.3;1
196310;36.1;1
196311;78.2;1
196312;47;1
196401;18.2;1
196402;85;1
196403;116.9;1
196404;58.7;1
196405;77.9;1
196406;30.9;1
196407;9.5;1
196408;45.3;1
196409;89.5;1
196410;142.3;1
196411;51.8;1
196412;104;1
196501;137.9;1
196502;29;1
196503;106.7;1
196504;94.1;1
196505;93.1;1
196506;35.7;1
196507;47.9;1
196508;56.6;1
196509;133.7;1
196510;43.7;1
196511;156.2;1
196512;308.3;1
196601;95.1;1
196602;163.1;1
196603;36.6;1
196604;135.1;1
196605;168.3;1
196606;103.1;1
196607;107.3;1
196608;28.2;1
196609;58.8;1
196610;135.1;1
196611;115.4;1
196612;234.6;1
196701;72.8;1
196702;9.7;1
196703;57.4;1
196704;38;1
196705;56.2;1
196706;83.1;1
196707;72.1;1
196708;50.2;1
196709;66.5;1
196710;57.9;1
196711;128.4;1
196712;95.2;1
196801;171.2;1
196802;62.7;1
196803;43;1
196804;83;1
196805;158.9;1
196806;91.2;1
196807;71;1
196808;75;1
196809;98.1;1
196810;34.4;1
196811;77;1
196812;132;1
196901;68;1
196902;62;1
196903;115.4;1
196904;120.1;1
196905;69.1;1
196906;56.3;1
196907;43.7;1
196908;37;1
196909;117.9;1
196910;14.5;1
196911;36;1
196912;215.6;1
197001;97.9;1
197002;94.8;1
197003;96.8;1
197004;77.3;1
197005;79.2;1
197006;129.3;1
197007;30.1;1
197008;40.1;1
