# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68062001
# NOM_USUEL= CARSPACH
# LATITUDE (°) = 47.632
# LONGITUDE(°)= 7.213
# ALTITUDE (m) = 332
# NUM_SERIE= MRR268062001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;21;1
195302;42.3;1
195303;2.9;1
195304;35.6;1
195305;37.8;1
195306;136.5;1
195307;94.1;1
195308;34.4;1
195309;111.9;1
195310;24.6;1
195311;12.3;1
195312;14.3;1
195401;42.1;1
195402;38.5;1
195403;29.2;1
195404;72.1;1
195405;52.3;1
195406;55.3;1
195407;40.7;1
195408;151.9;1
195409;118.7;1
195410;47.1;1
195411;65.7;1
195412;126.7;1
195501;138.8;1
195502;101.9;1
195503;58.4;1
195504;24.3;1
195505;95.6;1
195506;106.7;1
195507;107.8;1
195508;71.2;1
195509;90.1;1
195510;36.4;1
195511;13.9;1
195512;126.1;1
195601;72.6;1
195602;3;1
195603;19.2;1
195604;87.4;1
195605;100.1;1
195606;56.3;1
195607;169.3;1
195608;137.1;1
195609;45.1;1
195610;86.6;1
195611;40.9;1
195612;21;1
195701;17.9;1
195702;99;1
195703;37.5;1
195704;25.2;1
195705;42;1
195706;97.6;1
195707;82.9;1
195708;75;1
195709;89.5;1
195710;26.4;1
195711;42.4;1
195712;32.9;1
195801;108.8;1
195802;150;1
195803;28.9;1
195804;46.8;1
195805;80.8;1
195806;146.7;1
195807;70.2;1
195808;97.5;1
195809;50.5;1
195810;50.6;1
195811;52.5;1
195812;78.6;1
195901;117.6;1
195902;1.6;1
195903;67.2;1
195904;109.8;1
195905;16;1
195906;113.2;1
195907;23.4;1
195908;59.6;1
195909;3.3;1
195910;71;1
195911;38.8;1
195912;106.5;1
196001;78.3;1
196002;78.6;1
196003;87.2;1
196004;19.4;1
196005;70.1;1
196006;56.5;1
196007;75.7;1
196008;115.3;1
196009;53.5;1
196010;102.2;1
196011;95;1
196012;50.4;1
196101;90.7;1
196102;71.5;1
196103;10.2;1
196104;85.2;1
196105;70.6;1
196106;72.4;1
196107;85.2;1
196108;83.9;1
196109;36.5;1
196110;77.1;1
196111;43;1
196112;73.2;1
196201;120.8;1
196202;71.8;1
196203;101;1
196204;61.7;1
196205;79;1
196206;37.1;1
196207;37.2;1
196208;37.7;1
196209;56.2;1
196210;15.7;1
196211;24.4;1
196212;98.6;1
196301;25.4;1
196302;48.6;1
196303;79.7;1
196304;53.2;1
196305;46.2;1
196306;100.2;1
196307;47.9;1
196308;185.2;1
196309;42.7;1
196310;29.2;1
196311;185;1
196312;7.1;1
196401;12.1;1
196402;24.3;1
196403;112;1
196404;61.4;1
196405;91.6;1
196406;62.8;1
196407;13.4;1
196408;66.2;1
196409;54.6;1
196410;86.6;1
196411;44.6;1
196412;26.6;1
196501;111.2;1
196502;13.8;1
196503;109.1;1
196504;101.3;1
196505;93.8;1
196506;68.7;1
196507;69.6;1
196508;81.4;1
196509;127.4;1
196510;33.2;1
196511;145;1
196512;151;1
196601;83.1;1
196602;102.1;1
196603;64.4;1
196604;99.9;1
196605;49.2;1
196606;122.3;1
196607;86.1;1
196608;101.6;1
196609;44.3;1
196610;61;1
196611;58.4;1
196612;106.1;1
196701;33.2;1
196702;45.9;1
196703;70.9;1
196704;16.5;1
196705;116.3;1
196706;58.9;1
196707;38.2;1
196708;75.2;1
196709;73.5;1
196710;37.7;1
196711;100;1
196712;89.8;1
196801;86.5;1
196802;71;1
196803;32.4;1
196804;94.9;1
196805;75.9;1
196806;31.5;1
196807;62.1;1
196808;123.6;1
196809;164.1;1
196810;48;1
196811;52.2;1
196812;62.1;1
196901;45;1
196902;68;1
196903;64;1
196904;118.8;1
196905;89;1
196906;111.7;1
196907;100.8;1
196908;107.8;1
196909;18.1;1
196910;1.7;1
196911;97.6;1
196912;68.9;1
197001;80.1;1
197002;200.9;1
197003;57.9;1
197004;103.9;1
197005;81.7;1
197006;95.6;1
197007;54;1
197008;129.2;1
197009;46.6;1
197010;33.5;1
197011;83.1;1
197012;22.6;1
197101;44.8;1
197102;27.1;1
197103;55.8;1
197104;14.9;1
197105;58.6;1
197106;97;1
197107;44.6;1
197108;89.5;1
197109;21.4;1
197110;13;1
197111;87;1
197112;16.1;1
197201;37;1
197202;33.2;1
197203;42.9;1
197204;49.8;1
197205;48;1
197206;117.1;1
197207;81.7;1
197208;28.6;1
197209;16.3;1
197210;9.3;1
197211;161.4;1
197212;51.7;1
197301;30.8;1
197302;32.5;1
197303;14.1;1
197304;83;1
197305;92.6;1
197306;130.8;1
197307;94.1;1
197308;77.7;1
197309;41.7;1
197310;71;1
197311;71.8;1
197312;40;1
197401;25.7;1
197402;55;1
197403;31.8;1
197404;32.2;1
197405;105.3;1
197406;47.2;1
197407;54.2;1
197408;34.5;1
197409;65.6;1
197410;126.5;1
197411;104.5;1
197412;70.3;1
197501;76.8;1
197502;16.6;1
197503;52.3;1
197504;56.3;1
197505;71.2;1
197506;106.5;1
197507;21.3;1
197508;141;1
197509;104;1
197510;26.4;1
197511;101.4;1
197512;17;1
197601;28;1
197602;35;1
197603;11.6;1
197604;50.3;1
197605;44.1;1
197606;20;1
197607;134.6;1
197608;40.2;1
197609;91.8;1
197610;65.9;1
197611;62.8;1
197612;87.9;1
197701;122.9;1
197702;139.9;1
197703;46.5;1
197704;106.6;1
197705;38.2;1
197706;143.9;1
197707;115;1
197708;103.4;1
197709;23.8;1
197710;49.9;1
197711;120.8;1
197712;83.9;1
197801;75.3;1
197802;94.2;1
197803;98.2;1
197804;57.6;1
197805;128.4;1
197806;64.7;1
197807;75.1;1
197808;95;1
197809;38.7;1
197810;31.1;1
197811;10.5;1
197812;118.4;1
197901;77.1;1
197902;102.2;1
197903;93.7;1
197904;81.8;1
197905;76.7;1
197906;60.4;1
197907;41.4;1
197908;111.7;1
197909;33.6;1
197910;67.1;1
197911;96;1
197912;94.8;1
198001;76.7;1
198002;78.2;1
198003;64.2;1
198004;21.3;1
198005;66.3;1
198006;151.1;1
198007;92.1;1
198008;57.2;1
198009;31.6;1
198010;119;1
198011;51.1;1
198012;73.2;1
198101;116.1;1
198102;49.7;1
198103;106.2;1
198104;18.5;1
198105;103.2;1
198106;44.4;1
198107;94.1;1
198108;33.2;1
198109;99.5;1
198110;147.1;1
198111;65.7;1
198112;202.6;1
198201;133;1
198202;19.6;1
198203;96.5;1
198204;20;1
198205;50.9;1
198206;119.5;1
198207;121.4;1
198208;92.7;1
198209;44.7;1
198210;129.4;1
198211;61.3;1
198212;147.4;1
198301;85.7;1
198302;76.2;1
198303;86.8;1
198304;157.2;1
198305;233.5;1
198306;23.2;1
198307;37.7;1
198308;80.3;1
198309;98.4;1
198310;63;1
198311;51.5;1
198312;56.8;1
198401;162.8;1
198402;81.6;1
198403;22.2;1
198404;27.4;1
198405;105.8;1
198406;42.5;1
198407;52.2;1
198408;53;1
198409;148.3;1
198410;65.4;1
198411;71.2;1
198412;46.4;1
198501;62.8;1
198502;33.1;1
198503;46.6;1
198504;77.3;1
198505;115.7;1
198506;76.9;1
198507;66.2;1
198508;43.8;1
198509;77.7;1
198510;12.8;1
198511;72;1
198512;57.5;1
198601;119.1;1
198602;53.5;1
198603;82.6;1
198604;154.6;1
198605;68.6;1
198606;65;1
198607;63.9;1
198608;142.2;1
198609;41;1
198610;89.2;1
198611;44.7;1
198612;93.9;1
198701;33.8;1
198702;43.4;1
198703;57.8;1
198704;44;1
198705;140.2;1
198706;142;1
198707;128.4;1
198708;53.4;1
198709;123.2;1
198710;102.4;1
198711;69.8;1
198712;51.2;1
198801;90.2;1
198802;80.4;1
198803;119.6;1
198804;30.2;1
198805;81.4;1
198806;82.8;1
198807;84.2;1
198808;93;1
198809;83.8;1
198810;118.2;1
198811;24.8;1
198812;99.4;1
198901;14;1
198902;83.6;1
198903;43.8;1
198904;117.2;1
198905;65.8;1
198906;31.6;1
198907;57;1
198908;124.2;1
198909;28.6;1
198910;42.6;1
198911;60.8;1
198912;115.8;1
199001;31.2;1
199002;144.8;1
199003;40.8;1
199004;74.2;1
199005;37.8;1
199006;128.8;1
199007;43.2;1
199008;60.4;1
199009;79.2;1
199010;95;1
199011;108.4;1
199012;76.8;1
199101;52.6;1
199102;18;1
199103;39.4;1
199104;13.2;1
199105;25.2;1
199106;86.2;1
199107;33.6;1
199108;20;1
199109;87.8;1
199110;56.6;1
199111;70.6;1
199112;48;1
199201;21.8;1
199202;44.8;1
199203;71.9;1
199204;120.2;1
199205;65.6;1
199206;97;1
199207;42.6;1
199208;64.8;1
199209;65.8;1
199210;117.6;1
199211;157.4;1
199212;64.6;1
199301;33.6;1
199302;7.6;1
199303;9;1
199304;19.6;1
199305;124.2;1
199306;98;1
199307;84;1
199308;50.8;1
199309;147.4;1
199310;114;1
199311;14.8;1
199312;163.6;1
199401;93.8;1
199402;66.6;1
199403;41.4;1
199404;93;1
199405;154.8;1
199406;20.6;1
199407;49.6;1
199408;52.8;1
199409;83.2;1
199410;61.2;1
199411;19.8;1
199412;106.4;1
199501;124.2;1
199502;82.6;1
199503;88.6;1
199504;30.6;1
199505;184.2;1
199506;56.2;1
199507;31;1
199508;89.2;1
199509;92.8;1
199510;9.4;1
199511;73.8;1
199512;70;1
199601;8;1
199602;30.8;1
199603;11;1
199604;22;1
199605;79.8;1
199606;53;1
199607;107.3;1
199608;51.4;1
199609;25.2;1
