# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68231001
# NOM_USUEL= NEUF-BRISACH
# LATITUDE (°) = 48.026
# LONGITUDE(°)= 7.575
# ALTITUDE (m) = 195
# NUM_SERIE= MRR268231001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 197012 197312 199512
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;18.8;1
195002;41.5;1
195003;5.1;1
195004;47.7;1
195005;114.2;1
195006;122;1
195007;90.4;1
195008;130.6;1
195009;64.4;1
195010;16.5;1
195011;147.6;1
195012;15.3;1
195101;28.5;1
195102;50.3;1
195103;22.9;1
195104;27.2;1
195105;49.1;1
195106;105.8;1
195107;89.3;1
195108;82.9;1
195109;39;1
195110;40.2;1
195111;84.7;1
195112;23.8;1
195201;38.8;1
195202;31;1
195203;117.1;1
195204;35.6;1
195205;29.3;1
195206;29.8;1
195207;7.7;1
195208;48.4;1
195209;98.2;1
195210;84.8;1
195211;75.3;1
195212;49.5;1
195301;7.8;1
195302;22.5;1
195303;6;1
195304;38.8;1
195305;35.9;1
195306;86.3;1
195307;105.6;1
195308;19.2;1
195309;54.1;1
195310;33.7;1
195311;6;1
195312;10.2;1
195401;25.5;1
195402;28.9;1
195403;19.7;1
195404;40.8;1
195405;57.5;1
195406;76.7;1
195407;81.2;1
195408;154.2;1
195409;106.2;1
195410;25.7;1
195411;49.9;1
195412;94;1
195501;80.2;1
195502;31.8;1
195503;51;1
195504;14.4;1
195505;84.1;1
195506;79.6;1
195507;98.5;1
195508;59;1
195509;53.4;1
195510;18.5;1
195511;8.1;1
195512;49.2;1
195601;27.4;1
195602;7.8;1
195603;11.5;1
195604;72;1
195605;80.8;1
195606;60;1
195607;159.8;1
195608;115.6;1
195609;66.9;1
195610;72.5;1
195611;30.6;1
195612;14.4;1
195701;16.5;1
195702;53;1
195703;35.6;1
195704;32.5;1
195705;45;1
195706;123.1;1
195707;99.6;1
195708;76.7;1
195709;39.7;1
195710;13.8;1
195711;39.1;1
195712;14.7;1
195801;55;1
195802;74.2;1
195803;10.1;1
195804;23.5;1
195805;85.8;1
195806;121.4;1
195807;49.2;1
195808;81.6;1
195809;66;1
195810;51.7;1
195811;54;1
195812;50.3;1
195901;72.3;1
195902;2.4;1
195903;74.5;1
195904;77.3;1
195905;38.9;1
195906;68.6;1
195907;11.6;1
195908;59.7;1
195909;22.5;1
195910;63.4;1
195911;28.1;1
195912;30;1
196001;52.2;1
196002;60.4;1
196003;40.7;1
196004;17.2;1
196005;61;1
196006;138.7;1
196007;89.7;1
196008;98.2;1
196009;44.9;1
196010;75.3;1
196011;76.7;1
196012;45.1;1
196101;50.5;1
196102;21.3;1
196103;6.4;1
196104;75;1
196105;84.5;1
196106;76.6;1
196107;53.7;1
196108;62.6;1
196109;38.3;1
196110;52.7;1
196111;33.3;1
196112;33.7;1
196201;57.4;1
196202;29.1;1
196203;60.2;1
196204;28.8;1
196205;57.1;1
196206;29.8;1
196207;30.7;1
196208;60.7;1
196209;58.6;1
196210;11.6;1
196211;20.9;1
196212;26.2;1
196301;24.2;1
196302;21.2;1
196303;52.7;1
196304;37;1
196305;40.7;1
196306;161.6;1
196307;59;1
196308;196.5;1
196309;43.8;1
196310;17.9;1
196311;100.4;1
196312;1.1;1
196401;10.6;1
196402;33.4;1
196403;72.6;1
196404;49.7;1
196405;71.9;1
196406;66.1;1
196407;54.7;1
196408;39.6;1
196409;52.4;1
196410;27.9;1
196411;28.9;1
196412;10.8;1
196501;59.9;1
196502;19;1
196503;60.4;1
196504;58.1;1
196505;147.5;1
196506;86.9;1
196507;89.6;1
196508;57.7;1
196509;117.6;1
196510;19.1;1
196511;72.8;1
196512;55.9;1
196601;44.6;1
196602;47.1;1
196603;53.4;1
196604;62.9;1
196605;54;1
196606;126.5;1
196607;66.5;1
196608;150;1
196609;45.8;1
196610;53.2;1
196611;44.6;1
196612;48.1;1
196701;29.2;1
196702;14.9;1
196703;50.3;1
196704;18;1
196705;95.7;1
196706;82;1
196707;50.8;1
196708;78.9;1
196709;92;1
196710;24.5;1
196711;89.3;1
196712;41;1
196801;67;1
196802;55.4;1
196803;21.3;1
196804;157.8;1
196805;113.7;1
196806;55.8;1
196807;112.4;1
196808;134.3;1
196809;116.6;1
196810;25.2;1
196811;51.1;1
196812;33.2;1
196901;30.6;1
196902;44.4;1
196903;52.5;1
196904;94.5;1
196905;116.5;1
196906;114.7;1
196907;40.5;1
196908;94.4;1
196909;18.9;1
196910;3.9;1
196911;52.7;1
196912;46.9;1
197001;67;1
197002;86.9;1
197003;25.5;1
197004;68.8;1
197005;86.1;1
197006;104;1
197007;76.1;1
197008;59.2;1
197009;59.4;1
197010;34.5;1
197011;73.2;1
197012;26.9;1
197101;10.7;1
197102;19.6;1
197103;35.7;1
197104;17.3;1
197105;61.2;1
197106;96.4;1
197107;52.4;1
197108;100.6;1
197109;24.1;1
197110;14.2;1
197111;47.3;1
197112;14;1
197201;11.9;1
197202;20.8;1
197203;31.6;1
197204;39;1
197205;41.6;1
197206;124.2;1
197207;95.1;1
197208;35.3;1
197209;10.4;1
197210;15.5;1
197211;101.6;1
197212;28.1;1
197301;15.2;1
197302;24.7;1
197303;16.5;1
197304;59.8;1
197305;105;1
197306;103.3;1
197307;59.7;1
197308;134.3;1
197309;17.4;1
197310;47;1
197311;38.9;1
197312;13.7;1
197401;21.1;1
197402;40.4;1
197403;37.1;1
197404;13;1
197405;53.6;1
197406;97.9;1
197407;69.3;1
197408;53.3;1
197409;50.3;1
197410;75.8;1
197411;44.3;1
197412;37.5;1
197501;38.5;1
197502;24.4;1
197503;44.5;1
197504;24.8;1
197505;38.4;1
197506;122.6;1
197507;55.3;1
197508;118.5;1
197509;78.5;1
197510;23.4;1
197511;89;1
197512;19.3;1
197601;36.2;1
197602;22.7;1
197603;6.7;1
197604;36.4;1
197605;43.5;1
197606;16.4;1
197607;76.2;1
197608;24.2;1
197609;99.2;1
197610;53;1
197611;47.8;1
197612;42.9;1
197701;63.4;1
197702;56.2;1
197703;24.8;1
197704;46.9;1
197705;41.8;1
197706;87.8;1
197707;94.7;1
197708;84.5;1
197709;18;1
197710;41.1;1
197711;57.7;1
197712;45.5;1
197801;24.8;1
197802;50.3;1
197803;47.3;1
197804;47.8;1
197805;128.9;1
197806;45.5;1
197807;74.6;1
197808;116.3;1
197809;34.2;1
197810;34.4;1
197811;10.3;1
197812;46.7;1
197901;64.3;1
197902;59.6;1
197903;74.5;1
197904;50.9;1
197905;69.8;1
197906;72;1
197907;34.1;1
197908;126.9;1
197909;27.8;1
197910;50.7;1
197911;37.3;1
197912;45.8;1
198001;38.9;1
198002;27;1
198003;38.6;1
198004;34.5;1
198005;68.4;1
198006;109.1;1
198007;109.1;1
198008;75.3;1
198009;24;1
198010;79.6;1
198011;18.7;1
198012;29.6;1
198101;32.2;1
198102;18.8;1
198103;42.4;1
198104;20.5;1
198105;81.3;1
198106;52.5;1
198107;93.5;1
198108;60.4;1
198109;84.4;1
198110;94.1;1
198111;37.5;1
198112;130;1
198201;56.6;1
198202;11.6;1
198203;49.6;1
198204;15.9;1
198205;66.5;1
198206;110.1;1
198207;116.5;1
198208;98.4;1
198209;32;1
198210;102;1
198211;50.2;1
198212;107.6;1
198301;34.3;1
198302;26.8;1
198303;50.5;1
198304;89.6;1
198305;263.1;1
198306;40.7;1
198307;70.3;1
198308;14.9;1
198309;78.9;1
198310;24.7;1
198311;16.8;1
198312;28.9;1
198401;56;1
198402;26.9;1
198403;19.9;1
198404;21;1
198405;115.2;1
198406;54.9;1
198407;63.3;1
198408;94.9;1
198409;95.3;1
198410;46.3;1
198411;44.5;1
198412;50.1;1
198501;38.6;1
198502;14.1;1
198503;25.8;1
198504;48.9;1
198505;121.8;1
198506;56.7;1
198507;61.1;1
198508;54.3;1
198509;39.3;1
198510;13.8;1
198511;41.6;1
198512;54.1;1
198601;44.5;1
198602;29.2;1
198603;48;1
198604;120.9;1
198605;91;1
198606;72.7;1
198607;69;1
198608;88.8;1
198609;54.5;1
198610;44.9;1
198611;17.4;1
198612;35.1;1
198701;19;1
198702;42.5;1
198703;38.7;1
198704;27.3;1
198705;138.2;1
198706;136;1
198707;85.2;1
198708;80.7;1
198709;118.4;1
198710;89.6;1
198711;40.8;1
198712;41.9;1
198801;33.1;1
198802;62.9;1
198803;74.5;1
198804;24.6;1
