# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68247001
# NOM_USUEL= ODEREN - VALLEE
# LATITUDE (°) = 47.91
# LONGITUDE(°)= 6.97
# ALTITUDE (m) = 457
# NUM_SERIE= MRR268247001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195001 201912
# Date(s) de rupture(s) d'homogénéité : 197109 199512
#     Periode homogénéisée  195001 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;67.5;1
195002;296;1
195003;14.4;1
195004;179.2;1
195005;109.8;1
195006;56.2;1
195007;88.8;1
195008;107.5;1
195009;164.4;1
195010;56.9;1
195011;441.5;1
195012;130.6;1
195101;199.8;1
195102;154.5;1
195103;255.8;1
195104;107.8;1
195105;96.7;1
195106;191.8;1
195107;41.2;1
195108;146.4;1
195109;78.2;1
195110;45.9;1
195111;292.9;1
195112;136.5;1
195201;279.8;1
195202;131.7;1
195203;232.7;1
195204;58.2;1
195205;72.7;1
195206;89.5;1
195207;56.5;1
195208;75.3;1
195209;235.4;1
195210;312.6;1
195211;273.3;1
195212;236.4;1
195301;20.2;1
195302;137.6;1
195303;5.1;1
195304;67;1
195305;75.8;1
195306;157.6;1
195307;139.5;1
195308;52.1;1
195309;96.1;1
195310;23.4;1
195311;14.3;1
195312;33;1
195401;153.2;1
195402;87.4;1
195403;65.8;1
195404;110.6;1
195405;49.5;1
195406;49.6;1
195407;68.8;1
195408;250.2;1
195409;243.7;1
195410;107.7;1
195411;89.5;1
195412;302.8;1
195501;322.3;1
195502;227;1
195503;86.7;1
195504;14.1;1
195505;152.8;1
195506;180.1;1
195507;147.7;1
195508;58.4;1
195509;122.8;1
195510;81.9;1
195511;23.3;1
195512;331.2;1
195601;176.3;1
195602;37.2;1
195603;143.4;1
195604;117.3;1
195605;84.8;1
195606;83.1;1
195607;223.2;1
195608;215.5;1
195609;114.1;1
195610;198;1
195611;159.9;1
195612;55.2;1
195701;77.3;1
195702;346.4;1
195703;73.7;1
195704;59.1;1
195705;43.4;1
195706;152.7;1
195707;193.9;1
195708;111;1
195709;172.9;1
195710;25.4;1
195711;35.2;1
195712;109.4;1
195801;261;1
195802;399.7;1
195803;83.9;1
195804;82.2;1
195805;133.3;1
195806;155;1
195807;86.1;1
195808;127.1;1
195809;76.5;1
195810;123.2;1
195811;56.1;1
195812;211.3;1
195901;367.1;1
195902;14;1
195903;80.1;1
195904;151.8;1
195905;51.6;1
195906;116.5;1
195907;43.1;1
195908;59.3;1
195909;27.6;1
195910;46;1
195911;62.4;1
195912;217.5;1
196001;153.5;1
196002;202.8;1
196003;80.6;1
196004;26.5;1
196005;76.5;1
196006;131.7;1
196007;126.4;1
196008;198;1
196009;105;1
196010;181.7;1
196011;190.4;1
196012;89.1;1
196101;237.3;1
196102;180.2;1
196103;75.8;1
196104;76.8;1
196105;71;1
196106;80.4;1
196107;150.7;1
196108;84.9;1
196109;65.5;1
196110;122.7;1
196111;121.7;1
196112;275.3;1
196201;263.2;1
196202;173;1
196203;207.6;1
196204;194.2;1
196205;139.9;1
196206;7;1
196207;55.2;1
196208;73.4;1
196209;137.9;1
196210;19.6;1
196211;58.9;1
196212;235.2;1
196301;44.7;1
196302;67;1
196303;159.7;1
196304;68.4;1
196305;48.8;1
196306;152.4;1
196307;52.4;1
196308;300.6;1
196309;66.7;1
196310;81.9;1
196311;390;1
196312;9.9;1
196401;36.5;1
196402;46.6;1
196403;105.1;1
196404;80.9;1
196405;101.4;1
196406;69.2;1
196407;23.8;1
196408;83.2;1
196409;118;1
196410;180.3;1
196411;175.3;1
196412;66.9;1
196501;231.1;1
196502;43.3;1
196503;249.5;1
196504;143.2;1
196505;209.2;1
196506;62.6;1
196507;130;1
196508;50.5;1
196509;175.8;1
196510;20.6;1
196511;299.8;1
196512;389.3;1
196601;244.8;1
196602;176.9;1
196603;172.6;1
196604;111.6;1
196605;135;1
196606;81;1
196607;95.4;1
196608;168.9;1
196609;108.3;1
196610;83.3;1
196611;147.7;1
196612;422.9;1
196701;162;1
196702;143.1;1
196703;139.7;1
196704;74.2;1
196705;187.4;1
196706;39.3;1
196707;23.5;1
196708;116.6;1
196709;115.2;1
196710;164.3;1
196711;166.6;1
196712;165.1;1
196801;278.7;1
196802;116.1;1
196803;132.8;1
196804;150.9;1
196805;81.5;1
196806;80.2;1
196807;91.1;1
196808;208.6;1
196809;212.8;1
