# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68297001
# NOM_USUEL= BALE-MULHOUSE
# LATITUDE (°) = 47.614
# LONGITUDE(°)= 7.51
# ALTITUDE (m) = 263
# NUM_SERIE= MRR268297001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 199407
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;27.5;1
195002;69.3;1
195003;3.4;1
195004;89.4;1
195005;102.8;1
195006;65.2;1
195007;46;1
195008;169.9;1
195009;103.1;1
195010;22.7;1
195011;235.1;1
195012;38.4;1
195101;30.5;1
195102;63.2;1
195103;67.1;1
195104;55.4;1
195105;86.4;1
195106;129.8;1
195107;115.3;1
195108;123.5;1
195109;61.4;1
195110;48;1
195111;95;1
195112;45.9;1
195201;70.3;1
195202;56.4;1
195203;103.2;1
195204;85.6;1
195205;55.3;1
195206;51.2;1
195207;33.2;1
195208;73.1;1
195209;101.8;1
195210;115.9;1
195211;114.9;1
195212;107.6;1
195301;19.3;1
195302;22;1
195303;10.4;1
195304;35.6;1
195305;22.1;1
195306;128;1
195307;93.1;1
195308;16.6;1
195309;104.7;1
195310;23.5;1
195311;11.1;1
195312;21;1
195401;51;1
195402;39.9;1
195403;23.6;1
195404;56.8;1
195405;52.7;1
195406;74.7;1
195407;58.9;1
195408;168.1;1
195409;103.2;1
195410;33.4;1
195411;52.1;1
195412;83.1;1
195501;88.9;1
195502;85.8;1
195503;43.1;1
195504;12.3;1
195505;62.1;1
195506;79.2;1
195507;96.6;1
195508;107.8;1
195509;66.5;1
195510;25.5;1
195511;12.2;1
195512;92.5;1
195601;48;1
195602;10.7;1
195603;10.8;1
195604;77.6;1
195605;72.5;1
195606;41.7;1
195607;168.5;1
195608;127.2;1
195609;49;1
195610;70.2;1
195611;31.8;1
195612;19.7;1
195701;19.6;1
195702;90.2;1
195703;32.3;1
195704;19.1;1
195705;37.2;1
195706;92;1
195707;92.3;1
195708;90.2;1
195709;41.7;1
195710;23.9;1
195711;34.5;1
195712;32.3;1
195801;58.4;1
195802;87.9;1
195803;26.4;1
195804;44.9;1
195805;95.2;1
195806;87.9;1
195807;73.7;1
195808;92.8;1
195809;42.4;1
195810;53.9;1
195811;49.9;1
195812;76.6;1
195901;110.4;1
195902;2.3;1
195903;83;1
195904;111;1
195905;27;1
195906;114.4;1
195907;31.7;1
195908;56.9;1
195909;6.3;1
195910;76.2;1
195911;39.6;1
195912;69.1;1
196001;54.4;1
196002;60.9;1
196003;68.3;1
196004;28.7;1
196005;64.6;1
196006;87.1;1
196007;81.1;1
196008;141.4;1
196009;66.9;1
196010;84.9;1
196011;67.9;1
196012;40.4;1
196101;64.6;1
196102;38.4;1
196103;14.1;1
196104;92.8;1
196105;57.3;1
196106;54.7;1
196107;81.7;1
196108;92.5;1
196109;45.9;1
196110;78.4;1
196111;31.2;1
196112;61.1;1
196201;99.8;1
196202;49.9;1
196203;94.3;1
196204;48.4;1
196205;83.4;1
196206;28.2;1
196207;42.4;1
196208;50;1
196209;48.7;1
196210;9.2;1
196211;22.1;1
196212;61.6;1
196301;37.4;1
196302;52.8;1
196303;57.6;1
196304;52;1
196305;33.6;1
196306;68.9;1
196307;39.8;1
196308;166.3;1
196309;26.9;1
196310;22.6;1
196311;132.6;1
196312;7.7;1
196401;4.8;1
196402;24.9;1
196403;92.7;1
196404;61;1
196405;106.9;1
196406;71.9;1
196407;7.8;1
196408;119.2;1
196409;46.7;1
196410;48.7;1
196411;44.7;1
196412;27;1
196501;92.7;1
196502;20.5;1
196503;86.9;1
196504;77;1
196505;118.3;1
196506;96.4;1
196507;77.5;1
196508;107.1;1
196509;122.3;1
196510;22.4;1
196511;109.2;1
196512;100.3;1
196601;63.1;1
196602;70.2;1
196603;55.7;1
196604;89.4;1
196605;60.7;1
196606;39.6;1
196607;102.9;1
196608;143.8;1
196609;33.5;1
196610;72.8;1
196611;49.9;1
196612;74.4;1
196701;27.1;1
196702;35;1
196703;62;1
196704;16.8;1
196705;120.1;1
196706;59.3;1
196707;37.8;1
196708;67;1
196709;82.7;1
196710;25.8;1
196711;81.2;1
196712;69.1;1
196801;90.5;1
196802;72.1;1
196803;31.2;1
196804;77.8;1
196805;110.2;1
196806;40.8;1
196807;67.2;1
196808;112.8;1
196809;145.3;1
196810;35.6;1
196811;42.4;1
196812;38.7;1
196901;42.2;1
196902;76.2;1
196903;59.5;1
196904;80.8;1
196905;91.1;1
196906;127.1;1
196907;58.3;1
196908;143.1;1
196909;36.8;1
196910;2.2;1
196911;91.7;1
196912;60.1;1
197001;75.8;1
197002;170.5;1
197003;41;1
197004;95.3;1
197005;66.3;1
197006;96.3;1
197007;57.4;1
197008;111.2;1
197009;46.1;1
197010;41.8;1
197011;70.8;1
197012;20.3;1
197101;33.6;1
197102;33.4;1
197103;52.3;1
197104;11.2;1
197105;79.3;1
197106;143.4;1
197107;45.7;1
197108;106.4;1
197109;20;1
197110;15.2;1
197111;63.5;1
197112;38.1;1
197201;18.5;1
197202;23.3;1
197203;35.7;1
197204;52.4;1
197205;44;1
197206;101.8;1
197207;64.6;1
197208;54.6;1
197209;9.9;1
197210;19.9;1
197211;150.7;1
197212;48.1;1
197301;25.8;1
197302;38.1;1
197303;21.6;1
197304;77.4;1
197305;87.1;1
197306;141.4;1
197307;117.9;1
197308;74.4;1
197309;23.3;1
197310;75;1
197311;55.5;1
197312;44.9;1
197401;45.4;1
197402;49.8;1
197403;37.3;1
197404;26.7;1
197405;99.3;1
197406;56.8;1
197407;44.9;1
197408;44.3;1
197409;58.7;1
197410;115.6;1
