# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 69029001
# NOM_USUEL= LYON-BRON
# LATITUDE (°) = 45.721
# LONGITUDE(°)= 4.949
# ALTITUDE (m) = 202
# NUM_SERIE= MRR269029001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;55;1
195002;88;1
195003;29.4;1
195004;70.8;1
195005;82.4;1
195006;60.8;1
195007;32.3;1
195008;89.5;1
195009;66.1;1
195010;29.4;1
195011;182.8;1
195012;38.4;1
195101;43;1
195102;81.6;1
195103;86;1
195104;23.5;1
195105;103.1;1
195106;135;1
195107;67.9;1
195108;142.2;1
195109;52.5;1
195110;65.4;1
195111;131.4;1
195112;29.7;1
195201;50.6;1
195202;45.4;1
195203;61.9;1
195204;39.7;1
195205;39.6;1
195206;63.9;1
195207;15.5;1
195208;76.4;1
195209;50.8;1
195210;102.6;1
195211;117.8;1
195212;52.1;1
195301;9.7;1
195302;10.8;1
195303;0.7;1
195304;70.6;1
195305;20.3;1
195306;151.6;1
195307;57.9;1
195308;59.4;1
195309;100.7;1
195310;85.6;1
195311;14.7;1
195312;33.7;1
195401;45.5;1
195402;36.9;1
195403;44.9;1
195404;27.2;1
195405;62.8;1
195406;39.1;1
195407;27.3;1
195408;225.5;1
195409;90.4;1
195410;53.9;1
195411;72.8;1
195412;127.6;1
195501;106.5;1
195502;89.9;1
195503;26.7;1
195504;2.4;1
195505;68.3;1
195506;141.2;1
195507;53.6;1
195508;110.7;1
195509;16.3;1
195510;47.1;1
195511;78.7;1
195512;71.2;1
195601;73.7;1
195602;9.7;1
195603;55.7;1
195604;75.4;1
195605;89.8;1
195606;58.3;1
195607;94.1;1
195608;149.4;1
195609;172.8;1
195610;91.5;1
195611;14.6;1
195612;30.3;1
195701;34.4;1
195702;81.5;1
195703;19.7;1
195704;56.1;1
