# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 75110001
# NOM_USUEL= LARIBOISIERE
# LATITUDE (°) = 48.883
# LONGITUDE(°)= 2.352
# ALTITUDE (m) = 55
# NUM_SERIE= MRR275110001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 194701 201612
# Date(s) de rupture(s) d'homogénéité : 195412 196212
#     Periode homogénéisée  194701 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;37.3;1
194702;42.1;1
194703;68.5;1
194704;29.9;1
194705;44.1;1
194706;43.1;1
194707;35.5;1
194708;60;1
194709;12.2;1
194710;21.8;1
194711;52.8;1
194712;68.1;1
194801;70.6;1
194802;39.6;1
194803;19;1
194804;72.8;1
194805;54.6;1
194806;65.1;1
194807;43.3;1
194808;89.7;1
194809;43.5;1
194810;14.5;1
194811;49.7;1
194812;42.5;1
194901;23.8;1
194902;13.7;1
194903;21.6;1
194904;21.2;1
194905;33.4;1
194906;23.5;1
194907;6.3;1
194908;41.9;1
194909;68.2;1
194910;54.4;1
194911;48.6;1
194912;25.9;1
195001;35.3;1
195002;58.6;1
195003;19.5;1
195004;64.8;1
195005;55;1
195006;19.8;1
195007;94.9;1
195008;48.9;1
195009;99.5;1
195010;12.7;1
195011;53.8;1
195012;78.3;1
195101;39;1
195102;58.5;1
195103;55.9;1
195104;44;1
195105;88.5;1
195106;85.8;1
195107;30.3;1
195108;124.4;1
195109;40;1
195110;23.8;1
195111;60.2;1
195112;36.3;1
195201;51.4;1
195202;41;1
195203;78.5;1
195204;7.3;1
195205;30.6;1
195206;43.1;1
195207;20.4;1
195208;68.9;1
195209;100.4;1
195210;55.7;1
195211;85.7;1
195212;80.6;1
195301;15;1
195302;25.1;1
195303;0;1
195304;49.3;1
195305;26.6;1
195306;64.6;1
195307;49.9;1
195308;48.9;1
195309;33.3;1
195310;16.7;1
195311;16;1
195312;9.6;1
195401;21.7;1
195402;23.7;1
195403;26.7;1
195404;2.4;1
195405;15.1;1
195406;74.4;1
195407;29.7;1
195408;65.2;1
195409;71.8;1
195410;29.1;1
195411;25.1;1
195412;36.1;1
195501;75.7;1
195502;66.5;1
195503;32.5;1
195504;8.3;1
195505;41.9;1
195506;60.9;1
195507;91.2;1
195508;16.1;1
195509;7.8;1
195510;46.9;1
195511;20.3;1
195512;42.5;1
195601;45.4;1
195602;8.9;1
195603;1.4;1
195604;46;1
195605;28.4;1
195606;47.8;1
195607;30.9;1
195608;72.5;1
195609;44.2;1
195610;62.4;1
195611;33.9;1
195612;33.1;1
195701;18.9;1
195702;78.9;1
195703;23.9;1
195704;14.2;1
195705;18.9;1
195706;58.4;1
195707;63.8;1
195708;28.9;1
195709;86;1
195710;30.8;1
195711;28.1;1
195712;38.2;1
195801;76.5;1
195802;84.7;1
195803;20.5;1
195804;55.7;1
195805;78.7;1
195806;112.5;1
195807;72.3;1
195808;61;1
195809;34.2;1
195810;47.5;1
195811;47.2;1
195812;60.9;1
195901;88.7;1
195902;0;1
195903;41.7;1
195904;58.3;1
195905;26.4;1
195906;32.5;1
195907;9.2;1
195908;27.1;1
195909;3.3;1
195910;47.2;1
195911;41.4;1
195912;80.7;1
196001;41.3;1
196002;30.1;1
196003;44.6;1
196004;11.6;1
196005;35.6;1
196006;103.8;1
196007;54.3;1
196008;74.4;1
196009;70.9;1
196010;116.5;1
196011;60.7;1
196012;54.4;1
