# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 79191005
# NOM_USUEL= NIORT
# LATITUDE (°) = 46.316
# LONGITUDE(°)= -0.4
# ALTITUDE (m) = 57
# NUM_SERIE= MRR279191005
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.7;1
195002;128.9;1
195003;41.6;1
195004;65.8;1
195005;43.8;1
195006;43.6;1
195007;44.8;1
195008;55.5;1
195009;82.4;1
195010;64.6;1
195011;143.6;1
195012;138.6;1
195101;60.2;1
195102;106;1
195103;88.3;1
195104;87.7;1
195105;126.3;1
195106;66.9;1
195107;50.7;1
195108;88.9;1
195109;61.9;1
195110;69.7;1
195111;112.3;1
195112;110.6;1
195201;100;1
195202;32.8;1
195203;58.5;1
195204;53.5;1
195205;50.5;1
195206;16.6;1
195207;25;1
195208;75.6;1
195209;126.2;1
195210;121.4;1
195211;140.7;1
195212;152.8;1
195301;16.9;1
195302;48.7;1
195303;0.5;1
195304;88;1
195305;8.1;1
195306;105.3;1
195307;104.1;1
195308;38.1;1
195309;132.4;1
195310;121.2;1
195311;28.8;1
195312;6.8;1
195401;64.7;1
195402;80.3;1
195403;131.9;1
195404;4.5;1
195405;29.1;1
195406;85.3;1
195407;50.8;1
195408;77.3;1
195409;53.7;1
195410;38.2;1
195411;83.3;1
195412;78.4;1
195501;174.2;1
195502;152.3;1
195503;48.7;1
195504;0;1
195505;47.8;1
195506;115;1
195507;19.8;1
195508;6.9;1
195509;17.7;1
195510;43.6;1
195511;27.7;1
195512;151.3;1
195601;90.8;1
195602;2;1
195603;23.2;1
195604;47.5;1
195605;30.9;1
195606;23.9;1
195607;43;1
195608;112.6;1
195609;127.3;1
195610;25.8;1
195611;22.9;1
195612;50.4;1
195701;37.1;1
195702;153.3;1
195703;47.2;1
195704;48.6;1
195705;26.8;1
195706;52.2;1
195707;46;1
195708;33.9;1
195709;53.4;1
195710;24.6;1
195711;98.2;1
195712;78.7;1
195801;144.2;1
195802;55.4;1
195803;90.3;1
195804;46;1
195805;119.9;1
195806;102.4;1
195807;73.4;1
195808;86.6;1
195809;41.6;1
195810;57.2;1
195811;54.3;1
195812;138.1;1
195901;86.6;1
195902;9.5;1
195903;47.2;1
195904;91.3;1
195905;37.9;1
195906;32.4;1
195907;18.5;1
195908;51.7;1
195909;19.4;1
195910;94.5;1
195911;80.5;1
195912;184.6;1
196001;78;1
196002;65.8;1
196003;67.1;1
196004;31.4;1
196005;69.8;1
196006;31.6;1
196007;61.4;1
196008;54.8;1
196009;112.6;1
196010;194.4;1
196011;150.1;1
196012;137.5;1
196101;181.4;1
196102;41.8;1
196103;1.4;1
196104;67.5;1
196105;58.2;1
196106;43.8;1
196107;76.3;1
196108;11.2;1
196109;32.8;1
196110;102.2;1
196111;124.6;1
196112;129.1;1
196201;136.3;1
196202;31.2;1
196203;119.5;1
196204;49.2;1
196205;55.4;1
196206;19.6;1
196207;41.5;1
196208;19.7;1
