# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80379002
# NOM_USUEL= AMIENS-GLISY
# LATITUDE (°) = 49.872
# LONGITUDE(°)= 2.383
# ALTITUDE (m) = 60
# NUM_SERIE= MRR280379002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 198612 199412 200312
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;62.1;1
195502;65.1;1
195503;9.6;1
195504;17.9;1
195505;87.7;1
195506;54.1;1
195507;36.3;1
195508;34.3;1
195509;54.3;1
195510;28.6;1
195511;11.1;1
195512;66.6;1
195601;61.2;1
195602;10.4;1
195603;12;1
195604;36.2;1
195605;14.1;1
195606;69.3;1
195607;54.2;1
195608;74.1;1
195609;57.1;1
195610;43.9;1
195611;35.9;1
195612;24.6;1
195701;18;1
195702;116;1
195703;16.7;1
195704;24;1
195705;18.5;1
195706;44.8;1
195707;69.5;1
195708;55.1;1
195709;102.5;1
195710;12.2;1
195711;29.2;1
195712;50.3;1
195801;58.2;1
195802;92.9;1
195803;27.9;1
195804;62.5;1
195805;73.7;1
195806;107.3;1
195807;45;1
195808;98;1
195809;72.7;1
195810;39.6;1
195811;39.6;1
195812;58.3;1
195901;66.8;1
195902;1.3;1
195903;42.8;1
195904;43.3;1
195905;10.3;1
195906;37.3;1
195907;32.6;1
195908;26.5;1
195909;10.7;1
195910;53.6;1
195911;32.3;1
195912;69.6;1
196001;29.2;1
196002;30.7;1
196003;70.8;1
196004;11.5;1
196005;38.2;1
196006;50.2;1
196007;56.3;1
196008;72.8;1
196009;45.4;1
196010;114.7;1
196011;70.9;1
196012;46.6;1
196101;78.8;1
196102;48.4;1
196103;5.7;1
196104;66.6;1
196105;37.1;1
196106;51.4;1
196107;58.5;1
196108;19.7;1
196109;74.6;1
196110;61;1
196111;45.2;1
196112;60.3;1
196201;57;1
196202;27.2;1
196203;55.5;1
196204;32.9;1
196205;35.9;1
196206;9.7;1
196207;77.5;1
196208;39.7;1
