# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 83137001
# NOM_USUEL= TOULON
# LATITUDE (°) = 43.116
# LONGITUDE(°)= 5.901
# ALTITUDE (m) = 3
# NUM_SERIE= MRR283137001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;38.3;1
195002;57.4;1
195003;40;1
195004;33.7;1
195005;4.6;1
195006;3.6;1
195007;0;1
195008;30.9;1
195009;12.6;1
195010;61.8;1
195011;40.7;1
195012;107.2;1
195101;86.8;1
195102;77.9;1
195103;107.7;1
195104;19.7;1
195105;102.5;1
195106;11.4;1
195107;3.6;1
195108;20.5;1
195109;45.2;1
195110;109.8;1
195111;140.1;1
195112;31.8;1
195201;62.9;1
195202;30.5;1
195203;66.6;1
195204;42.9;1
195205;63.2;1
195206;0.7;1
195207;11.1;1
195208;26.5;1
195209;75.9;1
195210;27.1;1
195211;42.8;1
195212;130.7;1
195301;18.5;1
195302;9.9;1
195303;9.3;1
195304;21.8;1
195305;27.2;1
195306;99.7;1
195307;4.1;1
195308;12.7;1
195309;177.9;1
195310;173.6;1
195311;41.2;1
195312;134.1;1
195401;67.6;1
195402;88;1
195403;75.5;1
195404;24.9;1
195405;55.4;1
195406;17.9;1
195407;40.8;1
195408;30.2;1
195409;2.8;1
195410;91.8;1
195411;143.2;1
195412;61.4;1
195501;258.6;1
195502;43.8;1
195503;25.4;1
195504;4.5;1
195505;3.8;1
195506;29.6;1
195507;1.4;1
195508;46.9;1
195509;33.4;1
195510;121.9;1
195511;127.1;1
195512;59.6;1
195601;44.1;1
195602;52;1
195603;190;1
195604;49.6;1
195605;12;1
195606;37.2;1
195607;9.9;1
195608;1;1
195609;80;1
195610;40.3;1
195611;59.3;1
195612;57.1;1
195701;56.7;1
195702;49.4;1
195703;6;1
195704;215.4;1
195705;81.4;1
195706;68.4;1
195707;9.9;1
195708;35.5;1
195709;19.6;1
195710;30.7;1
195711;132;1
195712;122.9;1
195801;30.3;1
195802;1.5;1
195803;52.3;1
195804;42.2;1
195805;13.8;1
195806;51.2;1
195807;28.7;1
195808;8.2;1
195809;30.2;1
195810;140.7;1
195811;75.9;1
195812;131.2;1
195901;3.8;1
195902;53;1
195903;56.7;1
195904;56.4;1
195905;88.9;1
195906;26.4;1
195907;0;1
195908;49.4;1
195909;40.9;1
195910;115.3;1
195911;100.6;1
195912;187.2;1
196001;74.4;1
196002;82;1
196003;158.6;1
196004;41.2;1
196005;8.5;1
196006;14.1;1
196007;9.9;1
196008;90.2;1
196009;89.7;1
196010;122.8;1
196011;101.2;1
196012;129.8;1
196101;49.6;1
196102;13;1
196103;0;1
196104;114.6;1
196105;60.3;1
196106;6.3;1
196107;0.7;1
196108;0;1
196109;64.3;1
196110;113.1;1
196111;260.4;1
196112;38.4;1
196201;20.2;1
196202;113.8;1
196203;62.5;1
196204;25.9;1
196205;32.6;1
196206;22;1
196207;2.7;1
196208;0.7;1
196209;68.7;1
196210;134.3;1
196211;165.1;1
196212;74.1;1
196301;79.9;1
196302;131.1;1
196303;34.3;1
196304;112.9;1
196305;6.3;1
196306;63.3;1
196307;12.1;1
196308;42.9;1
196309;124.8;1
196310;108.9;1
196311;44.5;1
196312;99.9;1
196401;37.8;1
196402;158.8;1
196403;97.3;1
196404;18.7;1
196405;24;1
196406;1.7;1
196407;3.9;1
196408;27;1
196409;36.5;1
196410;62.1;1
196411;20.4;1
196412;141.8;1
196501;39.1;1
196502;53.9;1
196503;93.6;1
196504;7.7;1
196505;8.8;1
196506;23.6;1
196507;13.1;1
196508;65.6;1
196509;64;1
196510;64.7;1
196511;20.4;1
196512;44.7;1
196601;42.9;1
196602;128.9;1
196603;4.6;1
196604;67.9;1
196605;22.9;1
196606;2.4;1
196607;13.9;1
196608;17;1
196609;82.7;1
196610;74.1;1
196611;111.9;1
196612;22.2;1
196701;17.4;1
196702;62.7;1
196703;30.3;1
196704;8.2;1
196705;9.2;1
196706;16.7;1
196707;0.1;1
196708;3.4;1
196709;74.2;1
196710;7.1;1
196711;78.7;1
196712;23.2;1
196801;10.7;1
196802;101.4;1
196803;19.7;1
196804;113.5;1
196805;53.4;1
196806;24.3;1
196807;2.8;1
196808;7.8;1
196809;155.2;1
196810;60.6;1
196811;53.3;1
196812;51.2;1
196901;95.1;1
196902;110.9;1
196903;130.4;1
196904;18.4;1
196905;69.9;1
196906;34;1
196907;1.2;1
196908;4.6;1
196909;69.6;1
196910;23.7;1
196911;56.4;1
196912;116.2;1
197001;106.7;1
197002;13.2;1
197003;74.5;1
197004;8.6;1
197005;40.7;1
197006;4.8;1
197007;0;1
197008;9.8;1
197009;0.1;1
197010;90.2;1
197011;56.9;1
197012;107.2;1
197101;59.9;1
197102;11.2;1
197103;86.1;1
197104;78.4;1
197105;99.5;1
197106;2.3;1
197107;4;1
197108;12.3;1
197109;40.9;1
197110;4.5;1
197111;151;1
197112;91.3;1
197201;110.7;1
197202;304.7;1
197203;62.8;1
197204;61.9;1
197205;20.2;1
197206;101.4;1
197207;0.2;1
197208;4.5;1
197209;81.6;1
197210;139.6;1
197211;58.3;1
197212;140.4;1
197301;85.7;1
197302;106.8;1
197303;53.6;1
197304;29.9;1
197305;11.3;1
197306;47.2;1
197307;1.8;1
197308;2.7;1
197309;25;1
197310;325.5;1
197311;19.5;1
197312;44.7;1
197401;129.8;1
197402;211.1;1
197403;75.4;1
197404;114.6;1
197405;27.6;1
197406;11.8;1
197407;2.6;1
197408;10.1;1
197409;114.3;1
197410;22;1
197411;38.9;1
197412;25.3;1
197501;28.5;1
197502;89.5;1
197503;114.7;1
197504;48.5;1
197505;81.7;1
197506;26;1
197507;0.1;1
197508;62.6;1
197509;120.5;1
197510;14.8;1
197511;151.5;1
197512;82.2;1
197601;42.1;1
197602;142.1;1
197603;42.1;1
197604;86.5;1
197605;67.6;1
197606;9.6;1
197607;20.5;1
197608;39.9;1
197609;34.6;1
197610;320.5;1
197611;61.3;1
197612;128.9;1
197701;141.1;1
197702;33.3;1
197703;50.4;1
197704;22.2;1
197705;73.6;1
197706;14.1;1
197707;24.6;1
197708;72.8;1
197709;5;1
