# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 87011002
# NOM_USUEL= BELLAC
# LATITUDE (°) = 46.12
# LONGITUDE(°)= 1.053
# ALTITUDE (m) = 241
# NUM_SERIE= MRR287011002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 197612
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;18.9;1
195002;130.9;1
195003;32.5;1
195004;84.8;1
195005;93.2;1
195006;49.2;1
195007;24.1;1
195008;69.1;1
195009;48.2;1
195010;42.9;1
195011;179.1;1
195012;122.5;1
195101;86.9;1
195102;114.2;1
195103;111;1
195104;40.8;1
195105;169.7;1
195106;100.5;1
195107;81.7;1
195108;74.4;1
195109;66;1
195110;26.2;1
195111;64.9;1
195112;98.5;1
195201;100.5;1
195202;59.7;1
195203;83.8;1
195204;19.9;1
195205;47.1;1
195206;28.3;1
195207;14.7;1
195208;69.1;1
195209;188.5;1
195210;159.2;1
195211;130.9;1
195212;150.8;1
195301;24.1;1
195302;46.1;1
195303;4.2;1
195304;89;1
195305;73.3;1
195306;75.4;1
195307;86.9;1
195308;37.7;1
195309;99.5;1
195310;95.8;1
195311;24.1;1
195312;22;1
195401;53.4;1
195402;95.3;1
195403;106.8;1
195404;10.5;1
195405;46.1;1
195406;39.8;1
195407;27.2;1
195408;75.4;1
195409;42.9;1
195410;75.4;1
195411;78.6;1
195412;75.4;1
195501;170.7;1
195502;134.1;1
195503;41.9;1
195504;2.1;1
195505;51.3;1
195506;142.4;1
195507;105.8;1
195508;14.7;1
195509;33.5;1
195510;34.6;1
195511;52.4;1
195512;138.3;1
195601;115.2;1
195602;16.8;1
195603;22;1
195604;67;1
195605;49.2;1
195606;41;1
195607;70.2;1
195608;77.6;1
195609;46.4;1
195610;27;1
195611;26.4;1
195612;43.5;1
195701;23.7;1
195702;153;1
195703;33.3;1
195704;35.5;1
195705;60.2;1
195706;115.8;1
195707;81.5;1
195708;53.9;1
195709;55.4;1
195710;55;1
195711;45.7;1
195712;51.7;1
195801;117.7;1
195802;75.1;1
195803;89.3;1
195804;52.6;1
195805;117.4;1
195806;163.5;1
195807;157.7;1
195808;115;1
195809;51.5;1
195810;53;1
195811;97.3;1
195812;137.5;1
195901;82.7;1
195902;10.9;1
195903;48.3;1
195904;104.9;1
195905;49;1
195906;54.6;1
195907;31.1;1
195908;58.8;1
195909;34.5;1
195910;63.8;1
195911;65.4;1
195912;125.4;1
196001;85;1
196002;82.7;1
196003;87.4;1
196004;22.6;1
196005;64.3;1
196006;83.9;1
196007;64.4;1
196008;131.9;1
196009;94.8;1
196010;198.8;1
196011;83.9;1
196012;120.9;1
196101;111;1
196102;45.1;1
196103;3.9;1
196104;53.5;1
196105;71;1
196106;50.8;1
196107;92.6;1
196108;42.4;1
196109;63.5;1
196110;77.5;1
196111;101.1;1
196112;145.8;1
196201;130;1
196202;51.4;1
196203;148.2;1
196204;67.6;1
196205;108.4;1
196206;13.2;1
196207;59.7;1
196208;26.7;1
196209;45.2;1
196210;49.2;1
196211;214;1
196212;76.1;1
196301;42.8;1
196302;98.5;1
196303;134;1
196304;43.7;1
196305;68.4;1
196306;140.6;1
196307;36.6;1
196308;163;1
196309;64.7;1
196310;43.9;1
196311;114.3;1
196312;41.7;1
196401;20.6;1
196402;80.5;1
196403;88.1;1
196404;105.6;1
196405;99.9;1
196406;56.3;1
196407;11.5;1
196408;47;1
196409;59.5;1
196410;118.4;1
196411;59.4;1
196412;48.1;1
196501;109.6;1
196502;4.7;1
196503;88;1
196504;53.9;1
196505;65.6;1
196506;32.3;1
196507;101.1;1
196508;123.5;1
196509;279.2;1
196510;10.8;1
196511;135.9;1
196512;182.7;1
196601;104;1
196602;164.1;1
196603;51.4;1
196604;85.2;1
196605;74.3;1
196606;77.8;1
196607;51.8;1
196608;70.3;1
196609;26.5;1
196610;133.5;1
196611;81.2;1
196612;126.4;1
196701;30.4;1
196702;95.5;1
196703;71.8;1
196704;15;1
196705;152.5;1
196706;35.7;1
196707;8.5;1
196708;33.4;1
196709;63.7;1
196710;98.3;1
196711;71.1;1
196712;82.4;1
196801;86.6;1
196802;82.1;1
196803;41.3;1
196804;104.6;1
196805;67.1;1
196806;37.9;1
196807;88.1;1
196808;127.5;1
196809;120.2;1
196810;41.2;1
196811;43.6;1
196812;107.7;1
196901;46.1;1
196902;44.2;1
196903;73.1;1
196904;77.3;1
196905;120.9;1
196906;94.9;1
196907;11.9;1
196908;55.6;1
196909;112.1;1
196910;3.5;1
196911;185.2;1
196912;86.4;1
197001;102.4;1
197002;148;1
197003;60.4;1
197004;91.4;1
197005;39.6;1
197006;132.7;1
197007;21.3;1
