# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 13030001
# NOM_USUEL= CUGES-LES-PINS
# LATITUDE (°) = 43.274
# LONGITUDE(°)= 5.7
# ALTITUDE (m) = 184
# NUM_SERIE= MRR313030001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.5;1
195002;94.2;1
195003;40.1;1
195004;42.2;1
195005;23.3;1
195006;0;1
195007;0;1
195008;32.1;1
195009;70.8;1
195010;20.8;1
195011;102.3;1
195012;82.4;1
195101;116.4;1
195102;133.2;1
195103;140.8;1
195104;19.2;1
195105;67.4;1
195106;18.1;1
195107;1;1
195108;20;1
195109;69.8;1
195110;91.4;1
195111;239.6;1
195112;46.3;1
195201;80.4;1
195202;1.3;1
195203;27;1
195204;58.6;1
195205;80.9;1
195206;1.2;1
195207;3.7;1
195208;19.5;1
195209;129.5;1
195210;32.1;1
195211;38.6;1
195212;86;1
195301;32.1;1
195302;12.2;1
195303;2.1;1
195304;24.8;1
195305;16.5;1
195306;90;1
195307;15.3;1
195308;14.9;1
195309;150.3;1
195310;115.8;1
195311;3.9;1
195312;73.8;1
195401;49.7;1
195402;93.3;1
195403;60.2;1
195404;41.1;1
195405;102.1;1
195406;2.6;1
195407;34.4;1
195408;22.4;1
195409;12.2;1
195410;36;1
195411;113.4;1
195412;81.7;1
195501;160;1
195502;44.2;1
195503;11.8;1
195504;6.6;1
195505;4.7;1
195506;60.1;1
195507;0.8;1
195508;39.2;1
195509;18.5;1
195510;95.5;1
195511;65.2;1
195512;63.5;1
195601;76.4;1
195602;44.9;1
195603;197;1
195604;75.3;1
195605;0;1
195606;38.2;1
195607;28.9;1
195608;6.7;1
195609;86.8;1
195610;32.2;1
195611;51.3;1
195612;58.6;1
195701;41.7;1
195702;88.1;1
195703;13.4;1
195704;138.4;1
195705;68.5;1
195706;45.3;1
195707;14.3;1
195708;22.8;1
195709;11.5;1
195710;42.5;1
195711;111.4;1
195712;240.2;1
195801;23.9;1
195802;2.5;1
195803;51.2;1
195804;33.4;1
195805;15.5;1
195806;44.7;1
195807;40.3;1
195808;16;1
195809;97.5;1
195810;119.9;1
195811;56.1;1
195812;247.9;1
195901;4.1;1
195902;16;1
195903;44.7;1
195904;80.3;1
195905;70.9;1
195906;18.2;1
195907;11.8;1
195908;27.4;1
195909;40.2;1
195910;168.3;1
195911;122;1
195912;204.3;1
196001;64.1;1
196002;108.6;1
196003;133;1
196004;90.2;1
196005;9.7;1
196006;12;1
196007;6.9;1
196008;148.6;1
196009;142.3;1
196010;304.5;1
196011;135.6;1
196012;105.6;1
196101;34.3;1
196102;15.5;1
196103;0;1
196104;111.3;1
196105;75.2;1
196106;5.1;1
196107;0;1
196108;0;1
196109;160.9;1
196110;178.6;1
196111;273.8;1
196112;39.7;1
196201;56.9;1
196202;134.2;1
196203;50.2;1
196204;30.6;1
196205;32.8;1
196206;34.8;1
196207;2.3;1
196208;0;1
196209;45.1;1
196210;77.6;1
196211;171.4;1
196212;85.4;1
196301;66.5;1
196302;162.2;1
196303;53.2;1
196304;102.5;1
196305;16.3;1
196306;97.5;1
196307;66.1;1
196308;56.5;1
196309;166;1
196310;60.5;1
196311;73.6;1
196312;71.1;1
196401;63.7;1
196402;128.4;1
196403;98.1;1
196404;48.6;1
196405;66.3;1
196406;13.3;1
196407;6.2;1
196408;65.1;1
196409;29.4;1
196410;42.5;1
196411;23.4;1
196412;83.9;1
196501;66.9;1
196502;24;1
196503;114.5;1
196504;2.8;1
196505;10.9;1
196506;27.9;1
196507;90.7;1
196508;60.1;1
196509;118.6;1
196510;95.9;1
196511;62.7;1
196512;55.3;1
196601;50.8;1
196602;202.4;1
196603;3.8;1
196604;103.1;1
196605;28.5;1
196606;13.2;1
196607;12.9;1
196608;35.9;1
196609;64;1
196610;129.6;1
196611;136.4;1
196612;36.5;1
196701;13.6;1
196702;42.3;1
196703;35.1;1
196704;29.5;1
196705;18.5;1
196706;44.4;1
196707;0;1
196708;1.5;1
196709;33.9;1
196710;7;1
196711;99.4;1
196712;37.9;1
196801;8.3;1
196802;207.9;1
196803;28.7;1
196804;61.1;1
196805;81.7;1
196806;34.3;1
196807;5.4;1
196808;31.7;1
196809;214.2;1
196810;63;1
196811;88.8;1
196812;37;1
196901;100.2;1
196902;88.6;1
196903;111.2;1
196904;9.7;1
196905;56.8;1
196906;30.8;1
196907;4.2;1
196908;6.2;1
196909;179.9;1
196910;18.7;1
196911;70.7;1
196912;139.9;1
197001;111.5;1
197002;43.3;1
197003;96;1
197004;8.2;1
197005;46.2;1
197006;20.4;1
197007;0;1
197008;7.7;1
197009;1;1
197010;57.3;1
197011;121.3;1
197012;99;1
197101;74.6;1
197102;20.5;1
197103;101.2;1
197104;130.6;1
197105;63.5;1
197106;9.6;1
197107;7.6;1
197108;33.9;1
197109;93.6;1
197110;6.3;1
197111;176.4;1
197112;46.2;1
197201;68.6;1
197202;232;1
197203;47.6;1
197204;75.1;1
197205;28.4;1
197206;87;1
197207;0.6;1
197208;16.2;1
197209;100.8;1
197210;171.4;1
197211;39.5;1
197212;187.3;1
197301;72;1
197302;54;1
197303;16.2;1
197304;70.7;1
197305;7.2;1
197306;57.8;1
197307;19.7;1
197308;9.7;1
197309;19;1
197310;253.7;1
197311;32.7;1
197312;120.5;1
197401;135.6;1
197402;217.2;1
197403;95.6;1
197404;126.5;1
197405;68.6;1
197406;8.3;1
197407;1.8;1
197408;22.8;1
197409;85.3;1
197410;24.3;1
197411;26.3;1
197412;51;1
197501;51.8;1
197502;62.6;1
197503;122.2;1
197504;50.2;1
197505;65.7;1
197506;22;1
197507;0;1
197508;87.4;1
197509;49.3;1
197510;21.8;1
197511;98.2;1
197512;75.5;1
197601;38.5;1
197602;107.3;1
197603;53.4;1
197604;127.2;1
197605;65.1;1
197606;23.8;1
197607;42.2;1
197608;40.1;1
197609;62.3;1
197610;302.9;1
197611;91.4;1
197612;129.5;1
197701;157.8;1
197702;58.8;1
197703;74.9;1
197704;23.3;1
197705;113.4;1
197706;25;1
197707;33.3;1
197708;91.5;1
197709;8.2;1
197710;97.6;1
197711;95.1;1
197712;134;1
197801;323.7;1
197802;86.1;1
197803;72.6;1
197804;112.2;1
197805;89.4;1
197806;26.3;1
