# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 13055001
# NOM_USUEL= MARSEILLE-OBS
# LATITUDE (°) = 43.304
# LONGITUDE(°)= 5.39
# ALTITUDE (m) = 75
# NUM_SERIE= MRR313055001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 195912 200604
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;10.9;1
195002;41.7;1
195003;40.7;1
195004;21;1
195005;11.8;1
195006;0.8;1
195007;0;1
195008;21.5;1
195009;23.2;1
195010;56.4;1
195011;22.7;1
195012;79.5;1
195101;61.8;1
195102;60.9;1
195103;81.4;1
195104;17.2;1
195105;52.8;1
195106;33;1
195107;0.2;1
195108;16.9;1
195109;48.8;1
195110;154.2;1
195111;165.3;1
195112;22.2;1
195201;39.5;1
195202;13.5;1
195203;9.7;1
195204;36.5;1
195205;52.4;1
195206;2.8;1
195207;0.8;1
195208;20.2;1
195209;45.7;1
195210;19.6;1
195211;25.4;1
195212;65.6;1
195301;12.8;1
195302;8.3;1
195303;0.6;1
195304;15.8;1
195305;18.2;1
195306;86.8;1
195307;2.7;1
195308;10.2;1
195309;120.7;1
195310;93.6;1
195311;8.7;1
195312;69.7;1
195401;26.6;1
195402;66.9;1
195403;32.8;1
195404;27.5;1
195405;72.4;1
195406;11;1
195407;13.2;1
195408;7.5;1
195409;11.9;1
195410;10.1;1
195411;63.4;1
195412;39.2;1
195501;100;1
195502;30.2;1
195503;12.7;1
195504;6.4;1
195505;9.8;1
195506;46.3;1
195507;0.5;1
195508;36;1
195509;8.1;1
195510;65.9;1
195511;26.8;1
195512;28.9;1
195601;43.9;1
195602;39.1;1
195603;85.5;1
195604;42.8;1
195605;16.8;1
195606;31.3;1
195607;43.8;1
195608;11.9;1
195609;52;1
195610;33.4;1
195611;51.5;1
195612;14;1
195701;13.6;1
195702;37.1;1
195703;12.5;1
195704;94.3;1
195705;56.6;1
195706;60.3;1
195707;14.3;1
195708;48.5;1
195709;3.1;1
195710;18.4;1
195711;46;1
195712;143;1
195801;15.1;1
195802;1.6;1
195803;28.2;1
195804;36.7;1
195805;10.1;1
195806;9.6;1
195807;22.6;1
195808;50.4;1
195809;75.5;1
195810;55.4;1
